Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
25:17.7,-0.109375,-0.078125,0.963379
25:17.7,-0.109375,-0.078125,0.950684
25:17.7,-0.109375,-0.078125,0.951904
25:17.7,-0.109375,-0.078125,0.959473
25:17.7,-0.109375,-0.078125,0.9646
25:17.7,-0.109375,-0.078125,0.957275
25:17.7,-0.109375,-0.078125,0.965576
25:17.8,-0.109375,-0.078125,0.950684
25:17.8,-0.109375,-0.078125,0.953125
25:17.8,-0.109375,-0.078125,0.953125
25:17.8,-0.109375,-0.078125,0.953125
25:17.8,-0.109375,-0.078125,0.953125
25:17.8,-0.109375,-0.078125,0.953125
25:17.8,-0.109375,-0.078125,0.953125
25:17.8,-0.109375,-0.078125,0.953125
25:17.8,-0.109375,-0.078125,0.953125
25:17.8,-0.109375,-0.078125,0.953125
25:17.9,-0.109375,-0.078125,0.95166
25:17.9,-0.10791,-0.078125,0.959961
25:17.9,-0.11499,-0.078125,0.965088
25:17.9,-0.127197,-0.078125,0.949463
25:17.9,-0.126221,-0.078125,0.95874
25:17.9,-0.119141,-0.078125,0.972168
25:17.9,-0.106934,-0.078125,0.962646
25:17.9,-0.10791,-0.078125,0.950684
25:17.9,-0.115234,-0.079346,0.95166
25:17.9,-0.128662,-0.072021,0.960449
25:18.0,-0.118896,-0.058594,0.964844
25:18.0,-0.106934,-0.068359,0.950684
25:18.0,-0.109375,-0.080322,0.95166
25:18.0,-0.109375,-0.078125,0.958984
25:18.0,-0.10791,-0.078125,0.972412
25:18.0,-0.116943,-0.078125,0.962402
25:18.0,-0.12085,-0.078125,0.950684
25:18.0,-0.106934,-0.078125,0.951416
25:18.0,-0.109375,-0.078125,0.959229
25:18.0,-0.109375,-0.078125,0.972412
25:18.1,-0.109375,-0.078125,0.962402
25:18.1,-0.109375,-0.078125,0.949219
25:18.1,-0.109375,-0.078125,0.960938
25:18.1,-0.109375,-0.078125,0.964355
25:18.1,-0.109375,-0.078125,0.950684
25:18.1,-0.109375,-0.078125,0.953125
25:18.1,-0.109375,-0.078125,0.953125
25:18.1,-0.109375,-0.078125,0.953125
25:18.1,-0.109375,-0.078125,0.951416
25:18.1,-0.109375,-0.078125,0.961182
25:18.2,-0.109375,-0.078125,0.964111
25:18.2,-0.109375,-0.078125,0.950928
25:18.2,-0.109375,-0.078125,0.953125
25:18.2,-0.109375,-0.078125,0.953125
25:18.2,-0.109375,-0.078125,0.953125
25:18.2,-0.109375,-0.078125,0.951416
25:18.2,-0.109375,-0.078125,0.961426
25:18.2,-0.109375,-0.078125,0.963867
25:18.2,-0.109375,-0.078125,0.949219
25:18.2,-0.109375,-0.078125,0.96167
25:18.3,-0.109375,-0.07959,0.963867
25:18.3,-0.109375,-0.069336,0.950928
25:18.3,-0.109375,-0.067139,0.953125
25:18.3,-0.109375,-0.080078,0.953125
25:18.3,-0.109375,-0.078125,0.953125
25:18.3,-0.109375,-0.078125,0.951172
25:18.3,-0.109375,-0.078125,0.961914
25:18.3,-0.107422,-0.079834,0.963623
25:18.3,-0.118164,-0.069092,0.950928
25:18.3,-0.119873,-0.067383,0.953125
25:18.4,-0.107178,-0.080078,0.953125
25:18.4,-0.109375,-0.078125,0.951172
25:18.4,-0.109375,-0.078125,0.960205
25:18.4,-0.109375,-0.078125,0.970703
25:18.4,-0.109375,-0.078125,0.970459
25:18.4,-0.109375,-0.078125,0.961182
25:18.4,-0.109375,-0.078125,0.950928
25:18.4,-0.109375,-0.078125,0.953125
25:18.4,-0.109375,-0.078125,0.951172
25:18.4,-0.109375,-0.078125,0.960449
25:18.5,-0.109375,-0.078125,0.972412
25:18.5,-0.109375,-0.078125,0.959229
25:18.5,-0.109375,-0.079834,0.958496
25:18.5,-0.109375,-0.068359,0.972412
25:18.5,-0.109375,-0.070068,0.960938
25:18.5,-0.109375,-0.070313,0.950928
25:18.5,-0.109375,-0.070068,0.953125
25:18.5,-0.109375,-0.070313,0.953125
25:18.5,-0.107422,-0.068115,0.953125
25:18.5,-0.119141,-0.079834,0.953125
25:18.6,-0.118896,-0.078125,0.953125
25:18.6,-0.107422,-0.078125,0.953125
25:18.6,-0.107178,-0.080078,0.953125
25:18.6,-0.117188,-0.068115,0.953125
25:18.6,-0.128662,-0.068359,0.953125
25:18.6,-0.114746,-0.079834,0.953125
25:18.6,-0.117432,-0.078125,0.950928
25:18.6,-0.118652,-0.078125,0.963135
25:18.6,-0.105469,-0.078125,0.962402
25:18.6,-0.117432,-0.080078,0.951172
25:18.7,-0.126709,-0.067871,0.950928
25:18.7,-0.126953,-0.068604,0.963135
25:18.7,-0.114502,-0.079834,0.960205
25:18.7,-0.117676,-0.078125,0.961426
25:18.7,-0.116455,-0.078125,0.962158
25:18.7,-0.11792,-0.078125,0.951172
25:18.7,-0.118408,-0.078125,0.953125
25:18.7,-0.105469,-0.078125,0.953125
25:18.7,-0.119873,-0.078125,0.953125
25:18.7,-0.118164,-0.078125,0.953125
25:18.8,-0.105469,-0.080078,0.953125
25:18.8,-0.119873,-0.067383,0.950928
25:18.8,-0.118164,-0.069092,0.961426
25:18.8,-0.107422,-0.079834,0.972412
25:18.8,-0.107178,-0.078125,0.959961
25:18.8,-0.120117,-0.078125,0.951172
25:18.8,-0.11792,-0.078125,0.953125
25:18.8,-0.107422,-0.078125,0.950928
25:18.8,-0.109375,-0.078125,0.963867
25:18.8,-0.109375,-0.078125,0.959473
25:18.9,-0.109375,-0.078125,0.960205
25:18.9,-0.107178,-0.075928,0.966064
25:18.9,-0.118164,-0.084717,0.984131
25:18.9,-0.12207,-0.104248,1.01416
25:18.9,-0.14917,-0.115234,1.010498
25:18.9,-0.130371,-0.089111,0.982666
25:18.9,-0.115479,-0.085938,1.009521
25:18.9,-0.11084,-0.081787,1.031494
25:18.9,-0.13916,-0.090088,1.033691
25:18.9,-0.125,-0.130615,1.120117
25:19.0,-0.192383,-0.143799,1.208252
25:19.0,-0.284912,-0.122803,1.248535
25:19.0,-0.223145,-0.216064,1.487061
25:19.0,-0.12085,-0.277588,1.585205
25:19.0,-0.072021,-0.222656,1.415039
25:19.0,-0.042969,-0.14624,1.173096
25:19.0,-0.020996,-0.05957,0.994141
25:19.0,-0.004639,-0.00708,0.88501
25:19.0,0.003662,0.007813,0.8479
25:19.0,-0.004639,0.033447,0.873047
25:19.1,-0.033447,0.05249,0.866455
25:19.1,-0.054688,0.089844,0.796143
25:19.1,-0.07373,0.127686,0.778809
25:19.1,-0.127686,0.114014,0.927734
25:19.1,-0.195068,0.059814,1.069824
25:19.1,-0.192627,0.045166,1.005859
25:19.1,-0.158691,0.090332,0.926025
25:19.1,-0.10376,0.116211,0.92749
25:19.1,-0.05542,0.148438,0.843506
25:19.1,-0.031982,0.200439,0.711182
25:19.2,-0.030273,0.237549,0.627686
25:19.2,-0.080322,0.269775,0.586426
25:19.2,-0.139404,0.293701,0.567871
25:19.2,-0.175293,0.293457,0.560303
25:19.2,-0.209717,0.314209,0.524414
25:19.2,-0.223633,0.335938,0.40918
25:19.2,-0.213379,0.366943,0.313721
25:19.2,-0.186523,0.367676,0.278564
25:19.2,-0.156006,0.360352,0.251465
25:19.2,-0.112549,0.344727,0.162598
25:19.3,-0.07666,0.360107,-0.01123
25:19.3,-0.031982,0.382813,-0.194092
25:19.3,0.011963,0.435059,-0.397217
25:19.3,-0.056885,0.341797,-0.427734
25:19.3,-0.106689,0.222656,-0.409424
25:19.3,-0.271729,-0.645264,-1.155273
25:19.3,0.689209,3.263184,4.786377
25:19.3,-0.170654,-1.650879,7.999756
25:19.3,-0.122803,-0.190186,-1.099121
25:19.3,0.155762,0.190674,0
25:19.4,0.133057,-0.714355,2.242676
25:19.4,-0.053223,0.250732,0.398193
25:19.4,-0.241455,-0.067383,1.030029
25:19.4,-0.072266,-0.115723,1.036865
25:19.4,-0.099609,-0.0625,0.900146
25:19.4,-0.177979,-0.14624,1.095459
25:19.4,-0.162354,-0.161865,1.155029
25:19.4,-0.166504,-0.143311,1.210205
25:19.4,-0.096436,-0.15918,1.274902
25:19.4,-0.099609,-0.096436,1.233154
25:19.5,-0.15625,-0.178955,1.401855
25:19.5,-0.128662,-0.219727,1.427246
25:19.5,-0.100098,-0.132813,1.206055
25:19.5,-0.075684,-0.042969,0.977295
25:19.5,-0.03418,0.027832,0.780518
25:19.5,-0.043701,0.079346,0.742676
25:19.5,-0.092285,0.052246,0.855713
25:19.5,-0.134033,0.006348,0.974609
25:19.5,-0.142578,-0.00415,1.032227
25:19.5,-0.135986,0.008545,1.006836
25:19.6,-0.162354,0.031982,1.015137
25:19.6,-0.180664,0.003418,1.064209
25:19.6,-0.145752,0.023926,1.036377
25:19.6,-0.088867,0.078125,0.918945
25:19.6,-0.072754,0.123047,0.881592
25:19.6,-0.08667,0.102295,0.90625
25:19.6,-0.105713,0.095947,0.891602
25:19.6,-0.103271,0.143555,0.830566
25:19.6,-0.138184,0.158936,0.869873
25:19.6,-0.178955,0.151611,0.905518
25:19.7,-0.202637,0.174072,0.8479
25:19.7,-0.194824,0.207031,0.747314
25:19.7,-0.17749,0.240723,0.681885
25:19.7,-0.159668,0.260742,0.662354
25:19.7,-0.153076,0.277588,0.639404
25:19.7,-0.169678,0.279785,0.598145
25:19.7,-0.167969,0.285889,0.545654
25:19.7,-0.123291,0.32959,0.441162
25:19.7,-0.093018,0.357422,0.363525
25:19.7,-0.104248,0.362305,0.305664
25:19.8,-0.110107,0.345459,0.244873
25:19.8,-0.115967,0.345459,0.107666
25:19.8,-0.078857,0.404053,-0.133545
25:19.8,-0.039063,0.438721,-0.366455
25:19.8,-0.004639,0.446289,-0.519775
25:19.8,-0.078125,0.333496,-0.523438
25:19.8,-0.139893,0.23584,-0.406738
25:19.8,-0.176758,0.815674,-1.223145
25:19.8,-0.424805,-6.363525,7.031738
25:19.8,-0.109375,-2.274414,3.308838
25:19.9,-0.335693,1.140869,-2.592529
25:19.9,-0.394775,-0.8479,1.84375
25:19.9,0.032715,-0.318848,1.458984
25:19.9,-0.126709,0.225342,0.439209
25:19.9,-0.196289,-0.126953,1.177734
25:19.9,-0.04126,-0.086914,0.966553
25:19.9,-0.117676,-0.066406,0.924316
25:19.9,-0.1875,-0.157959,1.1521
25:19.9,-0.180908,-0.171387,1.184814
25:19.9,-0.134277,-0.107178,1.150635
25:20.0,-0.212158,-0.086914,1.189209
25:20.0,-0.258789,-0.105469,1.295654
25:20.0,-0.125,-0.21167,1.422363
25:20.0,0.000977,-0.157227,1.265137
25:20.0,0.020996,-0.082764,1.036621
25:20.0,0.007324,-0.00293,0.880859
25:20.0,-0.016846,0.047119,0.826172
25:20.0,-0.075439,0.027344,0.92749
25:20.0,-0.130859,-0.003906,1.049316
25:20.0,-0.158447,-0.055908,1.149902
25:20.1,-0.137939,-0.057617,1.135498
25:20.1,-0.088379,-0.014893,1.026611
25:20.1,-0.060059,0.036865,0.958984
25:20.1,-0.084961,0.056885,0.961426
25:20.1,-0.111084,0.082031,0.898193
25:20.1,-0.080566,0.134277,0.814209
25:20.1,-0.100342,0.131348,0.856934
25:20.1,-0.12085,0.109863,0.904053
25:20.1,-0.135986,0.117676,0.89624
25:20.1,-0.149902,0.148682,0.879395
25:20.2,-0.180176,0.167725,0.867432
25:20.2,-0.204834,0.181152,0.828125
25:20.2,-0.181641,0.211426,0.761963
25:20.2,-0.147217,0.232178,0.731689
25:20.2,-0.126953,0.234619,0.759521
25:20.2,-0.124512,0.232422,0.773682
25:20.2,-0.125,0.245361,0.719482
25:20.2,-0.123047,0.259521,0.669922
25:20.2,-0.143311,0.288086,0.623291
25:20.2,-0.10376,0.318115,0.459961
25:20.3,-0.077637,0.36792,0.343262
25:20.3,-0.088867,0.377686,0.305176
25:20.3,-0.105225,0.361816,0.270996
25:20.3,-0.126221,0.355469,0.17041
25:20.3,-0.102295,0.380371,-0.048584
25:20.3,-0.068359,0.432373,-0.296143
25:20.3,-0.045166,0.425049,-0.455322
25:20.3,-0.064453,0.447021,-0.598633
25:20.3,-0.138184,0.24292,-0.476807
25:20.3,-0.25293,-0.05542,-0.424316
25:20.4,0.218506,1.555176,0.912842
25:20.4,-0.816895,-7.79541,7.999756
25:20.4,0.53418,0.717773,-1.090576
25:20.4,-0.32251,0.890625,-0.898926
25:20.4,-0.348877,-0.967529,2.668701
25:20.4,-0.08667,0.017822,0.704102
25:20.4,-0.222656,0.108154,0.689697
25:20.4,-0.135986,-0.174072,1.211182
25:20.4,-0.0271,-0.052002,0.887695
25:20.4,-0.137451,-0.050049,0.918213
25:20.5,-0.173096,-0.118896,1.087891
25:20.5,-0.159912,-0.112061,1.138672
25:20.5,-0.13916,-0.109131,1.13501
25:20.5,-0.1604,-0.10498,1.185059
25:20.5,-0.243896,-0.143311,1.282715
25:20.5,-0.237549,-0.228516,1.486328
25:20.5,-0.085693,-0.220215,1.462646
25:20.5,-0.006592,-0.083496,1.148193
25:20.5,0.01709,-0.008057,0.909668
25:20.5,-0.003662,0.032471,0.875977
25:20.6,-0.093994,-0.007324,1.013184
25:20.6,-0.168701,-0.045166,1.064453
25:20.6,-0.146973,-0.03833,1.024658
25:20.6,-0.109619,0.024902,0.960205
25:20.6,-0.13208,0.036865,1.099854
25:20.6,-0.199707,-0.027588,1.238525
25:20.6,-0.181396,-0.010742,1.101807
25:20.6,-0.104248,0.077881,0.814697
25:20.6,-0.051758,0.180664,0.672607
25:20.6,-0.031006,0.172607,0.756104
25:20.7,-0.041748,0.184814,0.768555
25:20.7,-0.086182,0.200684,0.739258
25:20.7,-0.132324,0.216309,0.703125
25:20.7,-0.197021,0.233154,0.731445
25:20.7,-0.219971,0.233398,0.735596
25:20.7,-0.190918,0.247559,0.719971
25:20.7,-0.173828,0.263428,0.720703
25:20.7,-0.158203,0.280029,0.693848
