time,x,y,z
20:33.8,0.891846,0.605957,0.322266
20:33.8,0.892822,0.602539,0.329346
20:33.8,0.882324,0.58667,0.325684
20:33.8,0.86084,0.555664,0.331787
20:33.9,0.864502,0.54248,0.370605
20:33.9,0.898193,0.555664,0.424561
20:33.9,0.909912,0.574707,0.448975
20:33.9,0.894531,0.57666,0.460938
20:33.9,0.887695,0.581299,0.490967
20:33.9,0.898438,0.632324,0.515381
20:33.9,0.92749,0.706055,0.503662
20:33.9,0.957764,0.807373,0.499512
20:33.9,1.000488,0.951172,0.5
20:33.9,1.07251,1.065918,0.501709
20:34.0,1.053955,1.087891,0.488281
20:34.0,1.038818,1.020752,0.471924
20:34.0,0.982422,0.911865,0.45459
20:34.0,0.898926,0.795898,0.45166
20:34.0,0.874512,0.724121,0.467285
20:34.0,0.888428,0.702881,0.471436
20:34.0,0.905273,0.719238,0.427002
20:34.0,0.906738,0.690674,0.364014
20:34.0,0.892334,0.628662,0.28418
20:34.0,0.812988,0.501221,0.203613
20:34.1,0.748535,0.37207,0.13916
20:34.1,0.68335,0.227539,0.059326
20:34.1,0.587646,0.099365,0.011719
20:34.1,0.525391,-0.0271,-0.03418
20:34.1,0.478271,-0.119385,-0.049805
20:34.1,0.427734,-0.180176,-0.084229
20:34.1,0.34375,-0.227051,-0.130127
20:34.1,0.248779,-0.272949,-0.145508
20:34.1,0.166504,-0.305664,-0.176758
20:34.1,0.05249,-0.353027,-0.191162
20:34.2,-0.064453,-0.381348,-0.207031
20:34.2,-0.203613,-0.393311,-0.223877
20:34.2,-0.323242,-0.349121,-0.232666
20:34.2,-0.538574,-0.191406,-0.216064
20:34.2,-0.865723,-0.07373,-0.255615
20:34.2,-1.290771,-0.052734,-0.388916
20:34.2,-1.648926,-0.224854,-0.529297
20:34.2,-1.924072,-0.512695,-0.57959
20:34.2,-2.168213,-0.885742,-0.572998
20:34.2,-2.517578,-1.695801,-0.842529
20:34.3,-2.992676,-3.114746,-1.360352
20:34.3,-3.415771,-4.736572,-1.598145
20:34.3,-3.981689,-5.627197,-1.589844
20:34.3,-4.606201,-4.929199,-1.774658
20:34.3,-5.197021,-3.126709,-2.046387
20:34.3,-5.925537,-1.307373,-2.202637
20:34.3,-7.259033,0.019775,-1.806396
20:34.3,-8,1.767822,0.103027
20:34.3,-8,5.892822,4.01709
20:34.3,-8,7.999756,7.475342
20:34.4,-3.338623,7.988281,7.999756
20:34.4,2.657471,7.984375,7.999756
20:34.4,2.919922,7.999756,4.552002
20:34.4,1.697021,7.13623,-0.651611
20:34.4,0.999756,5.216797,1.417236
20:34.4,0.541992,3.325928,3.801514
20:34.4,0.219971,1.511475,3.338623
20:34.4,-0.003174,0.658936,1.662109
20:34.4,0.124268,0.651855,0.204346
20:34.4,0.488281,0.970215,-0.068604
20:34.5,0.763672,1.05542,0.25708
20:34.5,0.872559,0.902344,0.341797
20:34.5,0.861084,0.75415,0.393066
20:34.5,0.835449,0.6604,0.500488
20:34.5,0.812256,0.626953,0.560547
20:34.5,0.772949,0.617432,0.622803
20:34.5,0.706543,0.592529,0.657471
20:34.5,0.5979,0.543945,0.649902
20:34.5,0.50708,0.523682,0.620605
20:34.5,0.437256,0.48291,0.598877
20:34.6,0.39502,0.446533,0.509277
20:34.6,0.391602,0.415283,0.372314
20:34.6,0.381592,0.385498,0.217285
20:34.6,0.355713,0.344238,0.035645
20:34.6,0.300293,0.269287,-0.081055
20:34.6,0.202148,0.188965,-0.110107
20:34.6,0.163086,0.109375,-0.092773
20:34.6,0.121826,0.028076,-0.116211
20:34.6,0.030518,-0.035889,-0.178467
20:34.6,-0.065674,-0.113525,-0.228271
20:34.7,-0.161865,-0.209473,-0.276123
20:34.7,-0.258545,-0.29126,-0.32666
20:34.7,-0.339111,-0.357178,-0.313721
20:34.7,-0.435059,-0.375488,-0.281738
20:34.7,-0.548096,-0.311523,-0.265381
20:34.7,-0.775146,-0.18335,-0.233154
20:34.7,-1.068115,-0.106934,-0.202393
20:34.7,-1.438477,-0.133057,-0.220215
20:34.7,-1.773682,-0.336182,-0.235596
20:34.7,-2.143066,-0.928223,-0.261475
20:34.8,-2.716553,-2.160645,-0.455811
20:34.8,-3.277588,-4.002686,-0.804688
20:34.8,-3.852051,-5.807373,-0.665771
20:34.8,-4.361816,-5.908447,-0.623047
20:34.8,-4.719727,-4.434814,-0.818359
20:34.8,-5.214111,-2.569824,-1.003662
20:34.8,-5.609131,-0.946289,-1.403809
20:34.8,-6.466553,0.168213,-1.591064
20:34.8,-7.647217,1.591797,-0.184814
20:34.8,-8,4.334229,3.096924
20:34.9,-7.770996,7.696045,6.951416
20:34.9,-3.827881,7.999756,7.999756
20:34.9,2.393555,7.984375,7.999756
20:34.9,2.922607,7.999756,4.824951
20:34.9,2.296631,7.885742,-1.205078
20:34.9,1.581055,6.338135,1.321045
20:34.9,0.357422,3.513184,3.487305
20:34.9,-0.175537,1.436523,2.889893
20:34.9,-0.465088,0.52417,1.44751
20:34.9,-0.150879,0.530762,0.001221
20:35.0,0.186768,0.889893,-0.423828
20:35.0,0.404053,0.908691,-0.162354
20:35.0,0.572266,0.671631,0.08667
20:35.0,0.634766,0.506592,0.198975
20:35.0,0.655518,0.439453,0.20752
20:35.0,0.692627,0.429688,0.245117
20:35.0,0.703125,0.448975,0.351318
20:35.0,0.675537,0.486328,0.455566
20:35.0,0.637939,0.509766,0.51001
20:35.0,0.572021,0.530029,0.523193
20:35.1,0.485352,0.519775,0.506592
20:35.1,0.420166,0.485352,0.456055
20:35.1,0.396729,0.440186,0.38501
20:35.1,0.372314,0.407959,0.288086
20:35.1,0.358154,0.41626,0.158447
20:35.1,0.308838,0.36792,0.060547
20:35.1,0.206543,0.282471,-0.009521
20:35.1,0.076416,0.201416,-0.116211
20:35.1,-0.014404,0.139893,-0.20166
20:35.1,-0.111816,0.040527,-0.239746
20:35.2,-0.226807,-0.052734,-0.273926
20:35.2,-0.32373,-0.125488,-0.285156
20:35.2,-0.431885,-0.150635,-0.271729
20:35.2,-0.524902,-0.18042,-0.255127
20:35.2,-0.653809,-0.182373,-0.241455
20:35.2,-0.800537,-0.214111,-0.208984
20:35.2,-1.026855,-0.286621,-0.197998
20:35.2,-1.230469,-0.357178,-0.219238
20:35.2,-1.491699,-0.572998,-0.289307
20:35.2,-1.972168,-1.106201,-0.368164
20:35.3,-2.468994,-2.020752,-0.610596
20:35.3,-2.989258,-3.265625,-0.655029
20:35.3,-3.525391,-4.461426,-0.516846
20:35.3,-4.133301,-4.830322,-0.633789
20:35.3,-4.660645,-4.111816,-0.783447
20:35.3,-5.058105,-2.781982,-0.621094
20:35.3,-5.64917,-1.407471,-0.563477
20:35.3,-6.425781,-0.294922,-0.975098
20:35.3,-7.359375,1.027588,-0.93457
20:35.3,-7.877441,2.921631,0.185791
20:35.4,-7.964111,4.912109,2.631836
20:35.4,-6.5896,6.636475,6.447021
20:35.4,-2.300537,7.999756,7.999756
20:35.4,2.033936,7.984375,7.834229
20:35.4,2.922363,7.995361,4.95166
20:35.4,2.29248,7.821289,1.235596
20:35.4,1.356689,5.766113,2.698975
20:35.4,0.495361,3.80249,4.114746
20:35.4,0.224121,2.118652,3.45752
20:35.4,0.132324,1.452881,1.837402
20:35.5,0.226318,1.343994,0.469238
20:35.5,0.345947,1.281494,0.032715
20:35.5,0.477051,1.098145,0.071289
20:35.5,0.593262,0.870605,0.179932
20:35.5,0.630371,0.665527,0.238525
20:35.5,0.604004,0.502441,0.306396
20:35.5,0.587158,0.449951,0.383789
20:35.5,0.577393,0.425781,0.446533
20:35.5,0.57251,0.431396,0.506592
20:35.5,0.527832,0.486328,0.505859
20:35.6,0.45166,0.503906,0.421631
20:35.6,0.38501,0.464111,0.349609
20:35.6,0.364746,0.399658,0.3125
20:35.6,0.356934,0.354492,0.285889
20:35.6,0.362061,0.305908,0.243896
20:35.6,0.352783,0.264893,0.162598
20:35.6,0.303711,0.240234,0.11377
20:35.6,0.236328,0.183594,0.126465
20:35.6,0.17334,0.121094,0.128174
20:35.6,0.114014,0.090576,0.067139
20:35.7,0.03418,0.033691,-0.007568
20:35.7,-0.05249,-0.029053,-0.031006
20:35.7,-0.147217,-0.105957,-0.0625
20:35.7,-0.25293,-0.16626,-0.089844
20:35.7,-0.347656,-0.17749,-0.148682
20:35.7,-0.425049,-0.163086,-0.178467
20:35.7,-0.537598,-0.152344,-0.123047
20:35.7,-0.679199,-0.154297,-0.071289
20:35.7,-0.85376,-0.202393,-0.04541
20:35.7,-1.023682,-0.32959,-0.066895
20:35.8,-1.191406,-0.386963,-0.077637
20:35.8,-1.408936,-0.45752,-0.030762
20:35.8,-1.656494,-0.62793,-0.002686
20:35.8,-1.983887,-0.896729,-0.030273
20:35.8,-2.352051,-1.59375,-0.19165
20:35.8,-2.916748,-2.893311,-0.349121
20:35.8,-3.703857,-4.503906,-0.527344
20:35.8,-4.303467,-4.46875,-0.687744
20:35.8,-4.316406,-3.261719,-0.876709
20:35.8,-4.567871,-2.241943,-1.12915
20:35.9,-5.09668,-1.556641,-1.870605
20:35.9,-5.659668,-0.734375,-2.382568
20:35.9,-7.512451,0.051514,-1.812256
20:35.9,-8,3.431396,1.198486
20:35.9,-8,7.522461,6.266846
20:35.9,-6.584229,7.999756,7.927979
20:35.9,0.052246,7.984375,7.999756
20:35.9,2.747314,7.984375,6.734863
20:35.9,2.66626,7.999756,-0.281494
20:35.9,2.55957,7.868652,-0.618896
20:36.0,2.278076,6.58252,1.056396
20:36.0,0.632813,4.399414,1.585693
20:36.0,-0.628418,2.034668,1.423584
20:36.0,-1.122803,0.587402,0.967773
20:36.0,-0.841064,-0.143066,0.18335
20:36.0,-0.357178,-0.187988,-0.26001
20:36.0,0.132324,-0.173584,-0.361816
20:36.0,0.346191,-0.233643,-0.318604
20:36.0,0.519531,-0.139893,-0.131836
20:36.0,0.676514,0.057129,0.114502
20:36.1,0.79834,0.230469,0.384766
20:36.1,0.870117,0.389404,0.5979
20:36.1,0.889648,0.543701,0.715332
20:36.1,0.854736,0.647461,0.68042
20:36.1,0.833496,0.714355,0.624023
20:36.1,0.760498,0.721191,0.54248
20:36.1,0.691162,0.713135,0.491455
20:36.1,0.68042,0.681641,0.469727
20:36.1,0.644531,0.661621,0.375488
20:36.1,0.586182,0.605469,0.260986
20:36.2,0.511963,0.543945,0.145508
20:36.2,0.462402,0.49707,0.020752
20:36.2,0.371826,0.462891,-0.089355
20:36.2,0.249268,0.428467,-0.19165
20:36.2,0.091797,0.325439,-0.264404
20:36.2,-0.078857,0.210693,-0.311279
20:36.2,-0.247559,0.072021,-0.315918
20:36.2,-0.427734,0.05127,-0.312012
20:36.2,-0.586914,0.145264,-0.281982
20:36.2,-0.796387,0.208008,-0.184814
20:36.3,-1.092285,0.248291,-0.049805
20:36.3,-1.465576,0.217285,-0.009033
20:36.3,-1.854736,0.093018,-0.049805
20:36.3,-2.21167,-0.181396,-0.20874
20:36.3,-2.498047,-0.846436,-0.478271
20:36.3,-2.706055,-1.975342,-0.872559
20:36.3,-2.824219,-3.773438,-1.32251
20:36.3,-3.173096,-5.31543,-1.553955
20:36.3,-3.495361,-5.550781,-1.611816
20:36.3,-3.60083,-4.627197,-1.594238
20:36.4,-3.793701,-3.281494,-1.888428
20:36.4,-4.230713,-1.897217,-2.235596
20:36.4,-5.319824,-0.858398,-1.884277
20:36.4,-7.390625,1.168457,0.255371
20:36.4,-8,4.32373,4.149414
20:36.4,-7.734863,7.089111,7.466309
20:36.4,-1.579346,7.999756,7.999756
20:36.4,3.54126,7.999756,7.999756
20:36.4,4.289307,7.999756,4.603516
20:36.4,2.945801,6.794434,0.013428
20:36.5,1.883789,4.775391,-0.435547
20:36.5,1.388428,3.668701,0.79248
20:36.5,0.68042,2.320068,1.640381
20:36.5,-0.01416,1.289307,1.514648
20:36.5,-0.306885,0.650146,0.910156
20:36.5,-0.279297,0.230957,0.230469
20:36.5,-0.104004,0.203857,-0.304932
20:36.5,0.133545,0.230225,-0.608887
20:36.5,0.126221,0.145996,-0.880127
20:36.5,-0.029785,0.071045,-0.998047
20:36.6,-0.271973,0.053711,-0.965576
20:36.6,-0.563965,0,-0.901855
20:36.6,-0.945801,-0.099121,-0.841309
20:36.6,-1.264404,-0.294678,-0.733643
20:36.6,-1.46582,-0.778564,-0.61792
20:36.6,-1.628418,-1.734131,-0.560547
20:36.6,-1.777588,-3.077637,-0.648926
20:36.6,-1.766846,-4.125244,-0.823486
20:36.6,-1.671387,-4.38916,-1.031982
20:36.6,-1.612061,-3.639648,-1.088135
20:36.7,-1.855225,-2.541748,-0.674805
20:36.7,-2.492676,-0.942139,0.352539
20:36.7,-3.007324,1.217773,1.695557
20:36.7,-2.681641,3.347412,3.56665
20:36.7,-1.234619,5.066162,5.528564
20:36.7,1.383789,5.700195,5.498779
20:36.7,3.728027,6.194336,3.911865
20:36.7,3.850098,6.059326,2.032471
20:36.7,2.719238,4.508301,-0.081055
20:36.7,1.520508,3.134277,-0.522949
20:36.8,0.86499,2.049072,0.359863
20:36.8,0.411377,1.113037,1.087891
20:36.8,0.176758,0.537598,1.018066
20:36.8,0.07251,0.132813,0.726074
20:36.8,0.129639,-0.034912,0.428955
20:36.8,0.206055,-0.082031,0.131836
20:36.8,0.231201,-0.133789,-0.123047
20:36.8,0.223633,-0.218262,-0.325928
20:36.8,0.140381,-0.293457,-0.445068
20:36.8,0.032471,-0.348145,-0.46167
20:36.9,-0.061523,-0.398682,-0.402588
20:36.9,-0.125,-0.45874,-0.327148
20:36.9,-0.240479,-0.532715,-0.347168
20:36.9,-0.404053,-0.712402,-0.400146
20:36.9,-0.536865,-1.026367,-0.533691
20:36.9,-0.538818,-1.498779,-0.729736
20:36.9,-0.494873,-2.126221,-0.905518
20:36.9,-0.4021,-2.591064,-1.039307
20:36.9,-0.283691,-2.682373,-1.093018
20:36.9,-0.34082,-2.427979,-0.831299
20:37.0,-0.627441,-1.699463,-0.194092
20:37.0,-1.058838,-0.688721,0.499023
20:37.0,-1.487793,0.581299,1.432617
20:37.0,-1.479248,2.4646,2.741455
20:37.0,0.015381,4.309082,3.693359
20:37.0,2.378418,5.091553,3.658691
20:37.0,3.604492,5.391113,2.754883
20:37.0,3.561279,5.274658,1.141357
20:37.0,2.80127,4.443848,-0.217773
20:37.0,1.923096,3.385742,-0.272949
20:37.1,1.2146,2.51001,0.275391
20:37.1,0.60376,1.844727,0.73877
20:37.1,0.168945,1.286133,0.907227
20:37.1,-0.035156,0.836426,0.801758
20:37.1,-0.097168,0.545654,0.576904
20:37.1,-0.132813,0.391357,0.3125
20:37.1,-0.202637,0.294678,0.11084
20:37.1,-0.36377,0.282227,-0.029785
20:37.1,-0.590576,0.260742,-0.128174
20:37.1,-0.947266,0.233887,-0.141113
20:37.2,-1.3479,0.16748,-0.156982
20:37.2,-1.621094,0.08252,-0.139648
20:37.2,-1.89624,-0.149902,-0.078613
20:37.2,-2.202637,-0.700195,0.117676
20:37.2,-2.601563,-1.930176,0.171875
20:37.2,-2.912354,-3.719971,-0.245361
20:37.2,-3.124268,-5.321533,-0.668945
20:37.2,-2.987061,-5.513428,-1.106201
20:37.2,-2.648682,-4.508057,-1.452881
20:37.2,-2.794189,-3.178467,-1.457764
20:37.3,-3.389893,-1.686768,-1.03418
20:37.3,-4.503418,0.226318,0.31665
20:37.3,-5.500732,2.509521,2.195068
20:37.3,-4.874756,5.670898,4.738037
20:37.3,-1.467041,7.999756,7.999756
20:37.3,4.260498,7.549805,7.167725
20:37.3,5.129395,7.988281,5.57666
20:37.3,3.819824,7.296143,0.752197
20:37.3,1.807861,4.674072,-1.359619
20:37.3,1.094238,3.06958,-0.333984
20:37.4,0.268311,1.838135,1.149414
20:37.4,-0.131104,0.908447,1.643311
20:37.4,-0.216797,0.480469,1.336182
20:37.4,-0.178955,0.249512,0.954102
20:37.4,-0.15918,0.175781,0.605225
20:37.4,-0.2146,0.121094,0.220947
20:37.4,-0.310547,0.162598,-0.192627
20:37.4,-0.568604,0.147461,-0.416016
20:37.4,-0.897705,0.064453,-0.446777
20:37.4,-1.248047,-0.102783,-0.444092
20:37.5,-1.615234,-0.578125,-0.487305
20:37.5,-2.16626,-1.72998,-0.469971
20:37.5,-2.624023,-3.287842,-0.415771
20:37.5,-2.893311,-4.627441,-0.556885
20:37.5,-2.899414,-5.110596,-0.779297
20:37.5,-2.623779,-4.438965,-1.263916
20:37.5,-2.360352,-3.132813,-1.684326
20:37.5,-2.635254,-1.758545,-1.283936
20:37.5,-3.386963,0.020752,0.099121
20:37.5,-3.840088,2.114746,1.819092
20:37.6,-3.085693,4.556396,4.443115
20:37.6,-0.388184,6.093506,7.051025
20:37.6,3.598389,6.745605,6.990479
20:37.6,5.25,7.56958,4.718506
20:37.6,3.71875,6.283447,1.437012
20:37.6,2.151123,4.105225,-0.484131
20:37.6,1.302979,2.72168,-0.39502
20:37.6,0.478516,1.617188,0.401123
20:37.6,0.060547,0.771973,0.927734
20:37.6,-0.011475,0.381592,0.918701
20:37.7,0.01709,0.1604,0.716064
20:37.7,-0.01416,0.038574,0.477295
20:37.7,-0.107422,-0.025879,0.20874
20:37.7,-0.277832,-0.10791,-0.050537
20:37.7,-0.507813,-0.220459,-0.310791
20:37.7,-0.689697,-0.419189,-0.519531
20:37.7,-0.888672,-0.668701,-0.740479
20:37.7,-1.208984,-1.117676,-0.854492
20:37.7,-1.484619,-1.813721,-0.736816
20:37.7,-1.702637,-2.714111,-0.556641
20:37.8,-1.877686,-3.471191,-0.586426
20:37.8,-1.947998,-3.859863,-0.843994
20:37.8,-1.810547,-3.394775,-0.984131
20:37.8,-1.57959,-2.501465,-0.890625
20:37.8,-1.804932,-1.37085,-0.101807
20:37.8,-2.167725,0.040771,0.921875
20:37.8,-2.144531,1.625244,2.207031
20:37.8,-1.445801,3.859375,4.10083
20:37.8,0.698486,5.178467,4.834473
20:37.8,3.382568,5.826416,3.695068
20:37.9,4.032959,6.087646,1.974121
20:37.9,3.583984,5.387207,-0.017578
20:37.9,2.666016,4.246582,-0.904297
20:37.9,1.729248,2.98584,-0.350098
20:37.9,0.882813,2.011963,0.322021
20:37.9,0.223877,1.355469,0.678711
20:37.9,-0.02832,0.821777,0.719482
20:37.9,-0.094727,0.339111,0.607666
20:37.9,-0.205322,0.008057,0.411865
20:37.9,-0.203857,-0.015869,0.106934
20:38.0,-0.244141,-0.002441,-0.111084
20:38.0,-0.429688,-0.06543,-0.246094
20:38.0,-0.66333,-0.070557,-0.310303
20:38.0,-1.001465,-0.260742,-0.449951
20:38.0,-1.462646,-0.918945,-0.593506
20:38.0,-1.901611,-2.009766,-0.435303
20:38.0,-2.13501,-3.108643,-0.378906
20:38.0,-2.334229,-3.859863,-0.259277
20:38.0,-2.348633,-3.933105,-0.441895
20:38.0,-2.188721,-3.389648,-0.851563
20:38.1,-2.048584,-2.472412,-1.157471
20:38.1,-2.142334,-1.289307,-0.721191
20:38.1,-2.366943,0.201416,0.726074
20:38.1,-2.114746,1.704346,2.059326
20:38.1,-1.498779,3.327393,3.520752
20:38.1,-0.04834,4.886719,4.733643
20:38.1,2.354736,5.547363,4.282227
20:38.1,4.088867,6.055908,2.96582
20:38.1,4.176758,5.914307,1.714844
20:38.1,3.237793,4.929932,0.664063
20:38.2,1.90332,3.421387,0.616943
20:38.2,0.829834,2.027832,0.943848
20:38.2,0.204102,1.200439,1.012939
20:38.2,-0.040039,0.653076,1.007568
20:38.2,-0.058838,0.21582,0.884277
20:38.2,-0.053711,-0.005859,0.520752
20:38.2,-0.100098,-0.087158,0.101563
20:38.2,-0.168945,-0.09082,-0.221436
20:38.2,-0.320068,-0.120117,-0.49585
20:38.2,-0.542725,-0.218506,-0.625
20:38.3,-0.729492,-0.289063,-0.684326
20:38.3,-0.898926,-0.400635,-0.790771
20:38.3,-1.123779,-0.758545,-0.857666
20:38.3,-1.395752,-1.449707,-0.851807
20:38.3,-1.591553,-2.450439,-0.813721
20:38.3,-1.764404,-3.408691,-0.978027
20:38.3,-1.886475,-4.096191,-1.298096
20:38.3,-1.874268,-3.993164,-1.599365
20:38.3,-1.848145,-2.919189,-1.454834
20:38.3,-1.902344,-1.379639,-0.386719
20:38.4,-2.283447,-0.065918,0.934814
20:38.4,-2.445557,1.201172,2.188477
20:38.4,-1.789307,3.143799,4.017578
20:38.4,-0.078369,4.884277,5.658203
20:38.4,3.072266,5.313721,4.731689
20:38.4,4.333984,5.704834,3.272949
20:38.4,4.054688,5.522705,1.371094
20:38.4,3.003418,4.361572,0.315186
20:38.4,1.764404,2.792236,0.522461
20:38.4,0.780273,1.669434,0.814941
20:38.5,0.220703,0.980713,0.852539
20:38.5,-0.024658,0.368652,0.849121
20:38.5,-0.063477,0.046631,0.615967
20:38.5,-0.052002,0.103516,0.187256
20:38.5,-0.136963,0.056396,-0.11377
20:38.5,-0.375732,-0.121826,-0.462891
20:38.5,-0.667236,-0.159424,-0.754639
20:38.5,-0.882568,-0.297363,-0.857666
20:38.5,-1.066895,-0.614258,-1.063965
20:38.5,-1.443604,-1.46167,-1.155029
20:38.6,-1.802246,-2.626709,-1.111816
20:38.6,-1.967773,-3.726318,-1.031494
20:38.6,-1.98291,-4.141357,-1.066162
20:38.6,-1.823242,-3.785645,-1.435547
20:38.6,-1.802002,-2.968994,-1.593994
20:38.6,-1.995361,-1.661133,-0.923828
20:38.6,-2.329834,-0.26709,0.322754
20:38.6,-2.44873,1.068359,1.812988
20:38.6,-2.003174,2.643799,3.599365
20:38.6,-0.260498,4.533447,5.561523
20:38.7,2.450684,5.124023,5.5271
20:38.7,4.495605,5.806396,4.395264
20:38.7,4.337158,5.894287,2.52417
20:38.7,3.02417,4.458496,0.667725
20:38.7,1.643311,2.954346,0.345459
20:38.7,0.709961,1.651611,0.685303
20:38.7,0.206055,0.839844,0.85376
20:38.7,0.03833,0.5,0.782471
20:38.7,-0.022217,0.288086,0.674561
20:38.7,-0.06543,0.07251,0.396484
20:38.8,-0.135254,-0.037354,-0.007324
