time,x,y,z
19:36.5,-0.442627,0.40625,0.069092
19:36.5,-0.568848,0.333008,0.074951
19:36.5,-0.673584,0.226563,0.07666
19:36.5,-0.723877,0.094971,0.092041
19:36.5,-0.800293,0.025635,0.092529
19:36.5,-0.878662,-0.056152,0.106201
19:36.6,-0.985107,-0.074463,0.139648
19:36.6,-1.17334,-0.133789,0.127197
19:36.6,-1.38208,-0.258057,0.078613
19:36.6,-1.591064,-0.49707,0.093506
19:36.6,-1.880615,-0.806641,0.109619
19:36.6,-2.137207,-1.443115,0.125
19:36.6,-2.363037,-2.257813,0.101807
19:36.6,-2.612061,-2.765381,-0.091309
19:36.6,-2.700195,-2.7771,-0.47876
19:36.6,-2.828613,-2.642578,-0.957764
19:36.7,-3.162598,-2.384033,-1.265625
19:36.7,-3.743408,-2.008545,-1.192139
19:36.7,-4.980225,-0.602783,-0.725586
19:36.7,-7.003906,1.793945,0.67334
19:36.7,-8,5.640869,2.874268
19:36.7,-7.551758,7.999756,5.713135
19:36.7,-2.974854,7.984375,7.999756
19:36.7,3.905518,7.999756,7.999756
19:36.7,5.475098,7.903076,7.446289
19:36.7,0.017334,6.154053,4.321777
19:36.8,-0.919922,2.551025,2.278076
19:36.8,-0.856934,0.77002,1.731934
19:36.8,-0.390625,0.702881,1.483643
19:36.8,0.086182,0.871582,1.340332
19:36.8,0.352539,0.991943,1.026123
19:36.8,0.456055,1.065186,0.836914
19:36.8,0.504639,1.141113,0.756836
19:36.8,0.601318,1.191406,0.768799
19:36.8,0.63501,1.216797,0.85791
19:36.8,0.585693,1.217285,0.883057
19:36.9,0.486328,1.155762,0.869873
19:36.9,0.359375,1.035156,0.858887
19:36.9,0.31958,0.897461,0.816162
19:36.9,-0.204346,0.966064,0.729004
19:36.9,-0.081055,0.720215,0.586182
19:36.9,0.333252,0.505615,0.486572
19:36.9,0.050293,0.665039,0.466064
19:36.9,0.043945,0.623291,0.393799
19:36.9,-0.026611,0.560059,0.339844
19:36.9,-0.084229,0.50415,0.306396
19:37.0,-0.156006,0.460693,0.250488
19:37.0,-0.255371,0.404053,0.174316
19:37.0,-0.347656,0.371582,0.135742
19:37.0,-0.452393,0.126465,-0.14209
19:37.0,-0.573242,0.034912,-0.084229
19:37.0,-0.641846,-0.066162,0.108887
19:37.0,-0.680176,-0.224365,0.139648
19:37.0,-0.747314,-0.327881,0.150146
19:37.0,-0.830566,-0.416504,0.177246
19:37.0,-0.966064,-0.459961,0.139648
19:37.1,-1.167725,-0.469727,0.040039
19:37.1,-1.345215,-0.601807,0.000488
19:37.1,-1.557861,-0.812988,-0.063721
19:37.1,-1.769043,-1.151367,-0.247559
19:37.1,-1.96582,-1.661377,-0.474365
19:37.1,-2.256348,-2.046875,-0.680176
19:37.1,-2.395508,-2.261719,-0.795166
19:37.1,-2.641846,-2.297607,-0.97998
19:37.1,-2.912354,-2.197754,-1.131104
19:37.1,-3.336914,-1.798096,-1.138672
19:37.2,-4.175781,-1.027344,-0.913574
19:37.2,-5.531006,0.330811,0.302979
19:37.2,-7.309326,3.13916,2.147705
19:37.2,-7.812012,7.345947,5.436523
19:37.2,-4.306885,7.976563,7.95459
19:37.2,2.941162,7.984375,7.234131
19:37.2,5.564697,7.984619,2.43335
19:37.2,3.016602,7.925537,0.821289
19:37.2,-0.03125,5.692871,0.103027
19:37.2,-0.527832,2.797119,1.132324
19:37.3,-0.101074,1.341309,1.59082
19:37.3,0.095215,0.920654,1.176025
19:37.3,0.307373,0.895264,0.581543
19:37.3,0.54126,1.052734,0.08667
19:37.3,0.682129,1.245117,0.002686
19:37.3,0.719482,1.248535,0.067139
19:37.3,0.657227,1.177979,0.242188
19:37.3,0.588379,1.047363,0.507568
19:37.3,0.510742,0.956299,0.703857
19:37.3,0.447021,0.857178,0.764404
19:37.4,0.356934,0.748291,0.742188
19:37.4,0.248047,0.64917,0.681641
19:37.4,0.182373,0.546143,0.590576
19:37.4,0.13501,0.503662,0.469971
19:37.4,0.070557,0.48999,0.346924
19:37.4,0.002441,0.455078,0.231445
19:37.4,-0.079834,0.428711,0.112061
19:37.4,-0.150879,0.417725,0.023438
19:37.4,-0.22168,0.395996,-0.038574
19:37.4,-0.323975,0.323242,-0.05127
19:37.5,-0.453613,0.188232,-0.05127
19:37.5,-0.579102,0.058105,-0.033447
19:37.5,-0.680176,-0.067627,0.023438
19:37.5,-0.758057,-0.189453,0.105957
19:37.5,-0.825439,-0.23999,0.199463
19:37.5,-0.942383,-0.303467,0.226807
19:37.5,-1.064209,-0.407959,0.183594
19:37.5,-1.174072,-0.526123,0.094727
19:37.5,-1.269043,-0.704346,-0.03125
19:37.5,-1.387451,-0.963867,-0.197754
19:37.6,-1.567871,-1.271973,-0.411865
19:37.6,-1.832764,-1.596924,-0.646484
19:37.6,-2.131836,-1.929199,-0.777832
19:37.6,-2.373047,-2.036865,-0.779785
19:37.6,-2.60083,-1.793457,-0.745117
19:37.6,-2.87207,-1.615967,-0.788818
19:37.6,-3.2146,-1.376465,-0.805664
19:37.6,-3.640869,-0.714355,-0.899658
19:37.6,-4.497803,-0.020752,-0.936768
19:37.6,-6.106934,1.258057,-0.009033
19:37.7,-7.862061,3.665039,1.966309
19:37.7,-7.950684,7.283203,5.485352
19:37.7,-5.156982,7.999756,7.773193
19:37.7,1.10376,7.984375,7.999756
19:37.7,3.148682,7.999756,7.336426
19:37.7,1.831299,6.881104,4.274902
19:37.7,0.099854,4.031494,1.56543
19:37.7,-0.544922,2.108643,1.564453
19:37.7,-0.149414,1.279053,2.531982
19:37.7,0.049561,1.111816,2.413574
19:37.8,0.087158,1.099609,1.512695
19:37.8,0.125977,1.182373,0.852295
19:37.8,0.247559,1.328125,0.529541
19:37.8,0.363525,1.406982,0.565186
19:37.8,0.452148,1.335693,0.69458
19:37.8,0.395996,1.254639,0.748779
19:37.8,0.301025,1.189941,0.735352
19:37.8,0.156738,1.109619,0.687256
19:37.8,0.093262,1.029785,0.752197
19:37.8,0.126709,0.999023,0.881104
19:37.9,0.156738,1.000488,0.975342
19:37.9,0.142334,1.01709,1.035645
19:37.9,0.194092,1.036621,1.043701
19:37.9,0.237793,1.104248,0.968506
19:37.9,0.236572,1.164063,0.837646
19:37.9,0.245605,1.166992,0.727295
19:37.9,0.161621,1.089844,0.613037
19:37.9,-0.010254,0.965576,0.488525
19:37.9,-0.182617,0.805176,0.395752
19:37.9,-0.31665,0.688965,0.30542
19:38.0,-0.419922,0.623291,0.251953
19:38.0,-0.517578,0.606689,0.221191
19:38.0,-0.6604,0.63623,0.204346
19:38.0,-0.867432,0.691162,0.282959
19:38.0,-1.167725,0.727051,0.41748
19:38.0,-1.628418,0.681152,0.524414
19:38.0,-2.06958,0.539063,0.612061
19:38.0,-2.330078,0.294434,0.606201
19:38.0,-2.629395,-0.144287,0.499756
19:38.0,-3.125244,-1.165771,0.435303
19:38.1,-3.667236,-2.982422,0.426514
19:38.1,-4.227783,-4.639893,0.667969
19:38.1,-4.544434,-5.024902,0.685303
19:38.1,-4.438232,-4.084717,0.223633
19:38.1,-4.572998,-2.498779,-0.096436
19:38.1,-5.432129,-0.553223,-0.465088
19:38.1,-7.206299,1.881104,0.431152
19:38.1,-8,6.061035,3.246582
19:38.1,-6.327148,7.999756,6.836182
19:38.1,-0.19751,7.995605,7.999756
19:38.2,6.568604,7.984375,7.999756
19:38.2,5.503662,7.999756,6.563232
19:38.2,0.01123,6.185059,3.142822
19:38.2,-0.809082,2.131104,1.962402
19:38.2,-0.115479,1.127441,1.613525
19:38.2,0.205078,1.631104,1.251465
19:38.2,0.381592,1.642578,0.915283
19:38.2,0.192383,1.24292,0.338135
19:38.2,-0.169678,0.877441,-0.039063
19:38.2,-0.631348,0.561523,-0.261475
19:38.3,-1.237061,0.09375,-0.575684
19:38.3,-1.671143,-0.423096,-0.961426
19:38.3,-2.076904,-1.172119,-1.253662
19:38.3,-2.675293,-2.445313,-1.377197
19:38.3,-3.09082,-3.689209,-1.095947
19:38.3,-3.109375,-4.291016,-0.423584
19:38.3,-2.963867,-3.76123,-0.105469
19:38.3,-2.751953,-2.423584,-0.01123
19:38.3,-2.572021,-0.840332,0.609375
19:38.3,-2.884033,0.768799,1.451172
19:38.4,-2.758545,2.986816,2.569336
19:38.4,-1.254395,6.409912,4.558838
19:38.4,2.151611,7.778564,5.387695
19:38.4,4.142578,7.237549,3.337158
19:38.4,3.238037,6.463867,1.053223
19:38.4,1.739746,4.598145,0.185547
19:38.4,0.74292,2.831299,0.282715
19:38.4,0.431152,1.751465,0.399902
19:38.4,0.39209,1.260742,0.481689
19:38.4,0.328369,1.125488,0.547119
19:38.5,0.311035,1.091797,0.4021
19:38.5,0.210938,0.977295,0.226074
19:38.5,0.012207,0.833984,0.099854
19:38.5,-0.267578,0.737061,0.010254
19:38.5,-0.606445,0.584473,0.019043
19:38.5,-0.926025,0.351807,0.069092
19:38.5,-1.240723,0.102783,0.095215
19:38.5,-1.507568,-0.107666,0.069824
19:38.5,-1.787354,-0.599121,-0.005371
19:38.5,-2.09668,-1.428711,-0.080078
19:38.6,-2.23584,-2.505371,0.039551
19:38.6,-2.143555,-3.37085,0.230469
19:38.6,-2.021973,-3.646484,0.281006
19:38.6,-1.984131,-3.051025,0.198975
19:38.6,-1.954102,-1.780273,0.223633
19:38.6,-2.197021,-0.009033,0.530273
19:38.6,-2.730225,2.04248,1.310791
19:38.6,-2.057617,4.655029,2.701172
19:38.6,0.389648,6.785645,4.595947
19:38.6,3.478516,7.107178,5.4729
19:38.7,4.241211,6.248291,3.413818
19:38.7,2.633301,5.215088,0.80835
19:38.7,1.369873,3.521973,-0.2229
19:38.7,0.851074,2.261475,0.025391
19:38.7,0.676758,1.611816,0.375
19:38.7,0.532959,1.279541,0.409668
19:38.7,0.349121,0.989014,0.312744
19:38.7,0.212158,0.741699,0.17749
19:38.7,0.124756,0.599854,0.000488
19:38.7,0.006836,0.464111,-0.165771
19:38.8,-0.171387,0.322266,-0.279053
19:38.8,-0.433594,0.13916,-0.320313
19:38.8,-0.674316,-0.098877,-0.369873
19:38.8,-0.865234,-0.466064,-0.459961
19:38.8,-1.113525,-1.016357,-0.544922
19:38.8,-1.325439,-1.638916,-0.495117
19:38.8,-1.341064,-2.054199,-0.286133
19:38.8,-1.196045,-2.084717,-0.041504
19:38.8,-1.029053,-1.765137,0.136719
19:38.8,-1.039063,-1.267578,0.323975
19:38.9,-1.256104,-0.435303,0.698975
19:38.9,-1.368408,0.903076,1.260498
19:38.9,-0.80542,2.731689,2.231201
19:38.9,0.595703,4.726807,3.280273
19:38.9,2.951172,5.296387,3.496094
19:38.9,3.64502,5.005859,2.497803
19:38.9,2.716309,4.510742,1.005615
19:38.9,1.718994,3.539551,0.245361
19:38.9,0.956055,2.445557,0.331543
19:38.9,0.509033,1.701904,0.439453
19:39.0,0.296387,1.270752,0.407715
19:39.0,0.198242,0.975098,0.34082
19:39.0,0.177734,0.79541,0.310303
19:39.0,0.146484,0.682373,0.219727
19:39.0,0.006104,0.544678,0.161865
19:39.0,-0.21167,0.38501,0.145508
19:39.0,-0.434082,0.242676,0.099609
19:39.0,-0.688721,0.05542,0.063477
19:39.0,-0.931152,-0.150635,0.079346
19:39.0,-1.156494,-0.383301,0.035889
19:39.1,-1.395996,-0.823242,-0.060059
19:39.1,-1.701416,-1.463867,-0.093506
19:39.1,-1.829834,-2.186035,-0.109131
19:39.1,-1.843994,-2.638184,-0.095459
19:39.1,-1.84082,-2.61499,-0.174561
19:39.1,-1.774414,-1.924072,-0.111816
19:39.1,-1.741211,-0.849854,0.42749
19:39.1,-1.94043,0.359619,1.20166
19:39.1,-2.238281,1.756104,2.099609
19:39.1,-1.417725,4.339355,3.431396
19:39.2,0.878174,6.938477,4.414307
19:39.2,3.766357,7.133545,2.66626
19:39.2,3.669678,7.367188,-0.718262
19:39.2,2.416748,6.149902,-2.342773
19:39.2,1.588135,4.537842,-1.112305
19:39.2,1.058838,3.216064,0.23584
19:39.2,0.694336,2.248779,0.592773
19:39.2,0.500488,1.614746,0.513428
19:39.2,0.522705,1.256104,0.343994
19:39.2,0.506836,1.155273,0.116943
19:39.3,0.316895,1.014893,-0.045166
19:39.3,0.057861,0.821289,-0.008057
19:39.3,-0.26416,0.601318,0.083252
19:39.3,-0.664551,0.344238,0.113525
19:39.3,-1.015869,0.146729,0.153076
19:39.3,-1.243896,-0.061279,0.168213
19:39.3,-1.494385,-0.447998,0.109375
19:39.3,-1.880371,-1.258545,0.041016
19:39.3,-2.097412,-2.281738,0.08252
19:39.3,-2.179443,-3.176758,0.171143
19:39.4,-2.23999,-3.477539,0.256348
19:39.4,-2.165283,-2.869141,0.150879
19:39.4,-2.18335,-1.998779,0.054688
19:39.4,-2.54126,-0.846436,0.482178
19:39.4,-3.175781,0.680908,1.475342
19:39.4,-3.425049,2.542969,2.657715
19:39.4,-2.643555,5.506104,4.936523
19:39.4,-0.22998,7.762451,6.9646
19:39.4,3.987305,7.999756,4.949707
19:39.4,4.133301,7.638184,0.811523
19:39.5,1.956543,6.007813,-1.860352
19:39.5,1.14917,4.528809,-1.688965
19:39.5,0.514893,3.807861,-0.198242
19:39.5,-0.12793,3.104736,0.86084
19:39.5,-0.383545,2.275146,1.190186
19:39.5,-0.413818,1.643311,1.099365
19:39.5,-0.379883,1.361328,0.82666
19:39.5,-0.351807,1.265625,0.391602
19:39.5,-0.56665,1.306641,0.092285
19:39.5,-1.048096,1.276855,-0.032715
19:39.6,-1.791992,1.196533,-0.001465
19:39.6,-2.546143,1.124512,0.224609
19:39.6,-3.229736,1.098145,0.263916
19:39.6,-3.909424,0.454102,0.304932
19:39.6,-5.14917,-2.175537,0.369873
19:39.6,-5.839844,-6.118896,0.846191
19:39.6,-6.08252,-6.973633,1.082275
19:39.6,-5.584717,-5.733643,0.66626
19:39.6,-5.625,-3.406494,-0.049805
19:39.6,-6.635742,-0.448242,-0.101563
19:39.7,-7.938232,3.589355,1.798828
19:39.7,-8,7.217773,5.150879
19:39.7,-5.880615,7.972656,7.931152
19:39.7,0.001953,7.984375,7.992188
19:39.7,7.468018,7.984619,6.163086
19:39.7,2.665039,7.893799,0.150879
19:39.7,0.062012,4.482422,-1.661377
19:39.7,0.435547,3.246338,-0.810303
19:39.7,-0.158936,2.749512,0.768066
19:39.7,-0.291016,1.862549,1.208252
19:39.8,-0.214111,1.258301,1.057861
19:39.8,-0.054688,0.99585,0.736816
19:39.8,0.020508,0.832275,0.458984
19:39.8,0.109863,0.812012,0.207031
19:39.8,0.128174,0.916504,-0.112793
19:39.8,0.0354,1.187256,-0.226563
19:39.8,-0.402344,1.381836,-0.146729
19:39.8,-1.259521,1.27002,0.172119
19:39.8,-2.185303,1.200684,0.526367
19:39.8,-3.132813,1.089111,0.630859
19:39.9,-4.012939,0.064453,0.818115
19:39.9,-4.842041,-3.07666,1.254639
19:39.9,-5.096436,-6.687256,1.359375
19:39.9,-4.912842,-6.982422,1.268799
19:39.9,-4.703613,-5.186035,0.636475
19:39.9,-4.893311,-2.675781,0.020508
19:39.9,-5.930908,0.03125,0.221436
19:39.9,-7.604492,3.453369,1.96582
19:39.9,-8,7.001953,5.126953
19:39.9,-4.594727,7.999756,7.999756
19:40.0,4.294189,7.984375,7.999756
19:40.0,6.937744,7.999756,3.60376
19:40.0,1.038574,6.75708,-1.368652
19:40.0,-0.327148,3.880127,-1.697266
19:40.0,0.291016,3.141602,-0.237305
19:40.0,-0.201904,2.743652,1.088623
19:40.0,-0.410645,1.839844,1.189941
19:40.0,-0.416748,1.154053,0.799561
19:40.0,-0.32251,0.819336,0.535156
19:40.0,-0.141602,0.662598,0.369141
19:40.1,0.050049,0.653076,0.106689
19:40.1,-0.585938,0.957031,0.02417
19:40.1,-0.535645,0.752197,-0.370117
19:40.1,-1.003906,0.55127,-0.524414
19:40.1,-2.048096,0.546875,-0.333984
19:40.1,-2.711182,0.224365,-0.204834
19:40.1,-3.621826,-1.221924,0.094238
19:40.1,-4.076172,-4.115479,0.564453
19:40.1,-4.311279,-6.308105,0.94873
19:40.1,-4.345947,-6.438721,0.707031
19:40.2,-4.226563,-4.718994,-0.036621
19:40.2,-4.729736,-2.514404,-0.403809
19:40.2,-6.319336,0.460693,0.400146
19:40.2,-7.957764,4.53418,2.461914
19:40.2,-7.205078,7.642334,6.685791
19:40.2,-3.256348,7.999756,7.990723
19:40.2,5.883789,7.984375,7.999756
19:40.2,3.051514,7.999756,2.651367
19:40.2,-0.14624,5.406982,-1.656738
19:40.2,0.174561,3.314453,-1.438477
19:40.3,-0.330811,2.739258,0.522217
19:40.3,-0.448486,1.997314,1.617188
19:40.3,-0.499023,1.313477,1.416016
19:40.3,-0.473145,0.676514,1.23877
19:40.3,-0.378906,0.276611,0.847412
19:40.3,-0.282227,0.126221,0.333496
19:40.3,-0.185547,0.045654,-0.020264
19:40.3,-0.088867,0.000244,-0.176514
