time,x,y,z
28:45.8,-0.021973,0.933105,0.523926
28:45.8,-0.050049,0.892822,0.518799
28:45.9,-0.070313,0.86792,0.488037
28:45.9,-0.097656,0.829102,0.513184
28:45.9,-0.12207,0.803223,0.534424
28:45.9,-0.123535,0.778809,0.53125
28:45.9,-0.135986,0.743896,0.535645
28:45.9,-0.141357,0.721191,0.510986
28:45.9,-0.142822,0.719971,0.491211
28:45.9,-0.126709,0.707031,0.462402
28:45.9,-0.133789,0.70874,0.444092
28:45.9,-0.153076,0.671143,0.408447
28:46.0,-0.154541,0.629883,0.431641
28:46.0,-0.168457,0.625977,0.426025
28:46.0,-0.172119,0.614258,0.421387
28:46.0,-0.169922,0.5979,0.421875
28:46.0,-0.183105,0.580322,0.421875
28:46.0,-0.204346,0.57251,0.42334
28:46.0,-0.169922,0.621582,0.405029
28:46.0,-0.226074,0.604248,0.427246
28:46.0,-0.233643,0.536377,0.50293
28:46.0,-0.244629,0.545898,0.399414
28:46.1,-0.293945,0.533691,0.413818
28:46.1,-0.281494,0.515625,0.481689
28:46.1,-0.295654,0.531006,0.454346
28:46.1,-0.296143,0.516357,0.467773
28:46.1,-0.310303,0.516357,0.468262
28:46.1,-0.358154,0.484619,0.483643
28:46.1,-0.359375,0.499756,0.5
28:46.1,-0.343506,0.484619,0.46875
28:46.1,-0.311523,0.596191,0.501465
28:46.1,-0.296875,0.625732,0.565186
28:46.2,-0.311035,0.628174,0.594971
28:46.2,-0.261475,0.711914,0.592041
28:46.2,-0.232666,0.808105,0.55835
28:46.2,-0.230713,0.910156,0.529053
28:46.2,-0.179688,1.092285,0.529541
28:46.2,-0.130371,1.284424,0.514404
28:46.2,-0.063721,1.477539,0.511719
28:46.2,0.016846,1.681641,0.480957
28:46.2,0.099854,1.852539,0.486084
28:46.2,0.184814,1.998535,0.504883
28:46.3,0.191162,2.060791,0.546875
28:46.3,0.174561,2.052002,0.630127
28:46.3,0.088379,1.96167,0.681885
28:46.3,0.029053,1.87915,0.695068
28:46.3,-0.009033,1.782227,0.728027
28:46.3,-0.020752,1.686035,0.763916
28:46.3,-0.038086,1.598877,0.810547
28:46.3,-0.044922,1.540039,0.837402
28:46.3,-0.028076,1.475098,0.842529
28:46.3,-0.035645,1.421875,0.822998
28:46.4,-0.047119,1.391357,0.804688
28:46.4,-0.054443,1.337891,0.76001
28:46.4,-0.091797,1.267334,0.695068
28:46.4,-0.11792,1.1875,0.661865
28:46.4,-0.132813,1.10083,0.64917
28:46.4,-0.142822,1.016602,0.598145
28:46.4,-0.141846,0.950928,0.512695
28:46.4,-0.137207,0.874512,0.432373
28:46.4,-0.109863,0.821777,0.356934
28:46.4,-0.09082,0.765381,0.32373
28:46.5,-0.090088,0.720459,0.226318
28:46.5,-0.062012,0.711182,0.071777
28:46.5,-0.033691,0.702637,0.007568
28:46.5,-0.195801,0.709229,0.072998
28:46.5,0.494141,0.233398,-0.179443
28:46.5,0.233154,0.515625,-0.240967
28:46.5,-0.62085,1.135254,0.151123
28:46.5,-0.145264,0.829346,0.061035
28:46.5,-0.15332,0.879639,-0.196533
28:46.5,-0.513184,1.226318,0.093262
