time,x,y,z
22:48.5,0.431152,1.694092,0.90332
22:48.5,0.387207,1.651367,0.893555
22:48.5,0.338867,1.619629,0.885254
22:48.5,0.289551,1.560547,0.928223
22:48.5,0.255859,1.497803,0.962646
22:48.5,0.221436,1.418457,0.991943
22:48.5,0.219482,1.35083,1.057129
22:48.5,0.205078,1.318115,1.065674
22:48.5,0.188232,1.256592,1.019775
22:48.5,0.187988,1.193848,0.98877
22:48.6,0.173096,1.098877,0.910645
22:48.6,0.141602,1.00293,0.830322
22:48.6,0.09375,0.890625,0.75
22:48.6,0.077148,0.762451,0.701172
22:48.6,0.029541,0.650391,0.604248
22:48.6,0.014893,0.538818,0.508057
22:48.6,0.014648,0.443359,0.4104
22:48.6,-0.001953,0.348389,0.282959
22:48.6,-0.015381,0.270508,0.190186
22:48.6,0.00293,0.209473,0.111328
22:48.7,0.015381,0.160889,0.034912
22:48.7,-0.002686,0.098145,-0.010498
22:48.7,-0.022949,0.050049,-0.051758
22:48.7,-0.073242,-0.018311,-0.047363
22:48.7,-0.127441,-0.091309,-0.043213
22:48.7,-0.200195,-0.121826,-0.000244
22:48.7,-0.236328,-0.166016,0.091309
22:48.7,-0.349121,-0.136719,0.204102
22:48.7,-0.524414,0.020752,0.29126
22:48.7,-0.857178,0.261963,0.343506
22:48.8,-1.512695,0.530518,0.368408
22:48.8,-2.281006,0.627197,0.371338
22:48.8,-3.04126,0.525635,0.365967
22:48.8,-3.966797,-0.132568,0.371582
22:48.8,-5.123291,-2.261475,0.45752
22:48.8,-6.304932,-6.146729,1.073975
22:48.8,-7.430908,-8,1.623291
22:48.8,-7.77832,-6.39624,1.276611
22:48.8,-7.777588,-2.391602,1.016602
22:48.8,-7.931641,-0.014404,0.862549
22:48.9,-8,0.982178,0.273926
22:48.9,-8,3.05835,0.765137
22:48.9,-8,6.878174,4.835938
22:48.9,-8,7.999756,7.999756
22:48.9,-3.79834,7.984375,7.999756
22:48.9,4.20166,7.984375,7.999756
22:48.9,2.820801,7.984375,4.494629
22:48.9,0.419678,7.999756,-2.011719
22:48.9,0.453613,7.999756,-0.474854
22:48.9,0.485352,6.380615,2.725586
22:49.0,-0.331787,3.805176,2.924561
22:49.0,-1.135498,2.293945,2.071777
22:49.0,-1.390625,1.250488,1.04541
22:49.0,-1.018066,0.567627,0.563965
22:49.0,-0.457031,0.438477,0.958496
22:49.0,-0.140137,0.403809,1.090332
22:49.0,-0.095215,0.292725,0.818359
22:49.0,-0.11084,0.287354,0.645264
22:49.0,-0.052734,0.44165,0.684082
22:49.0,0.030762,0.655762,0.812256
22:49.1,0.107422,0.854248,0.928223
22:49.1,0.213379,0.969238,0.925537
22:49.1,0.233154,1.006836,0.825439
22:49.1,0.192871,0.97998,0.718018
22:49.1,0.193115,0.896484,0.567871
22:49.1,0.227295,0.778809,0.424805
22:49.1,0.235596,0.721924,0.337891
22:49.1,0.240479,0.635742,0.246094
22:49.1,0.202637,0.566162,0.165039
22:49.1,0.145996,0.490967,0.067627
22:49.2,0.152344,0.40918,0.01123
22:49.2,0.161621,0.343018,-0.031738
22:49.2,0.122559,0.27832,-0.104736
22:49.2,0.061768,0.229736,-0.207764
22:49.2,-0.013184,0.171143,-0.218262
22:49.2,-0.119141,0.077393,-0.232666
22:49.2,-0.260986,-0.000732,-0.236572
22:49.2,-0.393311,-0.126221,-0.210938
22:49.2,-0.476318,-0.231689,-0.123047
22:49.2,-0.554932,-0.194336,0.050537
22:49.3,-0.661377,-0.069092,0.182861
22:49.3,-0.943115,0.059326,0.232422
22:49.3,-1.422852,0.171875,0.328125
22:49.3,-1.921875,0.186523,0.311768
22:49.3,-2.498535,0.098877,0.280762
22:49.3,-3.014893,-0.22876,0.300781
22:49.3,-3.705078,-1.071777,0.378662
22:49.3,-4.898682,-3.162109,0.451904
22:49.3,-6.06543,-6.896484,1.144531
22:49.3,-7.077881,-7.425781,1.583252
22:49.4,-7.178223,-4.441406,0.996582
22:49.4,-7.186523,-1.749512,0.986816
22:49.4,-7.776855,0.002197,0.65625
22:49.4,-8,1.121826,0.301025
22:49.4,-8,3.885254,1.829834
22:49.4,-8,7.999756,5.945801
22:49.4,-7.431396,7.984375,7.999756
22:49.4,-1.400146,7.984375,7.999756
22:49.4,5.021973,7.984375,7.251953
22:49.4,0.763428,7.984375,1.557861
22:49.5,-0.512207,7.999756,-2.980713
22:49.5,0.203613,7.745117,0.187256
22:49.5,-0.17627,5.666016,2.575684
22:49.5,-1.553467,2.962891,2.271729
22:49.5,-2.138428,1.524414,1.293213
22:49.5,-1.903809,0.5271,0.849609
22:49.5,-1.19873,0.072021,0.912598
22:49.5,-0.585449,0.17334,1.137695
22:49.5,-0.286865,0.253662,1.013184
22:49.5,-0.270752,0.315918,0.715332
22:49.6,-0.223633,0.453857,0.612305
22:49.6,-0.083496,0.619629,0.690918
22:49.6,-0.000488,0.773926,0.751709
22:49.6,0.076416,0.908203,0.720215
22:49.6,0.198242,0.985596,0.618408
22:49.6,0.295654,0.984619,0.493408
22:49.6,0.312744,0.918457,0.375732
22:49.6,0.288818,0.80249,0.251709
