time,x,y,z
21:27.6,0.005615,1.016357,0.354736
21:27.6,-0.023193,0.89624,0.429932
21:27.6,-0.032715,0.859863,0.446289
21:27.6,-0.035156,0.807129,0.332275
21:27.6,-0.048096,0.749023,0.231201
21:27.6,-0.050293,0.722656,0.253418
21:27.7,-0.070313,0.726318,0.268555
21:27.7,-0.07959,0.785645,0.297852
21:27.7,-0.045166,0.863525,0.374023
21:27.7,0.034668,0.953369,0.454834
21:27.7,0.095215,1.012939,0.492188
21:27.7,0.095947,1.024902,0.487305
21:27.7,0.094971,1.00293,0.51709
21:27.7,0.093506,1.019043,0.526123
21:27.7,0.05127,0.971191,0.485596
21:27.7,0,0.885498,0.454102
21:27.8,-0.001953,0.842041,0.424316
21:27.8,-0.003418,0.845215,0.38208
21:27.8,0.009277,0.872559,0.351318
21:27.8,0.056396,0.909912,0.324219
21:27.8,0.09375,0.929443,0.272949
21:27.8,0.087158,0.907471,0.22168
21:27.8,0.076172,0.882568,0.187012
21:27.8,0.078125,0.860107,0.194336
21:27.8,0.080078,0.829102,0.20459
21:27.8,0.071045,0.78833,0.203125
21:27.9,0.051514,0.737305,0.203125
21:27.9,0.052246,0.699707,0.212158
21:27.9,0.012451,0.667236,0.1521
21:27.9,0.018555,0.648193,0.183838
21:27.9,0.016113,0.618652,0.230225
21:27.9,0.048584,0.609375,0.25415
21:27.9,0.056885,0.603027,0.282959
21:27.9,0.023193,0.563721,0.255371
21:27.9,0.077637,0.583252,0.270752
21:27.9,0.152588,0.6604,0.27832
21:28.0,0.207764,0.731445,0.304688
21:28.0,0.230469,0.786377,0.315918
21:28.0,0.24707,0.808594,0.302246
21:28.0,0.248291,0.823486,0.283691
21:28.0,0.262695,0.839355,0.282715
21:28.0,0.26416,0.855225,0.27002
21:28.0,0.280518,0.872803,0.255371
21:28.0,0.269531,0.873535,0.221191
21:28.0,0.251709,0.890137,0.233398
21:28.0,0.250977,0.879395,0.219238
21:28.1,0.23584,0.847656,0.227783
21:28.1,0.235107,0.830078,0.286621
21:28.1,0.219727,0.813232,0.370117
21:28.1,0.219238,0.811035,0.375
21:28.1,0.203125,0.8396,0.374512
21:28.1,0.218018,0.934326,0.389893
21:28.1,0.234131,1.014893,0.406006
21:28.1,0.234375,1.111328,0.390137
21:28.1,0.249756,1.190674,0.374512
21:28.1,0.233643,1.238037,0.374756
21:28.2,0.235107,1.286865,0.377441
21:28.2,0.250977,1.353027,0.430176
21:28.2,0.249756,1.431152,0.509766
21:28.2,0.253174,1.478516,0.55249
21:28.2,0.28418,1.54248,0.561523
21:28.2,0.279297,1.583252,0.549072
21:28.2,0.261719,1.572998,0.582764
21:28.2,0.245605,1.545654,0.602783
21:28.2,0.232422,1.565186,0.648682
21:28.2,0.234375,1.557617,0.661133
21:28.3,0.234375,1.519287,0.674316
21:28.3,0.236084,1.466797,0.667725
21:28.3,0.223633,1.398438,0.656982
21:28.3,0.17749,1.3125,0.677246
21:28.3,0.166016,1.219482,0.693848
21:28.3,0.148438,1.142578,0.706299
21:28.3,0.142822,1.0625,0.700195
21:28.3,0.159424,0.989502,0.677246
21:28.3,0.1521,0.924805,0.644531
21:28.3,0.134033,0.833252,0.604004
21:28.4,0.114258,0.757324,0.569824
21:28.4,0.114502,0.739502,0.585205
21:28.4,0.1604,0.733398,0.595703
21:28.4,0.205322,0.730957,0.557861
21:28.4,0.228027,0.709717,0.481689
21:28.4,0.243164,0.662354,0.402344
21:28.4,0.251953,0.596924,0.314941
21:28.4,0.248047,0.524658,0.223877
21:28.4,0.259277,0.453369,0.154541
21:28.4,0.261719,0.384766,0.091797
21:28.5,0.243896,0.302002,0.034668
21:28.5,0.222168,0.233643,0
21:28.5,0.186523,0.166016,-0.04248
21:28.5,0.107178,0.076904,-0.06543
21:28.5,0.029785,-0.014648,-0.122314
21:28.5,-0.050293,-0.134277,-0.175293
21:28.5,-0.140625,-0.244141,-0.170654
21:28.5,-0.20166,-0.293701,-0.12793
21:28.5,-0.276855,-0.255859,-0.088379
21:28.5,-0.427734,-0.115723,-0.11377
21:28.6,-0.806641,0.067627,-0.178711
21:28.6,-1.325195,0.111572,-0.241699
21:28.6,-1.791016,-0.099609,-0.228271
21:28.6,-2.170654,-0.647705,-0.270508
21:28.6,-2.393799,-1.992676,-0.480957
21:28.6,-2.940674,-3.945557,-0.592041
21:28.6,-3.385498,-5.756104,-0.273926
21:28.6,-3.88208,-6.187744,-0.047363
21:28.6,-4.558838,-4.741699,-0.138428
21:28.6,-5.452881,-2.58667,-0.648193
21:28.7,-7.195801,-0.600586,-1.11377
21:28.7,-7.960938,1.946045,-0.109863
21:28.7,-8,6.320557,4.021729
21:28.7,-8,7.916748,7.644043
21:28.7,-2.982178,7.996826,7.999756
21:28.7,0.216553,7.984375,6.649902
21:28.7,1.111084,7.984375,1.302246
21:28.7,1.218018,7.999756,-0.570313
21:28.7,1.042725,7.380615,1.003174
21:28.7,-0.080078,5.769531,2.033447
21:28.8,-1.168457,3.137451,2.253662
21:28.8,-1.407959,1.268799,1.967285
21:28.8,-1.076904,0.436035,1.185303
21:28.8,-0.579834,0.263184,0.497803
21:28.8,-0.2146,0.299072,0.094482
21:28.8,0.06665,0.348389,0.033447
21:28.8,0.23291,0.41333,0.171387
21:28.8,0.303223,0.477051,0.311768
21:28.8,0.312256,0.542725,0.387451
21:28.8,0.293945,0.62085,0.467773
21:28.9,0.277832,0.662109,0.543213
21:28.9,0.26123,0.677002,0.592041
21:28.9,0.251709,0.712402,0.67749
21:28.9,0.294189,0.764404,0.772949
21:28.9,0.359131,0.829346,0.847168
21:28.9,0.400635,0.897461,0.877197
21:28.9,0.439209,0.969482,0.824951
21:28.9,0.494629,0.993896,0.743652
21:28.9,0.474854,0.993408,0.679443
21:28.9,0.417725,0.932373,0.594727
21:29.0,0.389648,0.872803,0.494385
21:29.0,0.403076,0.818848,0.378906
21:29.0,0.356201,0.735107,0.239746
21:29.0,0.284668,0.658447,0.082031
21:29.0,0.20166,0.570313,-0.063232
21:29.0,0.085938,0.449707,-0.185791
21:29.0,-0.05542,0.315918,-0.203369
21:29.0,-0.143555,0.209229,-0.157959
21:29.0,-0.190674,0.170654,-0.129639
21:29.0,-0.28418,0.168213,-0.086914
21:29.1,-0.476563,0.208252,-0.012695
21:29.1,-0.740967,0.333496,0.06958
21:29.1,-1.251465,0.483887,0.137695
21:29.1,-1.838623,0.362793,0.22998
21:29.1,-2.203369,-0.004639,0.277588
21:29.1,-2.669189,-0.767578,0.128174
21:29.1,-3.170898,-2.856201,-0.043945
21:29.1,-3.805908,-5.420654,-0.045166
21:29.1,-4.324219,-6.762695,0.22876
21:29.1,-4.675049,-6.032471,0.381348
21:29.2,-5.327637,-3.973389,0.19751
21:29.2,-6.395996,-2,-0.540527
21:29.2,-7.692871,-0.039063,-0.7229
21:29.2,-8,2.94751,0.943604
21:29.2,-8,7.015381,6.091553
21:29.2,-6.635986,7.999756,7.999756
21:29.2,0.034912,7.984375,7.999756
21:29.2,2.445068,7.984375,5.717529
21:29.2,1.351318,7.999756,-0.821045
21:29.2,0.772949,7.339111,-1.31543
21:29.3,-0.26416,5.732422,2.070557
21:29.3,-1.09082,2.971924,3.041992
21:29.3,-1.323975,1.074463,2.614746
21:29.3,-0.942871,0.489502,1.53418
21:29.3,-0.477783,0.651855,0.566406
21:29.3,-0.179688,0.870117,0.447998
21:29.3,0.089844,0.9729,0.529053
21:29.3,0.232422,0.991943,0.593262
21:29.3,0.286865,1.043457,0.6604
21:29.3,0.341309,1.143066,0.702881
21:29.4,0.319336,1.175293,0.684326
21:29.4,0.287842,1.13501,0.592285
21:29.4,0.242676,1.074219,0.523682
21:29.4,0.178955,0.980713,0.470703
21:29.4,0.127441,0.884521,0.484131
21:29.4,0.124268,0.78833,0.470947
21:29.4,0.140137,0.692139,0.424805
21:29.4,0.140625,0.595215,0.345947
21:29.4,0.124512,0.530518,0.20166
21:29.4,0.076172,0.481934,0.057617
21:29.5,0.0271,0.400879,-0.053467
21:29.5,-0.056396,0.320068,-0.14917
21:29.5,-0.18457,0.224121,-0.245605
21:29.5,-0.278809,0.144775,-0.335938
21:29.5,-0.375,0.067383,-0.340088
21:29.5,-0.467285,0.028809,-0.261719
21:29.5,-0.529541,0.04834,-0.111084
21:29.5,-0.615479,0.047363,0.030273
21:29.5,-0.764893,0.044434,0.154297
21:29.5,-1.01123,-0.005615,0.260498
21:29.6,-1.208008,-0.148438,0.32251
21:29.6,-1.381836,-0.315918,0.307129
21:29.6,-1.57251,-0.514893,0.305908
21:29.6,-1.762939,-0.76001,0.386719
21:29.6,-2.05542,-1.316895,0.410645
21:29.6,-2.655273,-2.717529,0.250244
21:29.6,-3.432129,-4.44873,0.14917
21:29.6,-4.009277,-5.345459,0.36792
21:29.6,-4.481445,-4.60376,0.54541
21:29.6,-5.057617,-2.990723,0.29541
21:29.7,-5.834961,-1.445313,-0.078857
21:29.7,-7.229736,-0.156006,-0.070557
21:29.7,-8,2.546387,1.547852
21:29.7,-8,6.961182,5.666992
21:29.7,-7.648926,7.999756,7.999756
21:29.7,-1.908203,7.984375,7.999756
21:29.7,2.921143,7.984375,6.267334
21:29.7,1.375977,7.984375,-0.659912
21:29.7,1.015869,7.999756,-2.765625
21:29.7,0.55542,7.608643,0.751221
21:29.8,-0.772705,5.104004,2.259521
21:29.8,-1.744385,2.275391,2.17627
21:29.8,-1.642578,0.811768,1.892578
21:29.8,-1.14917,0.363525,0.910645
21:29.8,-0.668945,0.324707,0.161621
21:29.8,-0.314697,0.390381,0.044678
21:29.8,-0.079346,0.4375,0.140381
21:29.8,0.061035,0.479736,0.310791
21:29.8,0.134766,0.564941,0.486084
21:29.8,0.130127,0.662354,0.62207
21:29.9,0.134521,0.75708,0.695313
21:29.9,0.195068,0.858643,0.711182
21:29.9,0.244141,0.928711,0.684326
21:29.9,0.249756,0.945068,0.661133
21:29.9,0.258545,0.922363,0.648682
21:29.9,0.279785,0.88208,0.624023
21:29.9,0.277344,0.810791,0.58667
21:29.9,0.236328,0.736572,0.505371
21:29.9,0.185059,0.61499,0.398438
21:29.9,0.147705,0.522949,0.276611
21:30.0,0.135254,0.445313,0.132568
21:30.0,0.081787,0.365967,0.018555
21:30.0,0.018555,0.282959,-0.121094
21:30.0,-0.05957,0.231689,-0.250977
21:30.0,-0.122803,0.172607,-0.270752
21:30.0,-0.215088,0.094971,-0.24292
21:30.0,-0.298828,0.013672,-0.199463
21:30.0,-0.364258,-0.05542,-0.124268
21:30.0,-0.429199,-0.080322,-0.029785
21:30.0,-0.475586,-0.037354,0.063232
21:30.1,-0.566895,0.011475,0.205811
21:30.1,-0.689453,0.046143,0.321533
21:30.1,-0.924805,0.034424,0.387207
21:30.1,-1.229004,-0.091064,0.467529
21:30.1,-1.487061,-0.251465,0.5
21:30.1,-1.742432,-0.402344,0.500488
21:30.1,-1.906982,-0.897705,0.534668
21:30.1,-2.291016,-2.119629,0.587402
21:30.1,-3.146729,-3.861816,0.418457
21:30.1,-3.717529,-5.124512,0.553223
21:30.2,-4.193604,-4.618652,0.672363
21:30.2,-4.593262,-3.270996,0.306641
21:30.2,-5.426025,-1.885986,0
21:30.2,-7.031006,-0.140869,0.441162
21:30.2,-8,3.927734,2.580566
21:30.2,-8,7.999756,6.053711
21:30.2,-6.688477,7.984375,7.999756
21:30.2,1.258301,7.984375,7.914307
21:30.2,3.375,7.984375,5.758545
21:30.2,1.745117,7.999756,0.327881
21:30.3,1.006592,7.654053,-2.194092
21:30.3,0.524658,5.853516,-0.366211
21:30.3,-0.291992,4.182373,0.904785
21:30.3,-1.15918,2.111328,1.310059
21:30.3,-1.172119,0.772949,1.606934
21:30.3,-0.810059,0.354492,1.280518
21:30.3,-0.458496,0.321045,0.711914
21:30.3,-0.191895,0.367676,0.331543
21:30.3,0.019531,0.415527,0.282227
21:30.3,0.192383,0.471191,0.350098
21:30.4,0.267334,0.492188,0.45166
21:30.4,0.297363,0.549316,0.48999
21:30.4,0.287109,0.657715,0.540527
21:30.4,0.250732,0.729736,0.572266
21:30.4,0.260498,0.772461,0.589111
21:30.4,0.287109,0.859619,0.630127
21:30.4,0.310303,0.974121,0.679443
21:30.4,0.388916,1.093994,0.728516
21:30.4,0.468994,1.213867,0.775879
21:30.4,0.55957,1.33252,0.784668
21:30.5,0.605957,1.410645,0.692383
21:30.5,0.538574,1.393799,0.556152
21:30.5,0.473389,1.320068,0.48584
21:30.5,0.422363,1.244873,0.440186
21:30.5,0.345947,1.135254,0.361084
21:30.5,0.277832,1.014648,0.248779
21:30.5,0.203857,0.900879,0.090576
21:30.5,0.138428,0.808594,-0.0354
21:30.5,0.0625,0.745117,-0.103027
21:30.5,-0.062012,0.660645,-0.096924
21:30.6,-0.229248,0.637939,-0.119141
21:30.6,-0.402832,0.626953,-0.111084
21:30.6,-0.57251,0.624268,-0.048584
21:30.6,-0.832275,0.671143,-0.106689
21:30.6,-1.180176,0.838379,-0.086426
21:30.6,-1.737061,1.135986,0.27832
21:30.6,-2.457275,1.337646,0.738281
21:30.6,-3.166504,1.11792,0.974121
21:30.6,-3.764893,0.23999,0.938477
21:30.6,-4.22876,-1.494873,0.84375
21:30.7,-5.217041,-4.596191,1.337158
21:30.7,-5.575928,-6.44165,1.895508
21:30.7,-5.880615,-5.905029,1.9021
21:30.7,-6.147949,-3.813965,1.334717
21:30.7,-6.463135,-1.592285,0.428467
21:30.7,-7.904541,-0.197021,-0.170898
21:30.7,-8,3.07251,1.044922
21:30.7,-8,7.813965,5.953613
21:30.7,-8,7.986816,7.944824
21:30.7,1.379639,7.984375,7.984375
21:30.8,4.453857,7.984375,7.925537
21:30.8,1.574219,7.981201,-1.005127
21:30.8,0.605225,7.833984,-3.153564
21:30.8,1.425537,7.528076,1.532227
21:30.8,0.26123,5.260742,2.351563
21:30.8,-0.929932,2.80957,1.967041
21:30.8,-0.818604,1.911133,1.940674
21:30.8,-0.68042,1.39502,1.16626
21:30.8,-0.375,1.239258,0.420898
21:30.8,-0.11499,1.18335,0.202637
21:30.9,-0.069092,1.062012,0.106689
21:30.9,-0.114014,0.914551,0.119385
21:30.9,-0.253662,0.776123,0.208496
21:30.9,-0.385254,0.678223,0.260742
21:30.9,-0.518799,0.62085,0.270508
21:30.9,-0.615479,0.557373,0.286865
21:30.9,-0.744873,0.494141,0.299561
21:30.9,-0.841309,0.429932,0.290283
21:30.9,-0.901367,0.372803,0.291992
21:30.9,-0.948486,0.317627,0.330078
21:31.0,-0.926758,0.246094,0.350098
21:31.0,-0.899902,0.153564,0.426758
21:31.0,-0.952393,-0.049561,0.443848
21:31.0,-1.039551,-0.291992,0.474609
21:31.0,-1.091553,-0.537109,0.501953
21:31.0,-1.15918,-0.714355,0.438232
21:31.0,-1.293945,-0.825684,0.376953
21:31.0,-1.619141,-0.947998,0.28125
21:31.0,-2.033203,-1.2229,0.08374
21:31.0,-2.419434,-1.841064,-0.022949
21:31.1,-2.818115,-2.693848,-0.00708
21:31.1,-3.209229,-3.089111,0.034424
21:31.1,-3.406006,-2.814697,0.008057
21:31.1,-3.594727,-2.30835,-0.028809
21:31.1,-3.963623,-1.793213,-0.210205
21:31.1,-4.447998,-1.367676,-0.535156
21:31.1,-6.008545,-0.4375,-0.36792
21:31.1,-7.746338,1.862061,1.485107
21:31.1,-8,6.195801,5.685547
