time,x,y,z
18:22.8,0.47168,1.314209,0.426025
18:22.8,0.500488,1.389404,0.412842
18:22.8,0.493652,1.432373,0.395996
18:22.9,0.462158,1.436523,0.37793
18:22.9,0.435547,1.445313,0.374268
18:22.9,0.45752,1.478271,0.375
18:22.9,0.494873,1.49292,0.378662
18:22.9,0.502441,1.441406,0.356201
18:22.9,0.488281,1.364258,0.293213
18:22.9,0.475098,1.271729,0.256104
18:22.9,0.429443,1.162598,0.224609
18:22.9,0.395508,1.034668,0.192383
18:22.9,0.364258,0.921387,0.160156
18:23.0,0.316406,0.793701,0.12793
18:23.0,0.282715,0.664063,0.095215
18:23.0,0.266357,0.550293,0.079102
18:23.0,0.234131,0.436768,0.031006
18:23.0,0.217773,0.307617,-0.033447
18:23.0,0.186279,0.195313,-0.081543
18:23.0,0.186523,0.099121,-0.129883
18:23.0,0.170898,0.004639,-0.17749
18:23.0,0.170654,-0.055908,-0.205078
18:23.0,0.149902,-0.101563,-0.174072
18:23.1,0.097412,-0.127686,-0.023926
18:23.1,0.029541,-0.093262,0.212402
18:23.1,-0.050293,0.030273,0.446777
18:23.1,-0.135742,0.168457,0.627197
18:23.1,-0.320557,0.347412,0.780029
18:23.1,-0.742676,0.536865,0.917725
18:23.1,-1.396484,0.812012,1.053467
18:23.1,-2.250732,0.903076,1.115967
18:23.1,-3.094971,0.099121,0.948486
18:23.1,-3.474365,-1.682617,1.108887
18:23.2,-3.919434,-4.264893,1.958496
18:23.2,-4.544678,-6.586914,2.454102
18:23.2,-5.027588,-6.341553,2.030762
18:23.2,-5.423828,-4.064697,1.519043
18:23.2,-6.217773,-1.428467,1.307373
18:23.2,-7.571045,1.739746,1.760498
18:23.2,-8,6.227051,3.419189
18:23.2,-8,7.999756,5.172119
18:23.2,-4.082031,7.984375,5.298828
18:23.2,1.815186,7.984375,4.729736
18:23.3,1.842041,7.999756,2.172607
18:23.3,0.096436,7.713135,-1.587646
18:23.3,-0.009521,6.877197,-2.287109
18:23.3,0.757324,6.456543,-0.911621
18:23.3,0.696533,5.616211,0.288574
18:23.3,-0.094482,4.087891,0.769043
18:23.3,-0.684082,2.548096,0.754395
18:23.3,-0.710938,1.520752,0.669189
18:23.3,-0.516357,1.052002,0.604736
18:23.3,-0.33374,0.768066,0.481689
18:23.4,-0.201416,0.699463,0.327881
18:23.4,-0.131836,0.736572,0.205566
18:23.4,-0.124756,0.759033,0.176025
18:23.4,-0.115234,0.837402,0.21875
18:23.4,-0.092285,1.025635,0.264648
18:23.4,-0.120117,1.242188,0.243652
18:23.4,-0.116699,1.412842,0.224365
18:23.4,-0.089844,1.559814,0.192139
18:23.4,-0.035645,1.693115,0.181885
18:23.4,0.071777,1.796387,0.226807
18:23.5,0.169189,1.86792,0.248779
18:23.5,0.287842,1.893066,0.25
18:23.5,0.305664,1.852539,0.251709
18:23.5,0.171631,1.760742,0.219482
18:23.5,-0.020752,1.618652,0.23291
18:23.5,-0.184326,1.44165,0.264648
18:23.5,-0.282715,1.247559,0.297119
18:23.5,-0.411865,1.084229,0.32959
18:23.5,-0.52417,0.857178,0.361328
18:23.5,-0.617188,0.648926,0.374756
18:23.6,-0.664307,0.460449,0.355469
18:23.6,-0.726807,0.319092,0.325195
18:23.6,-0.752686,0.175781,0.331299
18:23.6,-0.751953,0.054443,0.365967
18:23.6,-0.766357,-0.013184,0.400146
18:23.6,-0.770264,-0.003906,0.453613
18:23.6,-0.835205,0.108154,0.510498
18:23.6,-1.02417,0.255371,0.518066
18:23.6,-1.450195,0.487305,0.547607
18:23.6,-2.143066,0.670166,0.641113
18:23.7,-2.920898,0.488037,0.71582
18:23.7,-3.485352,-0.268311,0.826904
18:23.7,-4.055664,-1.870117,1.290283
18:23.7,-5.043945,-4.673828,2.268555
18:23.7,-6.096191,-7.32251,3.302979
18:23.7,-6.218994,-6.610596,2.87915
18:23.7,-6.130615,-3.477295,1.352539
18:23.7,-6.965576,-1.499756,0.60083
18:23.7,-8,0.57959,0.960205
18:23.7,-8,5.477539,3.437256
18:23.8,-8,7.999756,6.9021
18:23.8,-6.297607,7.984375,7.999756
18:23.8,0.664307,7.984375,7.373291
18:23.8,2.407471,7.999756,2.362549
18:23.8,-0.867432,7.887451,-3.368408
18:23.8,-0.765869,7.463867,-4.29126
18:23.8,1.171631,7.722656,-1.861328
18:23.8,1.176514,6.937012,0.194336
18:23.8,-0.484375,4.776855,1.361084
18:23.8,-1.513428,2.532227,1.80835
18:23.9,-1.591064,0.967041,1.584473
18:23.9,-1.209473,0.240234,1.263916
18:23.9,-0.694336,0.079834,1.10791
18:23.9,-0.349121,0.262451,0.83667
18:23.9,-0.253662,0.487305,0.606689
18:23.9,-0.230957,0.763672,0.490723
18:23.9,-0.185791,1.078369,0.450195
18:23.9,-0.172607,1.531006,0.293457
18:23.9,0.011475,1.799316,0.295654
18:23.9,0.135254,1.962646,0.246582
18:24.0,0.216797,2.005615,0.133789
18:24.0,0.287598,1.974365,0.04834
18:24.0,0.315674,1.843506,-0.036865
18:24.0,0.276855,1.686279,-0.057617
18:24.0,0.203369,1.496582,-0.104248
18:24.0,0.0625,1.303223,-0.125
18:24.0,-0.06665,1.108398,-0.111328
18:24.0,-0.211426,0.945068,-0.080322
18:24.0,-0.356934,0.798828,-0.016357
18:24.0,-0.518555,0.669189,0.032471
18:24.1,-0.645752,0.555664,0.112793
18:24.1,-0.70874,0.425293,0.159668
18:24.1,-0.770508,0.279541,0.191162
18:24.1,-0.778809,0.134766,0.226074
18:24.1,-0.721436,-0.008057,0.291016
18:24.1,-0.619141,-0.135498,0.336182
18:24.1,-0.507813,-0.259766,0.364258
18:24.1,-0.411865,-0.350098,0.382324
18:24.1,-0.327393,-0.390137,0.406006
18:24.1,-0.334229,-0.299561,0.359375
18:24.2,-0.454346,-0.162598,0.294189
18:24.2,-0.729492,-0.00708,0.290771
18:24.2,-1.181885,0.214355,0.393799
18:24.2,-1.969727,0.361572,0.494873
18:24.2,-2.768311,-0.116699,0.601563
18:24.2,-3.331787,-1.846924,1.086182
18:24.2,-4.117188,-4.634277,2.317139
18:24.2,-4.872314,-6.737061,3.709717
18:24.2,-5.256348,-6.457275,3.882813
18:24.2,-5.783447,-3.843018,2.61377
