Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
25:17.7,-0.064453,0.561279,-0.703125
25:17.7,-0.000732,0.593262,-0.733643
25:17.7,0.079102,0.609619,-0.797607
25:17.8,0.142822,0.641113,-0.86084
25:17.8,0.189453,0.639893,-0.875488
25:17.8,0.204346,0.622803,-0.873535
25:17.8,0.218506,0.590088,-0.838379
25:17.8,0.200684,0.55835,-0.77417
25:17.8,0.188965,0.526123,-0.72583
25:17.8,0.222412,0.497314,-0.662109
25:17.8,0.23877,0.5,-0.618652
25:17.8,0.272217,0.499756,-0.611572
25:17.8,0.301514,0.501709,-0.644287
25:17.9,0.318604,0.519287,-0.635986
25:17.9,0.349365,0.535156,-0.602295
25:17.9,0.364014,0.550537,-0.597656
25:17.9,0.376465,0.569824,-0.625732
25:17.9,0.37915,0.60083,-0.607666
25:17.9,0.385742,0.61084,-0.606445
25:17.9,0.35498,0.612305,-0.587891
25:17.9,0.359375,0.630859,-0.575195
25:17.9,0.360107,0.642822,-0.581299
25:17.9,0.354248,0.640625,-0.60083
25:18.0,0.345703,0.640625,-0.606201
25:18.0,0.361572,0.638672,-0.593018
25:18.0,0.358154,0.64917,-0.627197
25:18.0,0.365479,0.68042,-0.657959
25:18.0,0.373047,0.695068,-0.639404
25:18.0,0.351563,0.704102,-0.63501
25:18.0,0.341309,0.70874,-0.625244
25:18.0,0.34375,0.720947,-0.614502
25:18.0,0.34375,0.707031,-0.581543
25:18.0,0.34375,0.787109,-0.591064
25:18.1,0.340576,0.778564,-0.553711
25:18.1,0.355469,0.648438,-0.500244
25:18.1,0.384277,0.7146,-0.5354
25:18.1,0.397949,0.729736,-0.534668
25:18.1,0.417236,0.729004,-0.516602
25:18.1,0.414307,0.716553,-0.497803
25:18.1,0.413818,0.720459,-0.498047
25:18.1,0.415771,0.712646,-0.462402
25:18.1,0.40625,0.695068,-0.41748
25:18.1,0.395752,0.677246,-0.39209
25:18.2,0.393066,0.665771,-0.393066
25:18.2,0.423096,0.687012,-0.42749
25:18.2,0.44751,0.710938,-0.433838
25:18.2,0.463623,0.738525,-0.415527
25:18.2,0.472412,0.755127,-0.388184
25:18.2,0.461426,0.740234,-0.366943
25:18.2,0.446533,0.737549,-0.340576
25:18.2,0.418457,0.71875,-0.31543
25:18.2,0.391113,0.680176,-0.315674
25:18.2,0.397461,0.669434,-0.293945
25:18.3,0.41333,0.671875,-0.263672
25:18.3,0.444336,0.674072,-0.290771
25:18.3,0.457275,0.665283,-0.285889
25:18.3,0.448486,0.639648,-0.232422
25:18.3,0.406738,0.588867,-0.137939
25:18.3,0.371582,0.573486,-0.072021
25:18.3,0.328857,0.581055,-0.046387
25:18.3,0.274414,0.629639,-0.04126
25:18.3,0.261719,0.717529,-0.140381
25:18.3,0.271973,0.824219,-0.298096
25:18.4,0.323486,0.946289,-0.458252
25:18.4,0.299805,1.092041,-0.506104
25:18.4,0.325684,1.201172,-0.577393
25:18.4,0.30542,1.258545,-0.514404
25:18.4,0.266113,1.276611,-0.477295
25:18.4,0.289551,1.302734,-0.546631
25:18.4,0.323486,1.371094,-0.616211
25:18.4,0.344727,1.349609,-0.656006
