time,x,y,z
24:19.9,0.446045,1.17041,0.237793
24:19.9,0.433594,1.180664,0.262695
24:19.9,0.442871,1.219971,0.294434
24:19.9,0.45874,1.282471,0.333496
24:19.9,0.482178,1.374756,0.384521
24:20.0,0.513672,1.465088,0.423828
24:20.0,0.55542,1.539795,0.459473
24:20.0,0.604492,1.586426,0.46582
24:20.0,0.601807,1.555908,0.444824
24:20.0,0.55249,1.468994,0.424805
24:20.0,0.510498,1.411377,0.427002
24:20.0,0.489746,1.411865,0.445801
24:20.0,0.480225,1.38208,0.459473
24:20.0,0.438232,1.293945,0.498291
24:20.0,0.419922,1.196533,0.479248
24:20.1,0.41626,1.104492,0.378174
24:20.1,0.391357,1.004395,0.261719
24:20.1,0.350586,0.871826,0.159668
24:20.1,0.289063,0.725342,0.069824
24:20.1,0.23584,0.594238,0.024658
24:20.1,0.189453,0.4646,0.000732
24:20.1,0.139893,0.354004,-0.053223
24:20.1,0.108398,0.293213,-0.131592
24:20.1,0.056641,0.264404,-0.126953
24:20.1,-0.021973,0.211914,-0.083252
24:20.2,-0.087402,0.131104,-0.012939
24:20.2,-0.158203,0.077881,0.077393
24:20.2,-0.259033,0.012939,0.189453
24:20.2,-0.392334,-0.016357,0.273438
24:20.2,-0.550537,0.008057,0.366455
24:20.2,-0.801025,-0.056396,0.448975
24:20.2,-1.11499,-0.223877,0.539795
24:20.2,-1.280762,-0.500977,0.514648
24:20.2,-1.574951,-0.754883,0.556152
24:20.2,-1.750244,-1.059326,0.692383
24:20.3,-1.936279,-1.425049,0.822266
24:20.3,-2.117432,-1.919678,0.948486
24:20.3,-2.445313,-2.498291,1.099609
24:20.3,-2.711914,-2.737549,1.120605
24:20.3,-2.875488,-2.256836,0.925781
24:20.3,-3.060059,-1.569336,0.676514
24:20.3,-3.404785,-1.071289,0.754639
24:20.3,-4.606934,-0.389648,1.184082
24:20.3,-7.35791,2.535645,1.155762
24:20.3,-8,7.999756,1.080322
24:20.4,-7.507813,7.984375,1.266357
24:20.4,-2.057129,7.984375,0.628174
24:20.4,1.740479,7.984375,1.367676
24:20.4,1.113037,7.988037,1.423584
24:20.4,0.882813,7.921631,-0.98584
24:20.4,0.950928,6.912109,-1.905762
24:20.4,0.358398,5.388916,-1.473389
24:20.4,-0.529053,4.137695,-0.93335
24:20.4,-1.290771,3.079102,-0.34668
24:20.4,-1.641357,2.224609,0.026123
24:20.5,-1.723877,1.629883,0.381836
24:20.5,-1.65625,1.262939,0.688721
24:20.5,-1.303955,1.123291,0.895508
24:20.5,-1.013916,1.074707,0.89917
24:20.5,-0.764893,1.011963,0.9021
24:20.5,-0.521484,0.980713,0.831299
24:20.5,-0.327393,1.040527,0.72168
24:20.5,-0.126953,1.169434,0.633789
24:20.5,0.074707,1.283203,0.506592
24:20.5,0.145996,1.292236,0.428223
24:20.6,0.142822,1.201904,0.394775
24:20.6,0.103027,1.079102,0.34668
24:20.6,0.019775,0.912109,0.28418
24:20.6,-0.044189,0.698486,0.306396
24:20.6,-0.09375,0.530518,0.301758
24:20.6,-0.089111,0.422119,0.211914
24:20.6,-0.073486,0.346191,0.08374
24:20.6,-0.123047,0.276123,-0.017822
24:20.6,-0.229004,0.168213,-0.0896
24:20.6,-0.323486,0.109863,-0.174316
24:20.7,-0.422607,0.126709,-0.143555
24:20.7,-0.498535,0.154541,-0.089355
24:20.7,-0.515137,0.22168,-0.074463
24:20.7,-0.61377,0.301025,0.000488
24:20.7,-0.817871,0.369385,0.095703
24:20.7,-1.088379,0.321777,0.198486
24:20.7,-1.357178,0.093994,0.35498
24:20.7,-1.636719,-0.249756,0.567139
24:20.7,-1.90332,-0.736816,0.787842
24:20.7,-2.126221,-1.31665,1.025391
24:20.8,-2.508301,-2.095215,1.27832
24:20.8,-2.955322,-3.013428,1.572266
24:20.8,-3.286377,-3.231445,1.479004
24:20.8,-3.270264,-2.501465,0.869141
24:20.8,-3.055908,-1.487549,0.337891
24:20.8,-3.04248,-0.734619,0.068848
24:20.8,-3.236084,-0.330811,-0.080078
24:20.8,-3.986572,-0.015869,0.039063
24:20.8,-5.451416,1.427734,0.407715
24:20.8,-7.472656,5.333984,1.389648
24:20.9,-8,7.844482,2.679443
24:20.9,-5.602783,7.999756,4.638672
24:20.9,-0.955322,7.984375,5.323242
24:20.9,0.933105,7.984375,4.949707
24:20.9,0.915039,7.999756,2.501465
24:20.9,0.747559,7.19165,0.318115
24:20.9,1.075195,5.5354,-0.981934
