time,x,y,z
20:33.8,0.626221,-0.517822,0.880371
20:33.8,0.617676,-0.511475,0.903076
20:33.8,0.611328,-0.529785,0.931885
20:33.9,0.631348,-0.576416,0.937256
20:33.9,0.646973,-0.611816,0.946777
20:33.9,0.663574,-0.655273,0.976074
20:33.9,0.673096,-0.683105,0.995361
20:33.9,0.674561,-0.717773,1.021729
20:33.9,0.697754,-0.770264,1.045166
20:33.9,0.724854,-0.838867,1.093506
20:33.9,0.748291,-0.921143,1.115479
20:33.9,0.791016,-0.988525,1.101318
20:33.9,0.804199,-1.002441,1.074463
20:34.0,0.808594,-0.975098,1.074463
20:34.0,0.771729,-0.912598,1.062744
20:34.0,0.737549,-0.821045,1.050293
20:34.0,0.688721,-0.759521,0.988281
20:34.0,0.645264,-0.683105,0.951416
20:34.0,0.615234,-0.625732,0.873779
20:34.0,0.591797,-0.583496,0.834473
20:34.0,0.615967,-0.557129,0.801025
20:34.0,0.642822,-0.54248,0.733887
20:34.0,0.614014,-0.499512,0.653564
20:34.1,0.53418,-0.387207,0.557617
20:34.1,0.494629,-0.318359,0.450928
20:34.1,0.480469,-0.291504,0.355469
20:34.1,0.448242,-0.262207,0.2146
20:34.1,0.418945,-0.246826,0.095215
20:34.1,0.402588,-0.215088,0.006104
20:34.1,0.357178,-0.186035,-0.068848
20:34.1,0.358154,-0.186279,-0.127441
20:34.1,0.326904,-0.154541,-0.140869
20:34.1,0.3125,-0.124756,-0.140625
20:34.2,0.328125,-0.15625,-0.15625
20:34.2,0.328125,-0.231934,-0.141357
20:34.2,0.315674,-0.385498,-0.081055
20:34.2,0.185547,-0.465332,-0.004883
20:34.2,-0.092041,-0.5,0.070801
20:34.2,-0.559326,-0.481445,0.178467
20:34.2,-1.026123,-0.284912,-0.035156
20:34.2,-1.383789,0.030762,-0.235352
20:34.2,-1.994629,0.534668,-0.217285
20:34.2,-2.408691,1.220215,-0.718018
20:34.3,-2.726074,2.554688,-2.119141
20:34.3,-2.989014,5.115234,-3.414795
20:34.3,-3.286377,6.844238,-4.181641
20:34.3,-3.430908,6.044434,-4.297363
20:34.3,-4.117676,4.386719,-4.022217
20:34.3,-5.220459,2.754639,-3.732422
20:34.3,-7.174805,1.055664,-2.682373
20:34.3,-7.969971,-0.314941,-0.253662
20:34.3,-8,-2.317139,3.941895
20:34.3,-8,-5.675781,7.515381
20:34.4,-3.444336,-7.793701,7.999756
20:34.4,4.976807,-8,7.999756
20:34.4,4.065186,-8,5.108643
20:34.4,-0.793701,-4.568848,0.653564
20:34.4,-1.46582,-0.533691,1.531006
20:34.4,-0.114502,0.107178,4.553711
20:34.4,0.648438,-0.407959,4.667969
20:34.4,0.77002,-0.913818,3.043701
20:34.4,0.688477,-1.218506,1.617432
20:34.4,0.671631,-1.213867,0.709961
20:34.5,0.77002,-1.026855,0.622559
20:34.5,0.865234,-0.876709,0.996338
20:34.5,0.815674,-0.794922,1.183838
20:34.5,0.718018,-0.773193,1.173584
20:34.5,0.671631,-0.808594,1.036621
20:34.5,0.513672,-0.741943,0.861572
20:34.5,0.343994,-0.594971,0.766113
20:34.5,0.267578,-0.49585,0.729736
20:34.5,0.282227,-0.481934,0.704102
20:34.5,0.33252,-0.512451,0.666748
20:34.6,0.361816,-0.563965,0.60791
20:34.6,0.342773,-0.575439,0.554199
20:34.6,0.288574,-0.520996,0.501465
20:34.6,0.241943,-0.450928,0.441162
20:34.6,0.199219,-0.354004,0.365723
20:34.6,0.128418,-0.24707,0.260986
20:34.6,0.084961,-0.159668,0.146484
20:34.6,0.086426,-0.100098,0.052246
20:34.6,0.077637,-0.050781,-0.019287
20:34.6,0.071289,0.02002,-0.108643
20:34.7,0.060059,0.057129,-0.188965
20:34.7,0.06543,0.038818,-0.208252
20:34.7,0.057373,0.038086,-0.210693
20:34.7,0.007813,0.039795,-0.210693
20:34.7,-0.084473,0.006104,-0.215576
20:34.7,-0.244873,-0.052246,-0.257568
20:34.7,-0.544189,-0.098633,-0.313232
20:34.7,-0.883057,-0.015381,-0.486328
20:34.7,-1.182861,0.149414,-0.659912
20:34.7,-1.643066,0.384521,-0.735596
20:34.8,-2.197266,0.858398,-0.89502
20:34.8,-2.737305,2.17749,-1.594971
20:34.8,-3.118652,4.405273,-2.958984
20:34.8,-3.452637,6.551758,-3.64502
20:34.8,-4.095947,6.936768,-3.493164
20:34.8,-4.578857,5.081787,-3.019043
20:34.8,-5.617432,2.874268,-2.730225
20:34.8,-7.264893,1.015137,-1.968506
20:34.8,-8,-0.694336,-0.22583
20:34.8,-8,-2.402832,2.761475
20:34.9,-8,-5.141846,6.438721
20:34.9,-6.525879,-8,7.999756
20:34.9,2.839355,-8,7.999756
20:34.9,5.449219,-8,6.968018
20:34.9,1.915771,-7.542725,0.365479
20:34.9,-0.79541,-3.681641,0.942871
20:34.9,-0.110352,-1.223145,4.114746
20:34.9,0.583008,-0.994385,4.288086
20:34.9,0.738037,-1.308838,2.490723
20:34.9,0.756348,-1.558594,1.109863
20:35.0,0.795166,-1.614014,0.567139
20:35.0,0.73291,-1.349609,0.608643
20:35.0,0.765625,-1.142578,0.895508
20:35.0,0.72998,-1.057129,1.069092
20:35.0,0.636963,-0.998535,1.076172
20:35.0,0.576416,-0.999756,0.980957
20:35.0,0.499756,-0.984131,0.796631
20:35.0,0.377441,-0.908203,0.689209
20:35.0,0.284912,-0.81665,0.642822
20:35.0,0.205566,-0.724365,0.581543
20:35.1,0.202881,-0.645996,0.535889
20:35.1,0.203857,-0.598633,0.477051
20:35.1,0.19043,-0.554443,0.383057
20:35.1,0.159668,-0.478027,0.34668
20:35.1,0.145264,-0.431396,0.332764
20:35.1,0.102295,-0.359131,0.287109
20:35.1,0.054443,-0.268311,0.268066
20:35.1,0.021973,-0.174316,0.256104
20:35.1,-0.006836,-0.092285,0.217285
20:35.1,-0.055908,-0.040039,0.145996
20:35.2,-0.068848,-0.002197,0.060791
20:35.2,-0.021729,-0.013916,-0.075928
20:35.2,-0.015381,-0.012939,-0.191406
20:35.2,-0.098877,0.066895,-0.195313
20:35.2,-0.169434,0.049805,-0.176514
20:35.2,-0.213379,0.084229,-0.165283
20:35.2,-0.355469,0.077148,-0.115234
20:35.2,-0.630859,0.106201,-0.119873
20:35.2,-0.904785,0.155273,-0.193604
20:35.2,-1.241943,0.183838,-0.227783
20:35.3,-1.670166,0.263428,-0.346436
20:35.3,-2.073975,0.648682,-0.728516
20:35.3,-2.428467,1.470947,-1.276123
20:35.3,-2.941162,2.868652,-1.942871
20:35.3,-3.625488,4.94165,-2.361816
20:35.3,-4.310303,6.238037,-2.883545
20:35.3,-4.460205,5.612305,-2.899414
20:35.3,-4.563721,4.125732,-2.557617
