time,x,y,z
19:36.5,-0.33252,-0.560303,0.452637
19:36.5,-0.360596,-0.545166,0.329102
19:36.5,-0.364746,-0.525635,0.20459
19:36.5,-0.476563,-0.429932,0.054688
19:36.5,-0.56665,-0.341064,0.013672
19:36.5,-0.628174,-0.343262,0
19:36.5,-0.751709,-0.327393,0.015625
19:36.5,-0.934814,-0.235352,0.000732
19:36.6,-1.179932,-0.128418,-0.120361
19:36.6,-1.364014,-0.036377,-0.256348
19:36.6,-1.55835,0.051025,-0.435059
19:36.6,-1.859863,0.232178,-0.699219
19:36.6,-2.169189,0.676514,-1.115723
19:36.6,-2.444092,1.396973,-1.614014
19:36.6,-2.529785,2.32251,-2.183594
19:36.6,-2.855469,3.468262,-2.508057
19:36.6,-3.231689,4.090332,-2.541016
19:36.6,-3.678467,3.684326,-2.474365
19:36.7,-4.175781,2.493652,-2.351563
19:36.7,-4.829102,1.262207,-2.293945
19:36.7,-5.692383,-0.249023,-2.122314
19:36.7,-7.482666,-1.422119,-1.073975
19:36.7,-8,-2.606445,0.88623
19:36.7,-8,-5.321777,4.934082
19:36.7,-8,-7.702881,7.699951
19:36.7,-0.557129,-8,7.999756
19:36.7,4.446533,-8,7.999756
19:36.7,2.599121,-7.839355,5.580322
19:36.8,-0.758545,-4.297852,2.68457
19:36.8,-1.579346,-1.564941,3.237793
19:36.8,-0.824707,-0.78833,4.365234
19:36.8,-0.297607,-0.846924,3.265381
19:36.8,-0.030273,-1.12207,1.774658
19:36.8,0.156494,-1.295166,0.943115
19:36.8,0.335693,-1.326904,0.796631
19:36.8,0.4646,-1.290283,1.039795
19:36.8,0.447754,-1.230225,1.247559
19:36.8,0.352295,-1.153076,1.32666
19:36.9,0.270996,-1.159424,1.27417
19:36.9,0.168701,-1.166504,1.141846
19:36.9,0.085693,-1.101318,1.057617
19:36.9,0.032471,-1.023926,0.978027
19:36.9,-0.052002,-0.927979,0.906982
19:36.9,-0.136963,-0.813965,0.818848
19:36.9,-0.171631,-0.70752,0.709717
19:36.9,-0.175537,-0.639893,0.639648
19:36.9,-0.161377,-0.608887,0.562012
19:36.9,-0.152344,-0.573486,0.471436
19:37.0,-0.203857,-0.516846,0.413818
19:37.0,-0.287109,-0.456787,0.310059
19:37.0,-0.376221,-0.383057,0.177979
19:37.0,-0.456299,-0.26709,0.060059
19:37.0,-0.518066,-0.155273,-0.054688
19:37.0,-0.569336,-0.048584,-0.081543
19:37.0,-0.578857,0.021729,-0.051758
19:37.0,-0.578369,0.010986,-0.0896
19:37.0,-0.648682,0.032227,-0.17627
19:37.0,-0.802246,0.114502,-0.208984
19:37.1,-0.984863,0.212402,-0.240234
19:37.1,-1.214355,0.346191,-0.365479
19:37.1,-1.545654,0.499023,-0.628906
19:37.1,-1.858887,0.798584,-1.007568
19:37.1,-2.105713,1.510498,-1.416992
19:37.1,-2.49707,2.508545,-1.950195
19:37.1,-2.891602,3.496338,-2.418945
19:37.1,-3.2146,3.802246,-2.540039
19:37.1,-3.631592,3.158691,-2.479736
19:37.1,-4.224609,1.935059,-2.419434
19:37.2,-5.098145,0.393066,-2.087891
19:37.2,-6.605225,-0.88208,-1.26709
19:37.2,-8,-2.191162,0.772217
19:37.2,-8,-4.575684,4.595215
19:37.2,-7.51001,-7.711426,7.999756
19:37.2,-2.032227,-8,7.991943
19:37.2,4.99585,-8,7.999756
19:37.2,2.06665,-7.29248,6.945801
19:37.2,-1.918457,-2.795898,2.989258
19:37.2,-1.983887,-0.059814,3.299072
19:37.3,-0.827637,-0.022461,4.30127
19:37.3,-0.02832,-0.818848,3.216553
19:37.3,0.157715,-1.149902,1.783936
19:37.3,0.174805,-1.345459,1.016357
19:37.3,0.32959,-1.396973,1.062012
19:37.3,0.484863,-1.365234,1.442383
19:37.3,0.453369,-1.261475,1.605713
19:37.3,0.276611,-1.123535,1.535889
19:37.3,0.173584,-1.037109,1.418457
19:37.3,0.067139,-0.976807,1.229736
19:37.4,-0.022217,-0.898682,1.04834
19:37.4,-0.082031,-0.807861,0.913086
19:37.4,-0.142334,-0.763428,0.790527
19:37.4,-0.156006,-0.717773,0.637451
19:37.4,-0.140625,-0.6875,0.515625
19:37.4,-0.124268,-0.641846,0.439453
19:37.4,-0.184814,-0.581787,0.347412
19:37.4,-0.232666,-0.489258,0.284424
19:37.4,-0.23291,-0.442871,0.253906
19:37.4,-0.261963,-0.366211,0.196777
19:37.5,-0.290771,-0.318359,0.085449
19:37.5,-0.349854,-0.272461,0.081787
