time,x,y,z
28:45.8,-0.173096,-0.604492,0.978271
28:45.8,-0.162598,-0.608154,0.947021
28:45.9,-0.118652,-0.633545,1.018799
28:45.9,-0.196045,-0.552979,0.924561
28:45.9,-0.232178,-0.517578,0.849121
28:45.9,-0.242676,-0.50708,0.854492
28:45.9,-0.269775,-0.477783,0.781738
28:45.9,-0.308105,-0.453369,0.69458
28:45.9,-0.304932,-0.463379,0.69751
28:45.9,-0.284668,-0.476318,0.767334
28:45.9,-0.275635,-0.435791,0.77417
28:45.9,-0.300293,-0.423096,0.771484
28:46.0,-0.325195,-0.409912,0.736328
28:46.0,-0.33374,-0.346924,0.690918
28:46.0,-0.305664,-0.318359,0.759766
28:46.0,-0.301514,-0.343018,0.821533
28:46.0,-0.321045,-0.385986,0.80542
28:46.0,-0.329834,-0.385986,0.669434
28:46.0,-0.379883,-0.314453,0.625244
28:46.0,-0.415039,-0.25293,0.726318
28:46.0,-0.467041,-0.240234,0.799561
28:46.0,-0.413818,-0.318848,0.785156
28:46.1,-0.302002,-0.408447,0.70874
28:46.1,-0.220703,-0.51001,0.621582
28:46.1,-0.35376,-0.475098,0.686768
28:46.1,-0.422607,-0.409668,0.748291
28:46.1,-0.348389,-0.422607,0.720215
28:46.1,-0.364502,-0.420166,0.73999
28:46.1,-0.334229,-0.430908,0.769775
28:46.1,-0.36084,-0.38623,0.764893
28:46.1,-0.415283,-0.365723,0.767334
28:46.1,-0.405273,-0.439453,0.840576
28:46.2,-0.369873,-0.510986,0.87207
28:46.2,-0.409424,-0.483154,0.84082
28:46.2,-0.451416,-0.438477,0.760254
28:46.2,-0.449707,-0.366943,0.740479
28:46.2,-0.439941,-0.388672,0.782471
28:46.2,-0.415527,-0.497559,0.840088
28:46.2,-0.377197,-0.657959,0.968018
28:46.2,-0.371338,-0.859131,1.08374
28:46.2,-0.254883,-1.130371,1.309082
28:46.2,-0.15332,-1.458008,1.427002
28:46.3,-0.117676,-1.64502,1.442383
28:46.3,-0.153076,-1.633545,1.40918
28:46.3,-0.199219,-1.55957,1.361572
28:46.3,-0.233398,-1.519531,1.337646
28:46.3,-0.270996,-1.486572,1.316162
28:46.3,-0.268066,-1.445801,1.273682
28:46.3,-0.284668,-1.426514,1.289795
28:46.3,-0.305908,-1.354004,1.334961
28:46.3,-0.352783,-1.258545,1.318359
28:46.3,-0.38501,-1.161377,1.26001
28:46.4,-0.424316,-1.039307,1.259277
28:46.4,-0.404785,-0.949951,1.184082
28:46.4,-0.405273,-0.86084,1.059082
28:46.4,-0.382813,-0.807861,0.969482
28:46.4,-0.304199,-0.811035,0.881348
28:46.4,-0.259277,-0.797852,0.837402
28:46.4,-0.19751,-0.828613,0.7771
28:46.4,-0.135498,-0.811768,0.746826
28:46.4,-0.039551,-0.814941,0.68335
28:46.4,0.202881,-0.937744,0.54541
28:46.5,-0.044189,-0.862061,0.499268
28:46.5,-0.181152,-0.525391,0.65332
28:46.5,-0.368652,-0.366455,0.64209
28:46.5,-0.36792,-0.293945,0.608643
28:46.5,-0.54541,-0.075439,0.661621
28:46.5,-0.397461,-0.056396,0.521729
28:46.5,-0.25,-0.12793,0.36084
28:46.5,-0.19458,-0.194824,0.302734
28:46.5,0.019531,-0.382568,0.100586
28:46.5,0.115234,-0.603271,0.059814
28:46.6,-0.220459,-0.483398,0.215332
28:46.6,-0.567383,-0.406738,0.221436
28:46.6,-0.908691,-0.474854,0.177246
28:46.6,-1.571777,-0.215576,-0.208252
28:46.6,-2.037842,0.404541,-0.634766
28:46.6,-2.272705,1.043213,-1.241211
28:46.6,-2.727051,2.403076,-2.127441
28:46.6,-3.025635,4.445313,-2.696289
28:46.6,-3.246094,5.901855,-3.089355
28:46.6,-3.863525,5.905762,-3.71875
28:46.7,-5.163574,4.491699,-3.766602
28:46.7,-7.470947,1.975098,-3.102295
28:46.7,-8,-0.449707,-0.926514
28:46.7,-8,-3.739258,4.206055
28:46.7,-8,-7.30835,7.702881
28:46.7,-3.199219,-8,7.999756
28:46.7,3.960693,-8,7.999756
28:46.7,3.015625,-8,3.869385
28:46.7,-1.375244,-5.630615,0.074219
28:46.7,-2.646973,-1.181641,3.44165
28:46.8,-1.835449,0.378174,5.538818
28:46.8,-1.503906,0.359131,3.253174
28:46.8,-1.224121,-0.327637,0.662109
28:46.8,-0.603271,-1.003662,-0.324951
28:46.8,-0.101807,-1.055664,-0.116699
28:46.8,0.077637,-0.88501,0.366211
28:46.8,0.099609,-0.68457,0.470215
28:46.8,0.126709,-0.570068,0.334961
28:46.8,0.157715,-0.614014,0.262939
28:46.8,0.140137,-0.680908,0.394287
28:46.9,0.093994,-0.750244,0.666504
28:46.9,0.051514,-0.923828,0.943115
28:46.9,0.022949,-1.1604,1.183838
28:46.9,0.081055,-1.373291,1.448242
28:46.9,0.137695,-1.519531,1.64917
28:46.9,0.120361,-1.516113,1.743896
28:46.9,0.106689,-1.466064,1.712158
28:46.9,0.07666,-1.38501,1.598389
28:46.9,-0.006348,-1.256348,1.524658
28:46.9,-0.088379,-1.124023,1.431885
28:47.0,-0.126709,-1.016357,1.242676
28:47.0,-0.179932,-0.884521,1.046143
28:47.0,-0.23584,-0.743896,0.817627
28:47.0,-0.257813,-0.639893,0.594727
28:47.0,-0.267822,-0.587158,0.419678
28:47.0,-0.297607,-0.527588,0.292725
28:47.0,-0.393799,-0.453369,0.248535
28:47.0,-0.48999,-0.345215,0.197998
28:47.0,-0.537842,-0.272949,0.151855
28:47.0,-0.634033,-0.229004,0.171631
28:47.1,-0.737061,-0.25415,0.151123
28:47.1,-0.94043,-0.270996,0.107666
28:47.1,-1.258057,-0.279297,0.010498
28:47.1,-1.538086,-0.213379,-0.096924
28:47.1,-1.900391,0.03418,-0.306152
28:47.1,-2.357666,0.7146,-0.549316
28:47.1,-2.654053,1.766602,-1.05127
28:47.1,-2.84375,3.064209,-1.670654
28:47.1,-3.06543,3.94165,-2.004883
28:47.1,-3.351074,4.372314,-2.14624
28:47.2,-3.512695,4.029541,-2.039551
28:47.2,-4.037354,3.187012,-1.609375
28:47.2,-4.768066,2.489502,-1.546631
28:47.2,-5.935059,1.740234,-1.607178
28:47.2,-7.606445,0.45874,-1.135986
