time,x,y,z
22:48.5,0.93335,-0.952881,0.54541
22:48.5,0.925537,-0.99707,0.486816
22:48.5,0.957031,-1.044189,0.463867
22:48.5,0.950439,-1.08252,0.475342
22:48.5,0.938232,-1.08252,0.522461
22:48.5,0.953369,-1.111084,0.532715
22:48.5,0.929932,-1.085938,0.530029
22:48.5,0.864502,-1.021973,0.509033
22:48.5,0.804443,-0.978516,0.443115
22:48.5,0.76001,-0.950195,0.362305
22:48.6,0.71167,-0.935059,0.238281
22:48.6,0.618408,-0.903809,0.131592
22:48.6,0.543945,-0.874023,0.010742
22:48.6,0.515625,-0.874512,-0.047119
22:48.6,0.546631,-0.84375,-0.015625
22:48.6,0.547363,-0.798584,-0.030762
22:48.6,0.504395,-0.724365,-0.029785
22:48.6,0.400879,-0.603271,-0.072754
22:48.6,0.263184,-0.498047,-0.149414
22:48.6,0.152344,-0.346191,-0.197266
22:48.7,0.073975,-0.218262,-0.24292
22:48.7,-0.007324,-0.137695,-0.284912
22:48.7,-0.027588,-0.058838,-0.375
22:48.7,-0.054199,-0.009277,-0.444824
22:48.7,-0.099854,0.037598,-0.467529
22:48.7,-0.131348,0.070557,-0.470703
22:48.7,-0.176514,0.106445,-0.45752
22:48.7,-0.221924,0.108643,-0.432129
22:48.7,-0.185303,0.051514,-0.479248
22:48.7,-0.036865,-0.163818,-0.557617
22:48.8,-0.053223,-0.495361,-0.549561
22:48.8,-0.439453,-0.977539,-0.452637
22:48.8,-1.541748,-1.5979,-0.104248
22:48.8,-3.792969,-2.197998,0.614502
22:48.8,-7.269531,-2.369141,0.223633
22:48.8,-8,1.117188,-2.820313
22:48.8,-8,6.799316,-7.07666
22:48.8,-8,7.999756,-7.419434
22:48.8,-8,7.802002,-5.791992
22:48.8,-8,4.338135,-3.56958
22:48.9,-8,0.990479,-3.594971
22:48.9,-8,-0.918213,-1.932617
22:48.9,-8,-4.366455,3.356201
22:48.9,-8,-7.556152,7.464355
22:48.9,-6.089844,-8,7.999756
22:48.9,0.69165,-8,7.999756
22:48.9,2.698486,-8,5.019043
22:48.9,0.324219,-8,1.25708
