time,x,y,z
21:27.6,0.264404,-0.487061,0.32959
21:27.6,0.335938,-0.487549,0.382813
21:27.6,0.302734,-0.406982,0.375732
21:27.6,0.386963,-0.326904,0.197754
21:27.6,0.42041,-0.417236,0.197021
21:27.6,0.452148,-0.5625,0.26001
21:27.7,0.508545,-0.572266,0.183838
21:27.7,0.556396,-0.589355,0.178467
21:27.7,0.609131,-0.60498,0.226807
21:27.7,0.621094,-0.556396,0.222412
21:27.7,0.613525,-0.502197,0.195313
21:27.7,0.629639,-0.478027,0.214111
21:27.7,0.662354,-0.489746,0.245605
21:27.7,0.652588,-0.464844,0.294434
21:27.7,0.668213,-0.42749,0.348633
21:27.7,0.698486,-0.411133,0.368652
21:27.8,0.702148,-0.369629,0.383545
21:27.8,0.714111,-0.322754,0.392822
21:27.8,0.743408,-0.313965,0.390625
21:27.8,0.758057,-0.331787,0.390625
21:27.8,0.769043,-0.323486,0.393066
21:27.8,0.76123,-0.305908,0.376953
21:27.8,0.748291,-0.289063,0.365234
21:27.8,0.700439,-0.281006,0.394043
21:27.8,0.669434,-0.272217,0.392334
21:27.8,0.743652,-0.238525,0.423828
21:27.9,0.743408,-0.242188,0.456299
21:27.9,0.770996,-0.265625,0.432373
21:27.9,0.762207,-0.246826,0.412842
21:27.9,0.745117,-0.253174,0.378662
21:27.9,0.723633,-0.27002,0.354004
21:27.9,0.703125,-0.29126,0.327637
21:27.9,0.717285,-0.313232,0.268799
21:27.9,0.700928,-0.294189,0.267822
21:27.9,0.702637,-0.299316,0.27832
21:27.9,0.707275,-0.318115,0.239014
21:28.0,0.712402,-0.324951,0.185547
21:28.0,0.666016,-0.289063,0.140625
21:28.0,0.673828,-0.290039,0.195068
21:28.0,0.691406,-0.373291,0.202393
21:28.0,0.702637,-0.412598,0.186035
21:28.0,0.686279,-0.421387,0.185791
21:28.0,0.684082,-0.404785,0.168945
21:28.0,0.656982,-0.407715,0.155273
21:28.0,0.686035,-0.420654,0.152832
21:28.0,0.637207,-0.385986,0.105713
21:28.1,0.622559,-0.339844,0.092773
21:28.1,0.593262,-0.3125,0.094727
21:28.1,0.609131,-0.344482,0.125977
21:28.1,0.593018,-0.343018,0.140869
21:28.1,0.562256,-0.296631,0.156006
21:28.1,0.546875,-0.265381,0.140381
21:28.1,0.562256,-0.309814,0.17041
21:28.1,0.547852,-0.370117,0.199951
21:28.1,0.53125,-0.443359,0.25708
21:28.1,0.544922,-0.577148,0.377441
21:28.2,0.557373,-0.723633,0.485596
21:28.2,0.614014,-0.961914,0.593018
21:28.2,0.690918,-1.210449,0.701416
21:28.2,0.755371,-1.435059,0.796631
21:28.2,0.804443,-1.584717,0.876465
21:28.2,0.838623,-1.699951,0.939453
21:28.2,0.859131,-1.770752,1.000977
21:28.2,0.849854,-1.819336,1.071289
21:28.2,0.822754,-1.75,1.070313
21:28.2,0.779053,-1.623535,1.036377
21:28.3,0.730225,-1.536865,1.03418
21:28.3,0.694336,-1.461182,1.008301
21:28.3,0.674072,-1.381836,0.994873
21:28.3,0.675293,-1.31665,0.941895
21:28.3,0.652588,-1.257568,0.890137
21:28.3,0.622314,-1.186279,0.844482
21:28.3,0.575439,-1.092285,0.795654
21:28.3,0.550781,-1.018799,0.758301
21:28.3,0.534668,-0.969727,0.746094
21:28.3,0.532471,-0.926514,0.701416
21:28.4,0.527344,-0.869385,0.630371
21:28.4,0.48999,-0.806396,0.523926
21:28.4,0.441162,-0.746826,0.44165
21:28.4,0.387695,-0.669922,0.393311
21:28.4,0.375488,-0.611084,0.35498
21:28.4,0.360107,-0.567139,0.274658
21:28.4,0.321777,-0.520752,0.196533
21:28.4,0.316162,-0.476318,0.13501
21:28.4,0.289307,-0.420654,0.084473
21:28.4,0.251465,-0.359131,0.02832
21:28.5,0.20459,-0.286133,-0.026367
21:28.5,0.141113,-0.215332,-0.071289
21:28.5,0.068604,-0.155029,-0.12207
21:28.5,-0.004395,-0.08667,-0.1521
21:28.5,-0.058838,-0.046875,-0.160156
21:28.5,-0.087891,-0.042969,-0.187256
21:28.5,-0.139893,-0.054443,-0.260742
21:28.5,-0.265381,-0.057129,-0.316162
21:28.5,-0.423828,-0.087646,-0.30542
21:28.5,-0.720703,-0.154297,-0.303467
21:28.6,-1.24292,-0.143311,-0.294189
21:28.6,-1.893555,-0.077393,-0.308838
21:28.6,-2.686768,0.035889,-0.528809
21:28.6,-3.55835,0.533691,-0.943848
21:28.6,-4.311523,2.21582,-2.057373
21:28.6,-5.104004,5.613525,-4.157959
21:28.6,-6.098389,7.999756,-5.668457
21:28.6,-6.77832,7.143066,-5.456787
21:28.6,-7.397705,3.471436,-4.581299
21:28.6,-8,0.885254,-3.904053
21:28.7,-8,-0.93457,-2.629639
21:28.7,-8,-1.858398,-0.50415
21:28.7,-8,-2.931641,4.210205
21:28.7,-8,-5.663818,7.999756
21:28.7,-5.814453,-8,7.984375
21:28.7,2.655762,-8,7.999756
21:28.7,2.122803,-8,6.510986
21:28.7,-2.561279,-6.803223,1.95874
21:28.7,-2.153076,-1.648438,5.486084
21:28.7,-0.281006,-1.533447,7.105713
21:28.8,0.285889,-2.237549,4.595947
21:28.8,0.286133,-2.448975,2.142822
21:28.8,0.236084,-1.654541,1.173096
21:28.8,0.323486,-0.741943,1.072998
21:28.8,0.467041,-0.371826,1.158447
21:28.8,0.5625,-0.338379,1.088867
21:28.8,0.609619,-0.411377,0.93457
21:28.8,0.693115,-0.545166,0.753906
21:28.8,0.645508,-0.54541,0.660156
21:28.8,0.548096,-0.508301,0.609619
