time,x,y,z
18:22.9,0.548584,-0.942871,0.756348
18:22.9,0.547363,-0.928955,0.669678
18:22.9,0.544434,-0.917725,0.574707
18:22.9,0.507568,-0.888916,0.477295
18:22.9,0.466064,-0.826172,0.401123
18:22.9,0.440918,-0.728027,0.340332
18:22.9,0.389404,-0.611572,0.284424
18:22.9,0.335693,-0.516846,0.251709
18:23.0,0.324219,-0.450928,0.204834
18:23.0,0.331787,-0.392578,0.150391
18:23.0,0.31665,-0.321045,0.092285
18:23.0,0.279785,-0.245117,-0.001953
18:23.0,0.255859,-0.201172,-0.07373
18:23.0,0.24585,-0.168945,-0.124756
18:23.0,0.216553,-0.11499,-0.176758
18:23.0,0.164063,-0.042236,-0.196777
18:23.0,0.124023,0.035645,-0.21167
18:23.0,0.09668,0.079346,-0.222412
18:23.1,0.060791,0.083008,-0.213867
18:23.1,0.008789,0.033936,-0.19043
18:23.1,-0.060303,-0.077881,-0.202881
18:23.1,-0.171143,-0.182861,-0.251709
18:23.1,-0.400391,-0.281494,-0.196045
18:23.1,-0.859863,-0.350342,-0.0625
18:23.1,-1.545654,-0.304199,-0.010742
18:23.1,-2.367676,-0.18335,-0.069824
18:23.1,-3.322266,0.014648,-0.368652
18:23.1,-3.971191,0.901855,-1.163818
18:23.2,-4.612549,3.393555,-2.151367
18:23.2,-5.939697,6.74292,-2.115967
18:23.2,-6.198975,7.999756,-1.435791
18:23.2,-6.97168,6.44873,-1.744141
18:23.2,-7.607178,2.823975,-2.179443
18:23.2,-8,-0.275635,-1.832031
18:23.2,-8,-3.640137,1.442139
18:23.2,-8,-7.397461,6.566406
18:23.2,-7.160645,-8,7.999756
18:23.2,0.091309,-8,7.999756
18:23.3,6.621826,-8,7.119873
18:23.3,0.209717,-7.44043,1.958008
18:23.3,-2.171387,-4.232178,1.10376
18:23.3,0.218262,-3.898682,4.576416
18:23.3,1.458008,-3.514893,4.768311
18:23.3,0.815918,-2.624268,2.60791
18:23.3,0.405762,-1.756104,1.102539
18:23.3,0.505371,-1.470215,0.727783
18:23.3,0.843018,-1.391602,1.259277
18:23.3,0.971436,-1.329102,1.508301
18:23.4,0.822754,-1.22168,1.280273
18:23.4,0.667969,-1.165039,1.02832
18:23.4,0.531982,-1.115967,0.773682
18:23.4,0.407227,-1.003906,0.64624
18:23.4,0.239502,-0.884033,0.591064
18:23.4,0.15332,-0.864502,0.5979
18:23.4,0.158447,-1.071289,0.741211
18:23.4,0.267822,-1.301025,0.94043
18:23.4,0.375,-1.484375,1.03125
18:23.4,0.391113,-1.531494,0.98584
18:23.5,0.316162,-1.457764,0.879883
18:23.5,0.210938,-1.306885,0.741699
18:23.5,0.058838,-1.123291,0.632813
18:23.5,-0.096436,-0.953125,0.539307
18:23.5,-0.209961,-0.796875,0.463379
18:23.5,-0.257813,-0.673096,0.354004
18:23.5,-0.334229,-0.534912,0.304199
18:23.5,-0.383057,-0.410645,0.242188
18:23.5,-0.429199,-0.288818,0.208252
18:23.5,-0.478027,-0.147705,0.179199
18:23.6,-0.498535,-0.049805,0.137695
18:23.6,-0.501709,0.041748,0.070557
18:23.6,-0.484863,0.135986,-0.063232
18:23.6,-0.495361,0.222412,-0.17334
18:23.6,-0.513184,0.250977,-0.313965
18:23.6,-0.510254,0.248535,-0.406006
18:23.6,-0.532471,0.188232,-0.456299
18:23.6,-0.640625,-0.013428,-0.513672
18:23.6,-1.002441,-0.386963,-0.498291
18:23.6,-1.80835,-0.754883,-0.406738
18:23.7,-2.959229,-0.914795,0.037109
18:23.7,-4.325439,-0.745605,-0.172363
18:23.7,-4.979736,0.522461,-1.236328
18:23.7,-6.640625,4.62085,-2.35498
18:23.7,-7.198975,7.663574,-2.17627
18:23.7,-7.548096,7.999756,-0.9375
18:23.7,-7.480225,6.185303,-0.82666
18:23.7,-7.835449,2.674072,-1.499023
18:23.7,-8,-0.061279,-2.216553
18:23.7,-8,-2.639648,0.11499
18:23.8,-8,-6.884521,6.344727
18:23.8,-8,-8,7.999756
18:23.8,-1.92334,-8,7.984375
18:23.8,5.733154,-8,7.999756
18:23.8,2.065918,-8,6
18:23.8,-1.834961,-5.114258,2.168457
18:23.8,-0.408447,-3.153564,2.818604
18:23.8,1.743652,-3.823242,4.325439
18:23.8,1.602783,-3.148438,3.177002
18:23.8,0.668213,-2.129395,1.522217
18:23.9,0.539551,-1.666016,0.896484
18:23.9,0.659912,-1.412842,1.070313
18:23.9,0.674805,-1.184082,1.364258
18:23.9,0.645996,-1.067383,1.421631
18:23.9,0.562744,-0.987305,1.296387
18:23.9,0.394775,-0.881836,1.109619
18:23.9,0.20459,-0.73584,0.91748
18:23.9,0.04541,-0.578613,0.781494
18:23.9,-0.078857,-0.448242,0.715088
18:23.9,-0.134521,-0.416748,0.696777
18:24.0,-0.069336,-0.479004,0.703125
18:24.0,0.053711,-0.550537,0.709961
18:24.0,0.118652,-0.595215,0.683838
18:24.0,0.140869,-0.593994,0.611328
18:24.0,0.134277,-0.563965,0.511475
18:24.0,0.057617,-0.500244,0.37915
18:24.0,-0.077393,-0.422607,0.262695
18:24.0,-0.251221,-0.327881,0.151367
18:24.0,-0.401855,-0.195068,0.014648
18:24.0,-0.503662,-0.032715,-0.11084
18:24.1,-0.564453,0.150146,-0.192871
18:24.1,-0.5354,0.299072,-0.262695
18:24.1,-0.481201,0.42749,-0.325928
18:24.1,-0.397217,0.492676,-0.375977
18:24.1,-0.253418,0.441162,-0.36499
18:24.1,-0.120605,0.246826,-0.349609
18:24.1,-0.126953,-0.022949,-0.381592
18:24.1,-0.37793,-0.26123,-0.330322
18:24.1,-0.883789,-0.329834,-0.208252
18:24.1,-1.604492,-0.099365,-0.172363
18:24.2,-2.152588,0.253174,-0.288818
18:24.2,-2.464355,0.671143,-0.475098
18:24.2,-2.85376,1.400391,-1.041504
18:24.2,-3.482666,2.509033,-2.137939
18:24.2,-3.925049,3.467285,-2.291504
18:24.2,-4.265381,3.895264,-1.678467
18:24.2,-4.970947,4.638672,-0.825684
18:24.2,-5.767334,4.939453,-0.221924
18:24.2,-6.344971,4.100586,-0.200928
18:24.2,-7.182373,2.064941,-0.429199
18:24.3,-8,-0.009521,-0.258057
18:24.3,-8,-1.770752,1.615967
18:24.3,-8,-5.333984,5.609131
18:24.3,-7.696289,-8,7.999756
18:24.3,-2.8125,-8,7.999756
18:24.3,6.763672,-8,7.706055
18:24.3,1.316406,-7.707764,4.290039
18:24.3,-1.9104,-4.293457,1.026123
18:24.3,-0.234863,-3.148438,3.344238
18:24.3,1.66626,-3.936035,4.117188
18:24.4,1.46582,-3.943359,1.840088
18:24.4,0.807861,-2.942871,0.629395
18:24.4,0.506348,-1.956055,0.40918
18:24.4,0.500732,-1.375732,0.790283
18:24.4,0.5625,-1.137451,0.9375
18:24.4,0.53125,-0.969727,0.797852
18:24.4,0.500977,-0.801025,0.583008
18:24.4,0.455811,-0.646973,0.426025
18:24.4,0.381348,-0.523926,0.389404
18:24.4,0.258545,-0.384766,0.447754
18:24.5,0.175781,-0.287354,0.51001
18:24.5,0.167969,-0.250732,0.558594
18:24.5,0.226563,-0.262207,0.578125
18:24.5,0.272949,-0.292969,0.563721
18:24.5,0.331787,-0.308594,0.565918
18:24.5,0.412842,-0.336426,0.521729
18:24.5,0.437988,-0.384033,0.502441
18:24.5,0.429932,-0.40332,0.490479
18:24.5,0.380371,-0.42627,0.449951
18:24.5,0.266846,-0.380615,0.391602
18:24.6,0.130859,-0.280029,0.318359
18:24.6,-0.031982,-0.152588,0.228027
18:24.6,-0.115967,-0.059326,0.127441
18:24.6,-0.133545,-0.04541,0.077393
18:24.6,-0.174561,0.04248,0.099854
18:24.6,-0.21167,0.159912,0.128906
18:24.6,-0.22998,0.238037,0.101563
18:24.6,-0.236084,0.266602,0.014893
18:24.6,-0.296631,0.252197,-0.067871
18:24.6,-0.373047,0.258545,-0.14917
18:24.7,-0.535889,0.262207,-0.190186
18:24.7,-0.812988,0.350098,-0.323242
18:24.7,-1.02002,0.455078,-0.367432
18:24.7,-1.244629,0.444092,-0.352295
18:24.7,-1.489502,0.494873,-0.341064
18:24.7,-1.758057,0.731689,-0.561035
18:24.7,-2.083252,1.092041,-1.109131
18:24.7,-2.588867,1.511719,-1.579346
18:24.7,-3.042236,2.000732,-1.53125
18:24.7,-3.621582,2.677979,-1.39209
18:24.8,-4.584717,3.819092,-1.021973
18:24.8,-5.579346,4.793457,-0.403564
18:24.8,-6.170166,4.509766,-0.089111
18:24.8,-7.258301,3.037354,-0.35791
18:24.8,-8,1.112793,-0.595459
18:24.8,-8,-1.834717,1.224365
18:24.8,-8,-6.527588,6.127197
18:24.8,-8,-8,7.999756
18:24.8,-2.063721,-8,7.999756
18:24.8,6.035645,-8,7.814941
18:24.9,2.458252,-8,2.749268
18:24.9,-1.13501,-6.725098,0.527832
18:24.9,-0.388916,-3.760986,3.658936
18:24.9,0.624268,-2.746826,3.864014
18:24.9,1.02124,-2.785156,1.75293
18:24.9,0.943359,-2.570557,0.609619
18:24.9,0.783447,-2.068359,0.773193
18:24.9,0.78125,-1.656494,1.104736
18:24.9,0.813477,-1.359131,1.178711
18:24.9,0.708252,-1.11792,1.000732
18:25.0,0.575195,-0.936768,0.808105
18:25.0,0.490234,-0.82251,0.673584
18:25.0,0.387695,-0.710449,0.622559
18:25.0,0.284668,-0.579834,0.652832
18:25.0,0.215576,-0.501221,0.710938
18:25.0,0.245361,-0.569824,0.779785
18:25.0,0.416992,-0.779541,0.874268
18:25.0,0.567871,-0.97876,0.932617
18:25.0,0.609863,-1.030518,0.895752
18:25.0,0.581055,-0.947998,0.862305
18:25.1,0.49585,-0.808838,0.831299
18:25.1,0.373779,-0.6875,0.803223
18:25.1,0.25293,-0.589844,0.758301
18:25.1,0.18042,-0.519531,0.674805
18:25.1,0.168945,-0.469238,0.592285
18:25.1,0.164307,-0.439453,0.500488
18:25.1,0.133545,-0.388184,0.429932
18:25.1,0.116455,-0.315918,0.367188
18:25.1,0.083984,-0.2229,0.281982
18:25.1,0.049072,-0.143555,0.198242
18:25.2,0.004395,-0.051025,0.154053
18:25.2,-0.026367,0.017578,0.093506
18:25.2,-0.081055,0.061035,0.049561
18:25.2,-0.158936,0.102783,0.001221
18:25.2,-0.221924,0.107178,-0.068115
18:25.2,-0.296631,0.06543,-0.157471
18:25.2,-0.365967,0.003906,-0.230469
18:25.2,-0.530518,-0.017334,-0.390381
18:25.2,-0.803223,0.006348,-0.477539
18:25.2,-1.047363,0.056396,-0.416748
18:25.3,-1.301025,0.127197,-0.235596
18:25.3,-1.605225,0.276123,-0.091553
18:25.3,-1.810547,0.469727,-0.039795
18:25.3,-1.993408,0.745605,-0.011963
18:25.3,-2.201904,1.198975,-0.003906
18:25.3,-2.561523,2.140137,-0.08252
18:25.3,-3.192871,3.510986,-0.091553
18:25.3,-3.914063,4.785645,-0.029053
18:25.3,-4.523926,5.169922,-0.035645
18:25.3,-5.152832,4.627686,-0.27124
18:25.4,-5.857178,3.753418,-0.655029
18:25.4,-6.554443,2.163574,-1.025879
18:25.4,-7.843506,0.544189,-1.116943
18:25.4,-7.99707,-1.231201,-0.069824
18:25.4,-8,-3.355957,2.342285
18:25.4,-8,-7.364746,6.287109
18:25.4,-8,-7.989258,7.907959
18:25.4,0.798096,-8,7.999756
18:25.4,3.755615,-8,4.865479
18:25.4,1.969482,-8,0.978516
18:25.5,0.366455,-6.505371,1.663818
18:25.5,-0.026123,-3.838379,3.627686
18:25.5,0.45166,-2.618408,3.660889
18:25.5,0.790283,-2.376709,2.54126
18:25.5,0.667236,-2.054199,1.968262
18:25.5,0.413574,-1.609863,1.780518
18:25.5,0.333984,-1.190186,1.546387
18:25.5,0.3125,-0.838379,1.341309
18:25.5,0.235596,-0.616943,1.123779
18:25.5,0.106201,-0.421631,0.736816
18:25.6,0.034668,-0.206543,0.39917
18:25.6,0.039307,0.008789,0.193359
18:25.6,0.059326,0.162354,0.084717
18:25.6,0.062988,0.223145,0.095947
18:25.6,0.084473,0.198486,0.12915
18:25.6,0.007813,0.11377,0.111328
18:25.6,-0.297363,-0.05127,0.007324
18:25.6,-0.936523,-0.033447,-0.02832
18:25.6,-1.983154,1.412109,-1.24707
18:25.6,-2.70166,4.243896,-2.333008
18:25.7,-2.930908,5.973389,-1.732178
18:25.7,-2.673828,5.608398,-0.693604
18:25.7,-2.735352,3.687988,0.077637
18:25.7,-3.447998,1.568604,0.498535
18:25.7,-5.063232,-0.817139,1.449951
18:25.7,-5.186035,-6.16748,4.486572
18:25.7,0.513916,-8,6.013184
18:25.7,5.67627,-8,5.059814
18:25.7,4.270996,-8,2.90625
18:25.7,0.657715,-5.857422,1.043945
18:25.8,-0.372559,-2.53125,1.208252
18:25.8,0.320313,-1.824707,2.111328
18:25.8,0.660156,-1.821777,2.246338
18:25.8,0.343506,-1.590576,1.774902
18:25.8,-0.177002,-1.236572,1.17334
18:25.8,-0.580322,-0.925293,0.691895
18:25.8,-0.727783,-0.726074,0.379395
18:25.8,-0.697021,-0.634521,0.206787
18:25.8,-0.633057,-0.537598,0.10376
18:25.8,-0.624512,-0.497803,0.024658
18:25.9,-0.784668,-0.664307,0.138428
18:25.9,-1.347168,-0.928711,0.363037
18:25.9,-2.442871,-1.074219,0.472168
18:25.9,-3.698242,-1.024902,0.477783
18:25.9,-4.758301,-0.462891,0.054443
18:25.9,-5.719482,1.481934,-1.094727
18:25.9,-6.327637,4.614746,-1.992188
18:25.9,-6.438477,7.356445,-1.49292
18:25.9,-6.531738,7.950439,-0.652344
18:25.9,-6.145752,5.905762,-0.546387
18:26.0,-5.626953,3.543701,-0.910156
18:26.0,-6.40625,1.59082,-1.335693
18:26.0,-7.777832,-0.443115,-0.624268
18:26.0,-8,-3.589111,2.455078
18:26.0,-8,-7.285156,6.424072
18:26.0,-5.116211,-8,7.999756
