Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
25:17.7,0.105469,-1.58667,0.201172
25:17.7,0.040039,-1.384277,0.257568
25:17.7,-0.034668,-1.125,0.363525
25:17.7,-0.063965,-0.94751,0.373535
25:17.7,-0.109375,-0.858887,0.296143
25:17.7,-0.094482,-0.874268,0.235107
25:17.7,-0.034424,-0.918457,0.217773
25:17.7,0.024902,-0.995361,0.261719
25:17.7,0.116455,-1.029541,0.309082
25:17.7,0.182373,-1.03418,0.327148
25:17.8,0.200928,-0.990723,0.331543
25:17.8,0.219727,-0.960938,0.288574
25:17.8,0.192871,-0.900391,0.25293
25:17.8,0.17334,-0.864014,0.249268
25:17.8,0.169678,-0.847168,0.248291
25:17.8,0.182861,-0.828369,0.259277
25:17.8,0.196777,-0.83667,0.287598
25:17.8,0.224609,-0.865234,0.320801
25:17.8,0.257813,-0.898438,0.339355
25:17.8,0.278809,-0.923584,0.354248
25:17.9,0.281738,-0.900879,0.371826
25:17.9,0.28125,-0.879639,0.375732
25:17.9,0.283447,-0.86499,0.375
25:17.9,0.27002,-0.847168,0.375
25:17.9,0.266846,-0.844971,0.372559
25:17.9,0.252686,-0.833008,0.383057
25:17.9,0.259033,-0.824463,0.4021
25:17.9,0.269043,-0.835693,0.407471
25:17.9,0.253418,-0.850342,0.410645
25:17.9,0.260254,-0.879883,0.386963
25:18.0,0.257568,-0.893555,0.371826
25:18.0,0.248291,-0.892822,0.375
25:18.0,0.247803,-0.881592,0.375
25:18.0,0.260742,-0.875244,0.375
25:18.0,0.258789,-0.866455,0.372803
25:18.0,0.246094,-0.857422,0.383057
25:18.0,0.259766,-0.859375,0.392334
25:18.0,0.257813,-0.859375,0.388672
25:18.0,0.25708,-0.859375,0.397949
25:18.0,0.260498,-0.859375,0.408203
25:18.1,0.247803,-0.859375,0.40625
25:18.1,0.25,-0.857666,0.407715
25:18.1,0.25,-0.865723,0.399658
25:18.1,0.251465,-0.877197,0.389648
25:18.1,0.243896,-0.875,0.384521
25:18.1,0.231934,-0.875,0.371338
25:18.1,0.23291,-0.875,0.380371
25:18.1,0.239502,-0.875,0.394043
25:18.1,0.252197,-0.875,0.385498
25:18.1,0.25,-0.875,0.372559
25:18.2,0.25,-0.875732,0.375
25:18.2,0.25,-0.869873,0.375
25:18.2,0.25,-0.861816,0.374023
25:18.2,0.25,-0.873291,0.379395
25:18.2,0.25,-0.857178,0.38916
25:18.2,0.25,-0.858643,0.373291
25:18.2,0.25,-0.862305,0.371826
25:18.2,0.25,-0.877197,0.357666
25:18.2,0.25,-0.872559,0.356689
25:18.2,0.249512,-0.855469,0.342041
25:18.3,0.252197,-0.840088,0.343506
25:18.3,0.265137,-0.82666,0.344971
25:18.3,0.248535,-0.826172,0.363281
25:18.3,0.251221,-0.8125,0.396729
25:18.3,0.265381,-0.829102,0.439941
25:18.3,0.248291,-0.827148,0.438965
25:18.3,0.233643,-0.812988,0.470215
25:18.3,0.234375,-0.845215,0.484619
