time,x,y,z
24:19.9,0.124512,-1.188477,0.610596
24:19.9,0.09375,-1.249268,0.671143
24:19.9,0.093262,-1.324707,0.761963
24:19.9,0.107666,-1.414063,0.854248
24:19.9,0.138916,-1.549316,0.915283
24:20.0,0.13623,-1.689941,0.99585
24:20.0,0.210205,-1.772461,0.983887
24:20.0,0.25,-1.82666,1.014893
24:20.0,0.225098,-1.810303,0.996338
24:20.0,0.195313,-1.712646,0.910889
24:20.0,0.154785,-1.587891,0.810059
24:20.0,0.078857,-1.484131,0.779785
24:20.0,0.023438,-1.449707,0.797363
24:20.0,0.001465,-1.382568,0.781494
24:20.0,-0.000488,-1.304443,0.712158
24:20.1,-0.001953,-1.227539,0.633789
24:20.1,0.009766,-1.152588,0.556641
24:20.1,0.030273,-1.070313,0.484131
24:20.1,0.022705,-0.94043,0.379639
24:20.1,0.010254,-0.810547,0.287842
24:20.1,-0.0271,-0.685547,0.236816
24:20.1,-0.077637,-0.574951,0.181641
24:20.1,-0.113525,-0.455078,0.121094
24:20.1,-0.143311,-0.335938,0.041748
24:20.1,-0.171875,-0.251221,-0.010742
24:20.2,-0.212646,-0.166504,-0.015869
24:20.2,-0.260498,-0.06543,-0.020508
24:20.2,-0.313721,0.001221,-0.05127
24:20.2,-0.321533,0.031738,-0.067627
24:20.2,-0.352783,0.068115,-0.049072
24:20.2,-0.473389,0.120605,-0.062256
24:20.2,-0.617676,0.199219,-0.092041
24:20.2,-0.765625,0.302002,-0.043213
24:20.2,-0.910645,0.4104,0.037354
24:20.2,-1.108398,0.561768,0.050781
24:20.3,-1.374023,0.820557,-0.021973
24:20.3,-1.699219,1.146973,-0.17334
24:20.3,-2.032959,1.563232,-0.297363
24:20.3,-2.390869,2.182861,-0.344482
24:20.3,-2.77124,3.12793,-0.27124
24:20.3,-3.219482,4.004395,-0.089355
24:20.3,-3.847412,3.895996,-0.223633
24:20.3,-4.718994,2.7854,-0.669434
24:20.3,-6.703369,0.792969,-0.539063
24:20.3,-8,-4.208984,1.198242
24:20.4,-8,-8,4.254639
24:20.4,-4.303223,-8,5.541992
24:20.4,3.028564,-8,4.132568
24:20.4,4.0354,-8,3.209717
24:20.4,1.850342,-7.688477,2.038818
24:20.4,-0.345947,-5.452637,0.956543
24:20.4,-1.320801,-3.136963,0.644043
24:20.4,-0.861572,-2.633789,0.835205
24:20.4,-0.517334,-2.125244,0.610352
24:20.4,-0.529541,-1.589844,0.174561
24:20.5,-0.544678,-1.196045,-0.064697
24:20.5,-0.47168,-0.946045,-0.102539
24:20.5,-0.282471,-0.866211,-0.060791
24:20.5,-0.090332,-0.910645,0.075684
24:20.5,-0.009766,-0.894531,0.209229
24:20.5,-0.076904,-0.781006,0.300049
24:20.5,-0.18042,-0.737061,0.42334
24:20.5,-0.161865,-0.869873,0.529297
24:20.5,0.000977,-1.186768,0.631836
24:20.5,0.182861,-1.486328,0.654541
24:20.6,0.300293,-1.661377,0.573975
24:20.6,0.343506,-1.718262,0.467529
24:20.6,0.282471,-1.596191,0.391113
24:20.6,0.206543,-1.430176,0.405762
24:20.6,0.131836,-1.248291,0.407227
24:20.6,0.025146,-1.064941,0.378174
24:20.6,-0.054688,-0.896484,0.349365
24:20.6,-0.104736,-0.726563,0.292969
24:20.6,-0.122559,-0.585205,0.203857
24:20.6,-0.134521,-0.464355,0.111816
24:20.7,-0.175293,-0.313721,0.023193
24:20.7,-0.23999,-0.17334,-0.101563
24:20.7,-0.264404,-0.02832,-0.178223
24:20.7,-0.265869,0.062256,-0.201904
24:20.7,-0.263428,0.116211,-0.207275
24:20.7,-0.277832,0.142822,-0.182373
24:20.7,-0.275391,0.127441,-0.152588
24:20.7,-0.299561,0.065674,-0.109863
24:20.7,-0.379395,-0.050293,-0.054199
24:20.7,-0.623047,-0.187012,-0.060303
24:20.8,-1.044189,-0.209961,-0.059082
24:20.8,-1.493896,-0.051025,0.072021
24:20.8,-1.925049,0.28833,0.065674
24:20.8,-2.214355,0.77002,-0.088379
24:20.8,-2.552734,1.809814,-0.454102
24:20.8,-2.895508,3.360107,-0.353516
24:20.8,-3.020752,4.577881,0.342773
24:20.8,-3.315186,4.748291,0.696533
24:20.8,-3.766113,3.988281,0.164063
24:20.8,-4.512939,2.761475,-0.48877
24:20.9,-6.970215,0.628418,-0.461914
24:20.9,-8,-5.182617,1.286865
24:20.9,-8,-8,4.040527
24:20.9,-3.053467,-8,5.43042
24:20.9,4.831299,-8,5.779785
24:20.9,5.505371,-8,5.164551
24:20.9,1.915039,-7.222168,3.725098
24:20.9,-0.472412,-4.760742,3.026367
24:20.9,-1.163574,-3.073486,2.260254
24:20.9,-1.104492,-2.255859,0.83667
24:21.0,-0.689697,-1.783447,-0.026611
24:21.0,-0.45752,-1.362793,-0.004639
24:21.0,-0.399902,-1.044434,0.114014
24:21.0,-0.367676,-0.763672,0.046387
24:21.0,-0.229736,-0.572021,-0.021484
24:21.0,-0.030518,-0.532227,-0.108154
24:21.0,0.083496,-0.514404,-0.098633
24:21.0,0.035889,-0.436768,0.009766
24:21.0,-0.115479,-0.367188,0.17627
24:21.0,-0.250488,-0.395752,0.388672
24:21.1,-0.308105,-0.554443,0.582275
24:21.1,-0.241211,-0.796387,0.706787
24:21.1,-0.081055,-1.106689,0.720459
24:21.1,0.17627,-1.306641,0.638672
24:21.1,0.41748,-1.361084,0.466797
24:21.1,0.500244,-1.255127,0.297852
24:21.1,0.479492,-1.141357,0.150146
24:21.1,0.448975,-1.017822,0.041016
24:21.1,0.425049,-0.887451,-0.016602
24:21.1,0.320313,-0.723389,-0.085693
24:21.2,0.205566,-0.641846,-0.105713
24:21.2,0.178711,-0.587646,-0.216309
24:21.2,0.098145,-0.576416,-0.273438
24:21.2,0.003174,-0.556641,-0.338623
24:21.2,-0.139648,-0.458252,-0.45752
24:21.2,-0.35376,-0.307373,-0.431885
24:21.2,-0.50293,-0.280273,-0.24585
24:21.2,-0.593018,-0.25,-0.110107
24:21.2,-0.755859,-0.250244,0.042969
24:21.2,-1.116943,-0.238281,0.106445
24:21.3,-1.468262,-0.141113,0.137695
24:21.3,-1.805664,0.08667,0.171631
24:21.3,-2.113525,0.454346,0.156738
24:21.3,-2.422607,1.071045,-0.039795
24:21.3,-2.494141,2.10083,-0.121338
24:21.3,-2.689697,3.412109,-0.022217
24:21.3,-2.721924,4.257324,0.634277
24:21.3,-3.039063,4.261719,0.754883
24:21.3,-3.45166,3.598877,0.226318
24:21.3,-4.333984,2.328125,-0.101318
24:21.4,-7.003662,0.276855,-0.060547
24:21.4,-8,-3.617432,1.419434
24:21.4,-8,-7.438721,4.303955
24:21.4,-8,-8,6.587891
24:21.4,0.183594,-8,7.598145
24:21.4,4.664551,-8,4.365967
24:21.4,2.381104,-8,0.411621
24:21.4,-0.182373,-6.112061,-1.416748
24:21.4,-1.384277,-4.100342,-0.702637
24:21.4,-1.458252,-3.027588,0.695801
24:21.5,-1.272705,-1.95874,1.281494
24:21.5,-1.361572,-1.228271,1.091309
24:21.5,-1.346191,-0.833496,0.510498
24:21.5,-1.041016,-0.759277,0.159668
24:21.5,-0.693115,-0.856934,0.203857
24:21.5,-0.408936,-0.956299,0.348633
24:21.5,-0.217529,-1.044922,0.461182
24:21.5,-0.064453,-1.16333,0.595459
24:21.5,0.01123,-1.26416,0.71167
24:21.5,0.001709,-1.304688,0.720459
24:21.6,-0.04248,-1.285156,0.610107
24:21.6,-0.106689,-1.173828,0.475342
24:21.6,-0.147461,-1.029541,0.360107
24:21.6,-0.112793,-0.911377,0.24292
24:21.6,-0.032959,-0.818604,0.173096
24:21.6,-0.000732,-0.74707,0.139648
24:21.6,0.000488,-0.663086,0.115479
24:21.6,-0.031494,-0.56665,0.061768
24:21.6,-0.079834,-0.478271,-0.008545
24:21.6,-0.140137,-0.409912,-0.010742
24:21.7,-0.208984,-0.342529,-0.01709
24:21.7,-0.262207,-0.268799,-0.045166
24:21.7,-0.341064,-0.246826,0.031738
24:21.7,-0.386475,-0.266602,0.124756
24:21.7,-0.424561,-0.311279,0.166016
24:21.7,-0.590088,-0.388916,0.19043
24:21.7,-0.93335,-0.30957,0.24292
24:21.7,-1.296875,-0.094971,0.234375
24:21.7,-1.568848,0.193848,0.241211
24:21.7,-1.841309,0.509033,0.208008
24:21.8,-2.195557,1.064697,-0.04248
24:21.8,-2.574951,2.126465,-0.373535
24:21.8,-2.895264,3.522217,-0.263184
24:21.8,-2.977051,4.273438,0.279541
24:21.8,-3.207031,4.162842,0.227783
24:21.8,-3.437256,3.397949,-0.281738
24:21.8,-4.406006,1.931152,-0.352051
24:21.8,-6.720703,-0.83667,0.14209
24:21.8,-7.916016,-6.659424,1.95752
24:21.8,-4.457764,-8,3.171631
24:21.9,2.025146,-8,2.650635
24:21.9,3.493408,-7.988037,4.341797
24:21.9,1.440674,-7.314941,4.217773
24:21.9,0.227051,-4.55249,4.096924
24:21.9,-0.650879,-2.7771,2.621338
24:21.9,-0.622314,-2.245605,1.293701
24:21.9,-0.390625,-2.02002,0.690674
24:21.9,-0.326416,-1.583496,0.54126
24:21.9,-0.38916,-1.035645,0.489258
24:21.9,-0.342773,-0.53418,0.295166
24:22.0,-0.244629,-0.10791,0.019287
24:22.0,-0.23291,0.259766,-0.206299
24:22.0,-0.232666,0.525391,-0.396729
24:22.0,-0.238281,0.839844,-0.563232
24:22.0,-0.297363,1.151367,-0.677002
24:22.0,-0.421875,1.372803,-0.60498
24:22.0,-0.58667,1.476318,-0.369385
24:22.0,-0.750732,1.346191,-0.143799
24:22.0,-0.947021,1.037354,-0.095703
24:22.0,-1.18457,0.596191,-0.0979
