Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
2022-04-05 12:00:27.467,0.343750,-0.328125,1.000000
2022-04-05 12:00:27.476,0.437256,-0.734131,0.484375
2022-04-05 12:00:27.486,0.452881,-0.796631,0.499756
2022-04-05 12:00:27.496,0.468506,-0.796631,0.500000
2022-04-05 12:00:27.506,0.468750,-0.812256,0.500000
2022-04-05 12:00:27.516,0.468750,-0.812500,0.484375
2022-04-05 12:00:27.526,0.468750,-0.812500,0.499756
2022-04-05 12:00:27.536,0.468750,-0.812500,0.500000
2022-04-05 12:00:27.546,0.468750,-0.812500,0.500000
2022-04-05 12:00:27.556,0.453125,-0.796875,0.500000
2022-04-05 12:00:27.566,0.468506,-0.812256,0.500000
2022-04-05 12:00:27.576,0.468750,-0.812500,0.500000
2022-04-05 12:00:27.586,0.468750,-0.812500,0.500000
2022-04-05 12:00:27.597,0.468750,-0.796631,0.500000
2022-04-05 12:00:27.607,0.468750,-0.796875,0.499756
2022-04-05 12:00:27.617,0.468506,-0.796631,0.484131
2022-04-05 12:00:27.627,0.452881,-0.781006,0.484375
2022-04-05 12:00:27.637,0.452881,-0.781250,0.484375
2022-04-05 12:00:27.647,0.453125,-0.781006,0.484375
2022-04-05 12:00:27.657,0.468750,-0.781250,0.484375
2022-04-05 12:00:27.667,0.468506,-0.796631,0.484375
2022-04-05 12:00:27.677,0.452881,-0.781006,0.484375
2022-04-05 12:00:27.687,0.453125,-0.781250,0.484375
2022-04-05 12:00:27.697,0.453125,-0.781006,0.484375
2022-04-05 12:00:27.707,0.452881,-0.765381,0.484131
2022-04-05 12:00:27.717,0.453125,-0.765625,0.484375
2022-04-05 12:00:27.726,0.468506,-0.781006,0.499756
2022-04-05 12:00:27.736,0.468750,-0.796631,0.484375
2022-04-05 12:00:27.746,0.468506,-0.827881,0.484131
2022-04-05 12:00:27.756,0.484131,-0.843506,0.484375
2022-04-05 12:00:27.766,0.468750,-0.843506,0.484131
2022-04-05 12:00:27.776,0.484131,-0.874756,0.499756
2022-04-05 12:00:27.786,0.499756,-0.890381,0.515381
2022-04-05 12:00:27.796,0.515381,-0.921631,0.531006
2022-04-05 12:00:27.806,0.546631,-0.952881,0.546631
2022-04-05 12:00:27.816,0.562256,-0.984131,0.562256
2022-04-05 12:00:27.826,0.609131,-1.062256,0.577881
2022-04-05 12:00:27.836,0.671631,-1.156006,0.578125
2022-04-05 12:00:27.847,0.703125,-1.281250,0.515381
2022-04-05 12:00:27.857,0.718506,-1.328125,0.484131
2022-04-05 12:00:27.867,0.702881,-1.327881,0.484375
2022-04-05 12:00:27.877,0.687500,-1.296631,0.500000
2022-04-05 12:00:27.887,0.718750,-1.312500,0.578125
2022-04-05 12:00:27.897,0.750000,-1.328125,0.625000
2022-04-05 12:00:27.907,0.749756,-1.312256,0.609131
2022-04-05 12:00:27.917,0.734131,-1.265381,0.577881
2022-04-05 12:00:27.927,0.718506,-1.171631,0.546631
2022-04-05 12:00:27.937,0.687256,-1.093506,0.515381
2022-04-05 12:00:27.947,0.671631,-1.015381,0.515625
2022-04-05 12:00:27.957,0.656006,-0.968506,0.531250
2022-04-05 12:00:27.967,0.640625,-0.921875,0.531250
2022-04-05 12:00:27.976,0.624756,-0.890625,0.531250
2022-04-05 12:00:27.986,0.656006,-0.906250,0.500000
2022-04-05 12:00:27.996,0.640625,-0.875000,0.453125
2022-04-05 12:00:28.006,0.593750,-0.796875,0.406250
2022-04-05 12:00:28.016,0.546875,-0.734375,0.343750
2022-04-05 12:00:28.026,0.484375,-0.671875,0.296875
2022-04-05 12:00:28.036,0.437500,-0.593750,0.250000
2022-04-05 12:00:28.046,0.375000,-0.531250,0.203125
2022-04-05 12:00:28.056,0.328125,-0.500000,0.171875
2022-04-05 12:00:28.066,0.265625,-0.468750,0.140625
2022-04-05 12:00:28.076,0.203125,-0.453125,0.109375
2022-04-05 12:00:28.086,0.140625,-0.359375,0.062500
2022-04-05 12:00:28.097,0.093506,-0.234131,0.015381
2022-04-05 12:00:28.107,0.015381,-0.109131,0.046875
2022-04-05 12:00:28.117,-0.125000,0.000000,0.031006
2022-04-05 12:00:28.127,-0.281250,0.109375,0.000000
2022-04-05 12:00:28.137,-0.640625,0.406250,-0.218750
2022-04-05 12:00:28.147,-1.078125,1.484375,-0.781250
2022-04-05 12:00:28.157,-1.937500,3.578125,-1.484375
2022-04-05 12:00:28.167,-2.234375,5.593750,-1.671631
2022-04-05 12:00:28.177,-2.515625,6.390381,-1.359131
2022-04-05 12:00:28.187,-3.171875,4.906006,-0.874756
2022-04-05 12:00:28.197,-4.500000,2.484131,0.062500
2022-04-05 12:00:28.207,-5.921875,-0.265625,1.750000
2022-04-05 12:00:28.217,-6.250000,-4.265625,4.046875
2022-04-05 12:00:28.226,-2.484375,-7.999756,4.812500
2022-04-05 12:00:28.236,2.124756,-8.000000,2.765625
2022-04-05 12:00:28.246,1.671875,-8.000000,1.250000
2022-04-05 12:00:28.256,-0.140381,-5.687500,1.046631
2022-04-05 12:00:28.266,-0.578125,-2.671875,1.265381
2022-04-05 12:00:28.276,0.031006,-1.953125,1.390625
2022-04-05 12:00:28.286,0.390381,-1.953125,1.250000
2022-04-05 12:00:28.296,0.406250,-1.828125,0.859375
2022-04-05 12:00:28.306,0.390625,-1.656250,0.640625
2022-04-05 12:00:28.316,0.406250,-1.359375,0.609375
2022-04-05 12:00:28.326,0.312500,-0.875000,0.546875
2022-04-05 12:00:28.336,0.281006,-0.546875,0.500000
2022-04-05 12:00:28.347,0.343750,-0.562500,0.468506
2022-04-05 12:00:28.357,0.437500,-0.750000,0.452881
2022-04-05 12:00:28.367,0.468506,-0.890625,0.421631
2022-04-05 12:00:28.377,0.406006,-0.890381,0.374756
2022-04-05 12:00:28.387,0.343506,-0.875000,0.327881
2022-04-05 12:00:28.397,0.312256,-0.968750,0.281006
2022-04-05 12:00:28.407,0.312500,-1.093750,0.249756
2022-04-05 12:00:28.417,0.375000,-1.312500,0.249756
2022-04-05 12:00:28.427,0.484375,-1.562500,0.218506
2022-04-05 12:00:28.437,0.531250,-1.640381,0.218750
2022-04-05 12:00:28.447,0.515381,-1.531006,0.265625
2022-04-05 12:00:28.457,0.484131,-1.343506,0.265381
2022-04-05 12:00:28.467,0.437500,-1.156250,0.250000
2022-04-05 12:00:28.476,0.421631,-1.015625,0.218750
2022-04-05 12:00:28.486,0.452881,-0.937500,0.218750
2022-04-05 12:00:28.496,0.468506,-0.890625,0.203125
2022-04-05 12:00:28.506,0.484131,-0.859375,0.171875
2022-04-05 12:00:28.516,0.484375,-0.828125,0.171631
2022-04-05 12:00:28.526,0.484375,-0.765625,0.187256
2022-04-05 12:00:28.536,0.468750,-0.718750,0.171875
2022-04-05 12:00:28.546,0.421875,-0.640625,0.171875
2022-04-05 12:00:28.556,0.421875,-0.609375,0.109375
2022-04-05 12:00:28.566,0.375000,-0.593750,0.093506
2022-04-05 12:00:28.576,0.296875,-0.515625,0.124756
2022-04-05 12:00:28.586,0.234375,-0.453125,0.156006
2022-04-05 12:00:28.597,0.187256,-0.421631,0.171631
2022-04-05 12:00:28.607,0.093506,-0.359131,0.156250
2022-04-05 12:00:28.617,-0.093750,-0.218506,0.203125
2022-04-05 12:00:28.627,-0.390625,0.062500,0.202881
2022-04-05 12:00:28.637,-0.656250,0.390625,0.124756
2022-04-05 12:00:28.647,-0.968750,1.171875,-0.062500
2022-04-05 12:00:28.657,-1.390625,2.843750,-0.421875
2022-04-05 12:00:28.667,-1.765625,5.015625,-0.593750
2022-04-05 12:00:28.677,-2.140625,6.500000,-0.609131
2022-04-05 12:00:28.687,-2.781250,5.202881,-0.187256
2022-04-05 12:00:28.697,-4.000000,2.749756,0.390625
2022-04-05 12:00:28.707,-5.609375,0.218506,1.437500
2022-04-05 12:00:28.717,-6.609375,-2.781250,3.015625
2022-04-05 12:00:28.726,-5.139404,-6.719971,4.674561
2022-04-05 12:00:28.736,0.354248,-8.000000,3.258057
2022-04-05 12:00:28.746,2.230957,-7.990479,0.792969
2022-04-05 12:00:28.756,0.635254,-7.409180,0.267578
2022-04-05 12:00:28.766,-0.582275,-3.565674,0.514160
2022-04-05 12:00:28.776,-0.421631,-1.830566,0.960449
2022-04-05 12:00:28.786,0.090576,-1.687988,0.928955
2022-04-05 12:00:28.796,0.297119,-1.661133,0.771484
2022-04-05 12:00:28.806,0.303223,-1.528076,0.558350
2022-04-05 12:00:28.816,0.361816,-1.368652,0.530273
2022-04-05 12:00:28.826,0.317139,-1.034424,0.567627
2022-04-05 12:00:28.836,0.245361,-0.728271,0.602051
2022-04-05 12:00:28.847,0.296143,-0.708252,0.640869
2022-04-05 12:00:28.857,0.412598,-0.843262,0.608398
2022-04-05 12:00:28.867,0.502686,-1.024902,0.624512
2022-04-05 12:00:28.877,0.554443,-1.185791,0.605713
2022-04-05 12:00:28.887,0.539551,-1.246094,0.588867
2022-04-05 12:00:28.897,0.492920,-1.283936,0.548096
2022-04-05 12:00:28.907,0.474365,-1.378906,0.420410
2022-04-05 12:00:28.917,0.427734,-1.413330,0.207275
2022-04-05 12:00:28.927,0.425049,-1.398926,0.166016
2022-04-05 12:00:28.937,0.462891,-1.343506,0.218994
2022-04-05 12:00:28.947,0.491699,-1.271729,0.280518
2022-04-05 12:00:28.957,0.501953,-1.172363,0.302246
2022-04-05 12:00:28.967,0.500000,-1.082031,0.290771
2022-04-05 12:00:28.976,0.500488,-1.002441,0.254883
2022-04-05 12:00:28.986,0.496582,-0.899414,0.222656
2022-04-05 12:00:28.996,0.478027,-0.797607,0.193604
2022-04-05 12:00:29.006,0.468018,-0.752197,0.188477
2022-04-05 12:00:29.016,0.463379,-0.715820,0.208740
2022-04-05 12:00:29.026,0.417480,-0.611328,0.225342
2022-04-05 12:00:29.036,0.351563,-0.461426,0.237549
2022-04-05 12:00:29.046,0.321045,-0.354736,0.228516
2022-04-05 12:00:29.056,0.330078,-0.311035,0.221191
2022-04-05 12:00:29.066,0.321045,-0.287598,0.235352
2022-04-05 12:00:29.076,0.281006,-0.243896,0.240723
2022-04-05 12:00:29.086,0.228760,-0.144775,0.245605
2022-04-05 12:00:29.097,0.152344,-0.003662,0.238770
2022-04-05 12:00:29.107,0.054932,0.167969,0.249023
2022-04-05 12:00:29.117,-0.043701,0.368164,0.227051
2022-04-05 12:00:29.127,-0.156250,0.558838,0.177002
2022-04-05 12:00:29.137,-0.299805,0.754150,0.100098
2022-04-05 12:00:29.147,-0.520996,1.165039,-0.055420
2022-04-05 12:00:29.157,-0.891846,2.071289,-0.348389
2022-04-05 12:00:29.167,-1.243164,3.396240,-0.639648
2022-04-05 12:00:29.177,-1.539063,4.310791,-0.737061
2022-04-05 12:00:29.187,-2.070801,3.906006,-0.584473
2022-04-05 12:00:29.197,-2.799316,2.534668,-0.331299
2022-04-05 12:00:29.207,-3.874756,0.990234,0.300293
2022-04-05 12:00:29.217,-5.197510,-0.690674,1.446289
2022-04-05 12:00:29.226,-6.003906,-3.359375,3.322266
2022-04-05 12:00:29.236,-3.169922,-6.937500,4.454834
2022-04-05 12:00:29.246,1.436768,-8.000000,3.004150
2022-04-05 12:00:29.256,2.304688,-8.000000,1.129639
2022-04-05 12:00:29.266,0.701660,-6.973633,0.363770
2022-04-05 12:00:29.276,-0.375732,-4.162354,0.445313
2022-04-05 12:00:29.286,-0.376465,-2.594971,0.931152
2022-04-05 12:00:29.296,0.003174,-2.117188,1.186035
2022-04-05 12:00:29.306,0.230713,-1.910156,1.110107
2022-04-05 12:00:29.316,0.189697,-1.615723,0.847656
2022-04-05 12:00:29.326,0.101074,-1.263672,0.711426
2022-04-05 12:00:29.336,0.102539,-0.932617,0.727539
2022-04-05 12:00:29.347,0.135254,-0.665039,0.764648
2022-04-05 12:00:29.357,0.190186,-0.519043,0.816650
2022-04-05 12:00:29.367,0.292236,-0.505127,0.826904
2022-04-05 12:00:29.377,0.416504,-0.678955,0.751953
2022-04-05 12:00:29.387,0.484375,-0.886719,0.644531
2022-04-05 12:00:29.397,0.486084,-0.993408,0.532471
2022-04-05 12:00:29.407,0.438477,-1.056641,0.351318
2022-04-05 12:00:29.417,0.354736,-1.045654,0.209717
2022-04-05 12:00:29.427,0.289795,-1.017334,0.159668
