time,time_s,qom,aom,hom,wom,com_x,com_y,bmi_x,bmi_y,bma_x,bma_y
48,0.0800,0.0000,0.0000,0.0000,0.0000,0.5367,0.6722,543.0000,127.0000,808.0000,719.0000
72,0.1200,0.0000,0.0000,0.0000,0.0000,0.6336,0.5681,543.0000,127.0000,808.0000,719.0000
96,0.1600,0.0001,0.0000,0.0000,0.0000,0.6438,0.5444,543.0000,126.0000,809.0000,719.0000
119,0.1983,0.0001,0.0000,0.0000,0.0000,0.6359,0.5847,544.0000,126.0000,809.0000,719.0000
144,0.2400,0.0001,0.0000,0.0000,0.0000,0.6453,0.6569,544.0000,125.0000,810.0000,719.0000
167,0.2783,0.0001,0.0000,0.0000,0.0000,0.6438,0.6556,544.0000,125.0000,810.0000,719.0000
192,0.3200,0.0000,0.0000,0.0000,0.0000,0.6469,0.6819,556.0000,66.0000,837.0000,719.0000
216,0.3600,0.0000,0.0000,0.0000,0.0000,0.6477,0.6611,556.0000,66.0000,837.0000,719.0000
239,0.3983,0.0000,0.0000,0.0000,0.0000,0.6516,0.6514,557.0000,67.0000,837.0000,718.0000
264,0.4400,0.0001,0.0000,0.0000,0.0000,0.6469,0.6472,557.0000,67.0000,837.0000,718.0000
288,0.4800,0.0002,0.0000,0.0000,0.0000,0.6398,0.6500,557.0000,67.0000,837.0000,718.0000
312,0.5200,0.0002,0.0000,0.0000,0.0000,0.6398,0.6556,557.0000,67.0000,837.0000,718.0000
335,0.5583,0.0006,0.0000,0.0000,0.0000,0.6297,0.6611,821.0000,222.0000,839.0000,241.0000
360,0.6000,0.0006,0.0000,0.0000,0.0000,0.6188,0.6611,821.0000,222.0000,839.0000,241.0000
384,0.6400,0.0011,0.0000,0.0000,0.0000,0.6047,0.6583,822.0000,223.0000,839.0000,240.0000
407,0.6783,0.0003,0.0000,0.0000,0.0000,0.6063,0.6514,822.0000,223.0000,839.0000,240.0000
432,0.7200,0.0006,0.0000,0.0000,0.0000,0.5875,0.6431,828.0000,229.0000,840.0000,233.0000
456,0.7600,0.0008,0.0000,0.0000,0.0000,0.5773,0.6361,828.0000,229.0000,840.0000,233.0000
479,0.7983,0.0005,0.0000,0.0000,0.0000,0.5844,0.6819,827.0000,228.0000,839.0000,234.0000
504,0.8400,0.0004,0.0000,0.0000,0.0000,0.5867,0.7139,827.0000,228.0000,839.0000,234.0000
528,0.8800,0.0012,0.0000,0.0000,0.0000,0.5781,0.6333,827.0000,228.0000,839.0000,234.0000
