time,time_s,qom,aom,hom,wom,com_x,com_y,bmi_x,bmi_y,bma_x,bma_y
48,0.0800,0.0000,0.0000,0.0014,0.0008,0.5312,0.7028,526.0000,71.0000,839.0000,717.0000
72,0.1200,0.0000,0.0000,0.0014,0.0008,0.5797,0.8014,526.0000,71.0000,839.0000,717.0000
96,0.1600,0.0001,0.0000,0.0014,0.0008,0.5648,0.5819,526.0000,71.0000,839.0000,717.0000
119,0.1983,0.0002,0.0000,0.0014,0.0008,0.5625,0.5389,526.0000,71.0000,839.0000,717.0000
144,0.2400,0.0002,0.0000,0.0014,0.0008,0.5633,0.5292,526.0000,71.0000,839.0000,717.0000
167,0.2783,0.0007,0.0000,0.0014,0.0008,0.5672,0.5986,526.0000,71.0000,839.0000,717.0000
192,0.3200,0.0006,0.0000,0.0014,0.0008,0.5680,0.6153,526.0000,70.0000,838.0000,716.0000
216,0.3600,0.0003,0.0000,0.0014,0.0008,0.5672,0.6264,526.0000,70.0000,838.0000,716.0000
239,0.3983,0.0000,0.0000,0.0014,0.0008,0.5672,0.6264,526.0000,70.0000,838.0000,716.0000
264,0.4400,0.0019,0.0000,0.0014,0.0008,0.5609,0.6792,526.0000,70.0000,838.0000,716.0000
288,0.4800,0.0000,0.0000,0.0014,0.0008,0.5609,0.6792,526.0000,1.0000,778.0000,19.0000
312,0.5200,0.0014,0.0000,0.0014,0.0008,0.5398,0.6431,526.0000,1.0000,778.0000,19.0000
335,0.5583,0.0004,0.0000,0.0014,0.0008,0.5195,0.7125,527.0000,1.0000,777.0000,20.0000
360,0.6000,0.0005,0.0000,0.0014,0.0008,0.5234,0.7806,527.0000,1.0000,777.0000,20.0000
384,0.6400,0.0007,0.0000,0.0014,0.0008,0.5484,0.7875,692.0000,5.0000,762.0000,383.0000
407,0.6783,0.0016,0.0000,0.0014,0.0008,0.5516,0.6694,692.0000,5.0000,762.0000,383.0000
432,0.7200,0.0000,0.0000,0.0014,0.0008,0.5516,0.6694,691.0000,5.0000,761.0000,384.0000
456,0.7600,0.0000,0.0000,0.0014,0.0008,0.5516,0.6694,691.0000,5.0000,761.0000,384.0000
479,0.7983,0.0000,0.0000,0.0014,0.0008,0.5516,0.6694,691.0000,5.0000,761.0000,384.0000
504,0.8400,0.0020,0.0000,0.0014,0.0008,0.5328,0.5611,691.0000,5.0000,761.0000,384.0000
528,0.8800,0.0018,0.0000,0.0014,0.0008,0.5570,0.7306,518.0000,3.0000,571.0000,717.0000
552,0.9200,0.0012,0.0000,0.0014,0.0008,0.5492,0.7014,518.0000,3.0000,571.0000,717.0000
576,0.9600,0.0000,0.0000,0.0014,0.0008,0.5492,0.7014,518.0000,4.0000,572.0000,716.0000
600,1.0000,0.0023,0.0000,0.0014,0.0008,0.5375,0.6750,518.0000,4.0000,572.0000,716.0000
624,1.0400,0.0005,0.0000,0.0014,0.0008,0.5414,0.6889,517.0000,80.0000,599.0000,708.0000
647,1.0783,0.0000,0.0000,0.0014,0.0008,0.5414,0.6889,517.0000,80.0000,599.0000,708.0000
671,1.1183,0.0000,0.0000,0.0014,0.0008,0.5414,0.6889,518.0000,79.0000,600.0000,709.0000
696,1.1600,0.0000,0.0000,0.0014,0.0008,0.5414,0.6889,518.0000,79.0000,600.0000,709.0000
720,1.2000,0.0000,0.0000,0.0014,0.0008,0.5414,0.6889,518.0000,79.0000,600.0000,709.0000
744,1.2400,0.0039,0.0000,0.0014,0.0008,0.5398,0.6319,518.0000,79.0000,600.0000,709.0000
768,1.2800,0.0000,0.0000,0.0014,0.0008,0.5398,0.6319,528.0000,8.0000,746.0000,716.0000
791,1.3183,0.0018,0.0000,0.0014,0.0008,0.5375,0.7292,528.0000,8.0000,745.0000,715.0000
815,1.3583,0.0006,0.0000,0.0014,0.0008,0.5672,0.6417,527.0000,7.0000,744.0000,714.0000
840,1.4000,0.0021,0.0000,0.0014,0.0008,0.5539,0.6819,527.0000,7.0000,744.0000,714.0000
864,1.4400,0.0000,0.0000,0.0014,0.0008,0.5539,0.6819,1.0000,1.0000,1.0000,1.0000
888,1.4800,0.0033,0.0000,0.0014,0.0008,0.5336,0.7208,1.0000,1.0000,2.0000,1.0000
912,1.5200,0.0000,0.0000,0.0014,0.0008,0.5336,0.7208,2.0000,2.0000,3.0000,2.0000
935,1.5583,0.0000,0.0000,0.0014,0.0008,0.5336,0.7208,2.0000,2.0000,4.0000,2.0000
