time,time_s,qom,aom,hom,wom,com_x,com_y,bmi_x,bmi_y,bma_x,bma_y
48,0.0800,0.0000,0.0000,0.0000,0.0000,0.5555,0.5500,680.0000,240.0000,744.0000,402.0000
72,0.1200,0.0000,0.0000,0.0000,0.0000,0.5734,0.4792,680.0000,240.0000,744.0000,402.0000
96,0.1600,0.0000,0.0000,0.0000,0.0000,0.5648,0.5125,680.0000,240.0000,744.0000,402.0000
119,0.1983,0.0000,0.0000,0.0000,0.0000,0.5648,0.5125,680.0000,240.0000,744.0000,402.0000
144,0.2400,0.0000,0.0000,0.0000,0.0000,0.5977,0.6472,680.0000,240.0000,744.0000,402.0000
167,0.2783,0.0000,0.0000,0.0000,0.0000,0.5977,0.6472,680.0000,240.0000,744.0000,402.0000
192,0.3200,0.0000,0.0000,0.0000,0.0000,0.5977,0.6472,679.0000,239.0000,743.0000,401.0000
216,0.3600,0.0000,0.0000,0.0000,0.0000,0.5977,0.6472,679.0000,239.0000,743.0000,401.0000
239,0.3983,0.0000,0.0000,0.0000,0.0000,0.6141,0.6194,679.0000,239.0000,743.0000,401.0000
264,0.4400,0.0000,0.0000,0.0000,0.0000,0.5672,0.4903,679.0000,239.0000,743.0000,401.0000
288,0.4800,0.0001,0.0000,0.0000,0.0000,0.5672,0.4917,1.0000,1.0000,1.0000,1.0000
312,0.5200,0.0004,0.0000,0.0000,0.0000,0.5805,0.5472,1.0000,1.0000,1.0000,1.0000
335,0.5583,0.0004,0.0000,0.0000,0.0000,0.5836,0.5722,1.0000,1.0000,1.0000,1.0000
360,0.6000,0.0007,0.0000,0.0000,0.0000,0.5859,0.5917,1.0000,1.0000,1.0000,1.0000
384,0.6400,0.0007,0.0000,0.0000,0.0000,0.5844,0.6042,1.0000,1.0000,1.0000,1.0000
407,0.6783,0.0008,0.0000,0.0000,0.0000,0.5813,0.6125,2.0000,1.0000,2.0000,1.0000
432,0.7200,0.0013,0.0000,0.0000,0.0000,0.5758,0.6250,2.0000,2.0000,2.0000,2.0000
456,0.7600,0.0012,0.0000,0.0000,0.0000,0.5703,0.6375,3.0000,2.0000,3.0000,2.0000
479,0.7983,0.0007,0.0000,0.0000,0.0000,0.5656,0.6403,3.0000,2.0000,3.0000,2.0000
504,0.8400,0.0007,0.0000,0.0000,0.0000,0.5531,0.5903,3.0000,2.0000,3.0000,2.0000
528,0.8800,0.0003,0.0000,0.0000,0.0000,0.5375,0.4361,711.0000,351.0000,732.0000,378.0000
552,0.9200,0.0009,0.0000,0.0000,0.0000,0.5617,0.6361,711.0000,351.0000,732.0000,378.0000
576,0.9600,0.0013,0.0000,0.0000,0.0000,0.5609,0.6375,712.0000,350.0000,733.0000,377.0000
600,1.0000,0.0018,0.0000,0.0000,0.0000,0.5633,0.5639,712.0000,350.0000,733.0000,377.0000
624,1.0400,0.0016,0.0000,0.0000,0.0000,0.5641,0.5056,717.0000,300.0000,758.0000,364.0000
647,1.0783,0.0009,0.0000,0.0000,0.0000,0.5695,0.5444,717.0000,300.0000,758.0000,365.0000
671,1.1183,0.0005,0.0000,0.0000,0.0000,0.5859,0.5014,716.0000,299.0000,758.0000,365.0000
696,1.1600,0.0013,0.0000,0.0000,0.0000,0.5789,0.5375,716.0000,299.0000,757.0000,366.0000
720,1.2000,0.0011,0.0000,0.0000,0.0000,0.5805,0.5708,716.0000,299.0000,757.0000,366.0000
744,1.2400,0.0005,0.0000,0.0000,0.0000,0.5820,0.5750,617.0000,181.0000,754.0000,715.0000
768,1.2800,0.0018,0.0000,0.0000,0.0000,0.5695,0.5778,617.0000,181.0000,754.0000,715.0000
791,1.3183,0.0016,0.0000,0.0000,0.0000,0.5695,0.5847,618.0000,180.0000,753.0000,715.0000
815,1.3583,0.0013,0.0000,0.0000,0.0000,0.5641,0.6028,618.0000,180.0000,753.0000,715.0000
840,1.4000,0.0003,0.0000,0.0000,0.0000,0.5547,0.5708,618.0000,180.0000,753.0000,715.0000
864,1.4400,0.0004,0.0000,0.0000,0.0000,0.5578,0.6611,618.0000,180.0000,753.0000,715.0000
888,1.4800,0.0008,0.0000,0.0000,0.0000,0.5617,0.6792,659.0000,76.0000,721.0000,714.0000
912,1.5200,0.0013,0.0000,0.0000,0.0000,0.5578,0.6139,659.0000,76.0000,721.0000,714.0000
935,1.5583,0.0018,0.0000,0.0014,0.0016,0.5680,0.5514,658.0000,77.0000,722.0000,714.0000
959,1.5983,0.0020,0.0000,0.0014,0.0016,0.5727,0.5458,658.0000,77.0000,722.0000,714.0000
983,1.6383,0.0006,0.0000,0.0014,0.0016,0.5875,0.5625,568.0000,214.0000,748.0000,717.0000
1008,1.6800,0.0015,0.0000,0.0014,0.0016,0.5781,0.5861,568.0000,214.0000,748.0000,717.0000
1032,1.7200,0.0006,0.0000,0.0014,0.0016,0.5891,0.5931,569.0000,215.0000,749.0000,717.0000
1056,1.7600,0.0019,0.0000,0.0014,0.0016,0.5695,0.6181,569.0000,215.0000,749.0000,716.0000
1080,1.8000,0.0013,0.0000,0.0014,0.0016,0.5734,0.6306,569.0000,215.0000,749.0000,716.0000
1104,1.8400,0.0012,0.0000,0.0014,0.0016,0.5750,0.6389,569.0000,215.0000,749.0000,716.0000
1128,1.8800,0.0000,0.0000,0.0014,0.0016,0.5750,0.6389,615.0000,274.0000,756.0000,712.0000
1152,1.9200,0.0018,0.0000,0.0014,0.0016,0.5594,0.6056,615.0000,274.0000,756.0000,712.0000
1176,1.9600,0.0006,0.0000,0.0014,0.0016,0.5469,0.5764,614.0000,273.0000,755.0000,711.0000
1200,2.0000,0.0006,0.0000,0.0014,0.0016,0.5586,0.6889,614.0000,273.0000,755.0000,711.0000
1224,2.0400,0.0011,0.0000,0.0014,0.0016,0.5594,0.6750,566.0000,80.0000,744.0000,393.0000
1248,2.0800,0.0023,0.0000,0.0014,0.0016,0.5641,0.5861,566.0000,80.0000,744.0000,393.0000
1272,2.1200,0.0016,0.0000,0.0014,0.0016,0.5758,0.5708,567.0000,81.0000,745.0000,392.0000
1295,2.1583,0.0011,0.0000,0.0014,0.0016,0.5805,0.5431,567.0000,81.0000,745.0000,392.0000
1319,2.1983,0.0005,0.0000,0.0014,0.0016,0.5859,0.5736,567.0000,81.0000,745.0000,392.0000
1343,2.2383,0.0013,0.0000,0.0014,0.0016,0.5797,0.5931,567.0000,81.0000,745.0000,392.0000
1367,2.2783,0.0017,0.0000,0.0014,0.0016,0.5750,0.6250,602.0000,216.0000,752.0000,349.0000
1392,2.3200,0.0011,0.0000,0.0014,0.0016,0.5742,0.6444,602.0000,216.0000,752.0000,349.0000
1416,2.3600,0.0013,0.0000,0.0014,0.0016,0.5734,0.6667,601.0000,215.0000,751.0000,350.0000
1440,2.4000,0.0006,0.0000,0.0014,0.0016,0.5672,0.6611,601.0000,215.0000,751.0000,350.0000
1464,2.4400,0.0007,0.0000,0.0000,0.0008,0.5547,0.5931,592.0000,176.0000,699.0000,719.0000
1488,2.4800,0.0004,0.0000,0.0000,0.0008,0.5523,0.5250,592.0000,176.0000,699.0000,719.0000
1512,2.5200,0.0000,0.0000,0.0000,0.0008,0.5523,0.5250,593.0000,176.0000,700.0000,718.0000
1536,2.5600,0.0019,0.0000,0.0000,0.0008,0.5617,0.6611,593.0000,176.0000,700.0000,718.0000
1560,2.6000,0.0014,0.0000,0.0000,0.0008,0.5742,0.5986,593.0000,176.0000,700.0000,718.0000
1583,2.6383,0.0017,0.0000,0.0000,0.0008,0.5797,0.5125,593.0000,176.0000,700.0000,718.0000
1607,2.6783,0.0014,0.0000,0.0000,0.0008,0.5836,0.5347,712.0000,177.0000,750.0000,355.0000
1631,2.7183,0.0008,0.0000,0.0000,0.0008,0.5766,0.5347,712.0000,177.0000,750.0000,355.0000
1655,2.7583,0.0000,0.0000,0.0000,0.0008,0.5766,0.5347,711.0000,176.0000,751.0000,356.0000
1680,2.8000,0.0020,0.0000,0.0000,0.0008,0.5711,0.6056,711.0000,176.0000,751.0000,356.0000
1704,2.8400,0.0012,0.0000,0.0000,0.0000,0.5625,0.6181,599.0000,125.0000,760.0000,719.0000
1728,2.8800,0.0007,0.0000,0.0000,0.0000,0.5695,0.6181,599.0000,125.0000,760.0000,719.0000
1752,2.9200,0.0010,0.0000,0.0000,0.0000,0.5586,0.6083,599.0000,124.0000,759.0000,718.0000
1776,2.9600,0.0004,0.0000,0.0000,0.0000,0.5523,0.6375,598.0000,124.0000,759.0000,718.0000
1800,3.0000,0.0005,0.0000,0.0000,0.0000,0.5430,0.6611,598.0000,124.0000,759.0000,718.0000
1824,3.0400,0.0001,0.0000,0.0000,0.0000,0.5406,0.5917,598.0000,124.0000,759.0000,718.0000
1848,3.0800,0.0004,0.0000,0.0000,0.0000,0.5516,0.6319,596.0000,80.0000,727.0000,666.0000
1871,3.1183,0.0004,0.0000,0.0000,0.0000,0.5406,0.5833,596.0000,80.0000,727.0000,666.0000
1895,3.1583,0.0006,0.0000,0.0000,0.0000,0.5320,0.5444,595.0000,81.0000,728.0000,667.0000
1919,3.1983,0.0013,0.0000,0.0000,0.0000,0.5453,0.5917,595.0000,81.0000,728.0000,667.0000
1943,3.2383,0.0010,0.0000,0.0000,0.0000,0.5789,0.6306,569.0000,183.0000,747.0000,716.0000
1967,3.2783,0.0004,0.0000,0.0000,0.0000,0.5742,0.5764,569.0000,183.0000,747.0000,716.0000
1992,3.3200,0.0002,0.0000,0.0000,0.0000,0.6125,0.6431,570.0000,184.0000,746.0000,716.0000
2016,3.3600,0.0010,0.0000,0.0000,0.0000,0.5828,0.6403,570.0000,184.0000,746.0000,717.0000
2040,3.4000,0.0006,0.0000,0.0000,0.0000,0.5961,0.6153,570.0000,184.0000,746.0000,717.0000
