time,time_s,qom,aom,hom,wom,com_x,com_y,bmi_x,bmi_y,bma_x,bma_y
48,0.0800,0.0000,0.0000,0.0000,0.0000,0.4641,0.6292,412.0000,163.0000,781.0000,492.0000
72,0.1200,0.0002,0.0000,0.0000,0.0000,0.3570,0.6333,412.0000,163.0000,781.0000,492.0000
96,0.1600,0.0002,0.0000,0.0000,0.0000,0.3867,0.6042,413.0000,163.0000,781.0000,493.0000
119,0.1983,0.0000,0.0000,0.0000,0.0000,0.4195,0.5694,413.0000,163.0000,781.0000,493.0000
144,0.2400,0.0000,0.0000,0.0000,0.0000,0.5719,0.4736,414.0000,162.0000,780.0000,494.0000
167,0.2783,0.0001,0.0000,0.0000,0.0000,0.4617,0.5000,414.0000,162.0000,780.0000,494.0000
192,0.3200,0.0003,0.0000,0.0000,0.0000,0.4172,0.5306,471.0000,144.0000,760.0000,716.0000
216,0.3600,0.0002,0.0000,0.0000,0.0000,0.4742,0.5056,471.0000,144.0000,760.0000,716.0000
239,0.3983,0.0006,0.0000,0.0000,0.0000,0.4891,0.5097,470.0000,143.0000,759.0000,715.0000
264,0.4400,0.0009,0.0000,0.0000,0.0000,0.4367,0.5639,470.0000,143.0000,759.0000,715.0000
288,0.4800,0.0020,0.0000,0.0000,0.0000,0.4234,0.5875,470.0000,143.0000,759.0000,715.0000
312,0.5200,0.0016,0.0000,0.0000,0.0000,0.4227,0.6097,470.0000,143.0000,759.0000,715.0000
335,0.5583,0.0025,0.0000,0.0000,0.0008,0.4219,0.6472,1.0000,1.0000,1.0000,1.0000
360,0.6000,0.0016,0.0000,0.0014,0.0023,0.4211,0.6556,1.0000,1.0000,2.0000,2.0000
384,0.6400,0.0014,0.0000,0.0014,0.0023,0.4188,0.6792,2.0000,2.0000,3.0000,3.0000
407,0.6783,0.0010,0.0000,0.0014,0.0023,0.4188,0.6903,2.0000,2.0000,3.0000,3.0000
432,0.7200,0.0007,0.0000,0.0014,0.0023,0.4055,0.7208,361.0000,214.0000,756.0000,711.0000
456,0.7600,0.0008,0.0000,0.0014,0.0023,0.4375,0.6639,361.0000,214.0000,756.0000,711.0000
479,0.7983,0.0024,0.0000,0.0014,0.0023,0.4313,0.6417,362.0000,213.0000,756.0000,712.0000
504,0.8400,0.0027,0.0000,0.0014,0.0023,0.4227,0.6097,362.0000,213.0000,755.0000,712.0000
528,0.8800,0.0037,0.0000,0.0014,0.0023,0.3969,0.6083,362.0000,213.0000,755.0000,712.0000
552,0.9200,0.0013,0.0000,0.0014,0.0023,0.4242,0.6042,362.0000,213.0000,755.0000,712.0000
576,0.9600,0.0006,0.0000,0.0014,0.0023,0.4148,0.5889,479.0000,76.0000,752.0000,719.0000
600,1.0000,0.0025,0.0000,0.0014,0.0023,0.4102,0.6125,479.0000,76.0000,752.0000,719.0000
624,1.0400,0.0016,0.0000,0.0014,0.0023,0.3945,0.6417,480.0000,77.0000,751.0000,718.0000
647,1.0783,0.0015,0.0000,0.0014,0.0023,0.4039,0.6611,480.0000,77.0000,751.0000,718.0000
671,1.1183,0.0026,0.0000,0.0014,0.0023,0.4156,0.6611,496.0000,278.0000,600.0000,713.0000
696,1.1600,0.0016,0.0000,0.0014,0.0023,0.4086,0.6653,496.0000,278.0000,600.0000,713.0000
720,1.2000,0.0019,0.0000,0.0014,0.0023,0.4125,0.6764,495.0000,277.0000,601.0000,712.0000
744,1.2400,0.0007,0.0000,0.0014,0.0023,0.3969,0.7139,495.0000,277.0000,601.0000,712.0000
768,1.2800,0.0006,0.0000,0.0014,0.0023,0.4586,0.6917,495.0000,277.0000,601.0000,712.0000
791,1.3183,0.0018,0.0000,0.0014,0.0023,0.4195,0.6833,495.0000,277.0000,601.0000,712.0000
815,1.3583,0.0037,0.0000,0.0014,0.0023,0.4133,0.6347,440.0000,268.0000,772.0000,382.0000
840,1.4000,0.0026,0.0000,0.0014,0.0023,0.4070,0.6083,440.0000,268.0000,772.0000,382.0000
864,1.4400,0.0007,0.0000,0.0014,0.0023,0.4477,0.5917,441.0000,267.0000,771.0000,383.0000
888,1.4800,0.0007,0.0000,0.0014,0.0023,0.4070,0.6250,441.0000,267.0000,771.0000,383.0000
912,1.5200,0.0029,0.0000,0.0014,0.0023,0.4062,0.6417,479.0000,159.0000,752.0000,719.0000
935,1.5583,0.0028,0.0000,0.0014,0.0023,0.4094,0.6708,479.0000,159.0000,752.0000,719.0000
959,1.5983,0.0026,0.0000,0.0014,0.0023,0.4141,0.6917,478.0000,158.0000,752.0000,719.0000
983,1.6383,0.0016,0.0000,0.0014,0.0023,0.4156,0.7000,478.0000,158.0000,753.0000,719.0000
1008,1.6800,0.0012,0.0000,0.0014,0.0023,0.4055,0.7250,478.0000,158.0000,753.0000,719.0000
1032,1.7200,0.0012,0.0000,0.0014,0.0023,0.4047,0.7056,467.0000,94.0000,756.0000,719.0000
1056,1.7600,0.0006,0.0000,0.0014,0.0023,0.4398,0.6792,467.0000,94.0000,756.0000,719.0000
1080,1.8000,0.0023,0.0000,0.0014,0.0023,0.4383,0.7069,468.0000,95.0000,757.0000,719.0000
