time,time_s,qom,aom,hom,wom,com_x,com_y,bmi_x,bmi_y,bma_x,bma_y
48,0.0800,0.0000,0.0000,0.0000,0.0000,0.5211,0.4847,562.0000,295.0000,680.0000,711.0000
72,0.1200,0.0000,0.0000,0.0000,0.0000,0.5211,0.4847,562.0000,295.0000,680.0000,711.0000
96,0.1600,0.0000,0.0000,0.0000,0.0000,0.5211,0.4847,562.0000,296.0000,681.0000,711.0000
119,0.1983,0.0000,0.0000,0.0000,0.0000,0.5211,0.4847,562.0000,296.0000,681.0000,711.0000
144,0.2400,0.0000,0.0000,0.0000,0.0000,0.5672,0.3806,562.0000,297.0000,682.0000,711.0000
167,0.2783,0.0000,0.0000,0.0000,0.0000,0.5672,0.3819,562.0000,297.0000,682.0000,711.0000
192,0.3200,0.0000,0.0000,0.0000,0.0000,0.5469,0.3806,563.0000,370.0000,730.0000,710.0000
216,0.3600,0.0000,0.0000,0.0000,0.0000,0.5516,0.3833,563.0000,370.0000,730.0000,710.0000
239,0.3983,0.0000,0.0000,0.0000,0.0000,0.5461,0.3819,562.0000,369.0000,729.0000,709.0000
264,0.4400,0.0001,0.0000,0.0000,0.0000,0.5453,0.3903,562.0000,369.0000,729.0000,709.0000
288,0.4800,0.0001,0.0000,0.0000,0.0000,0.5430,0.4000,562.0000,369.0000,729.0000,709.0000
312,0.5200,0.0002,0.0000,0.0000,0.0000,0.5438,0.3986,562.0000,369.0000,729.0000,709.0000
335,0.5583,0.0004,0.0000,0.0000,0.0000,0.5406,0.4153,1.0000,1.0000,1.0000,1.0000
360,0.6000,0.0005,0.0000,0.0000,0.0000,0.5406,0.4264,2.0000,1.0000,2.0000,1.0000
384,0.6400,0.0007,0.0000,0.0000,0.0000,0.5398,0.4417,2.0000,2.0000,2.0000,2.0000
407,0.6783,0.0009,0.0000,0.0000,0.0000,0.5398,0.4514,2.0000,2.0000,2.0000,2.0000
432,0.7200,0.0016,0.0000,0.0000,0.0000,0.5352,0.4806,693.0000,441.0000,694.0000,444.0000
456,0.7600,0.0011,0.0000,0.0000,0.0000,0.5359,0.5083,693.0000,441.0000,694.0000,444.0000
479,0.7983,0.0014,0.0000,0.0000,0.0000,0.5344,0.5278,692.0000,440.0000,695.0000,444.0000
504,0.8400,0.0008,0.0000,0.0000,0.0000,0.5344,0.5597,692.0000,440.0000,695.0000,444.0000
528,0.8800,0.0006,0.0000,0.0000,0.0000,0.5336,0.5931,692.0000,440.0000,695.0000,444.0000
552,0.9200,0.0005,0.0000,0.0000,0.0000,0.5266,0.5875,692.0000,440.0000,695.0000,444.0000
576,0.9600,0.0001,0.0000,0.0000,0.0000,0.5195,0.5764,665.0000,394.0000,731.0000,443.0000
600,1.0000,0.0008,0.0000,0.0000,0.0000,0.5359,0.6028,665.0000,394.0000,731.0000,443.0000
624,1.0400,0.0013,0.0000,0.0000,0.0000,0.5328,0.5514,666.0000,393.0000,732.0000,442.0000
647,1.0783,0.0016,0.0000,0.0000,0.0000,0.5352,0.5042,666.0000,393.0000,732.0000,442.0000
671,1.1183,0.0027,0.0000,0.0000,0.0000,0.5273,0.4694,688.0000,362.0000,746.0000,372.0000
696,1.1600,0.0005,0.0000,0.0000,0.0000,0.5414,0.4986,688.0000,362.0000,746.0000,372.0000
720,1.2000,0.0011,0.0000,0.0000,0.0000,0.5328,0.4653,687.0000,361.0000,745.0000,373.0000
744,1.2400,0.0012,0.0000,0.0000,0.0008,0.5367,0.4778,687.0000,361.0000,745.0000,373.0000
768,1.2800,0.0019,0.0000,0.0000,0.0000,0.5375,0.5083,687.0000,361.0000,745.0000,373.0000
791,1.3183,0.0014,0.0000,0.0000,0.0000,0.5398,0.5347,687.0000,361.0000,745.0000,373.0000
815,1.3583,0.0007,0.0000,0.0000,0.0000,0.5430,0.5736,582.0000,239.0000,660.0000,719.0000
840,1.4000,0.0004,0.0000,0.0000,0.0000,0.5383,0.5944,582.0000,239.0000,660.0000,719.0000
864,1.4400,0.0002,0.0000,0.0000,0.0000,0.5328,0.6097,582.0000,240.0000,661.0000,718.0000
888,1.4800,0.0005,0.0000,0.0000,0.0000,0.5492,0.5861,582.0000,240.0000,661.0000,718.0000
