time,time_s,qom,aom,hom,wom,com_x,com_y,bmi_x,bmi_y,bma_x,bma_y
48,0.0800,0.0000,0.0000,0.0042,0.0016,0.4977,0.5125,539.0000,223.0000,750.0000,389.0000
72,0.1200,0.0001,0.0000,0.0042,0.0016,0.4742,0.4278,539.0000,223.0000,750.0000,389.0000
96,0.1600,0.0001,0.0000,0.0042,0.0016,0.4617,0.4319,539.0000,223.0000,750.0000,389.0000
119,0.1983,0.0000,0.0000,0.0042,0.0016,0.4617,0.4319,539.0000,223.0000,750.0000,389.0000
144,0.2400,0.0003,0.0000,0.0042,0.0016,0.4344,0.4403,539.0000,223.0000,750.0000,389.0000
167,0.2783,0.0001,0.0000,0.0042,0.0016,0.3945,0.4403,538.0000,224.0000,749.0000,390.0000
192,0.3200,0.0003,0.0000,0.0042,0.0016,0.4078,0.4403,538.0000,224.0000,749.0000,390.0000
216,0.3600,0.0002,0.0000,0.0042,0.0016,0.3961,0.4417,538.0000,224.0000,749.0000,390.0000
239,0.3983,0.0001,0.0000,0.0042,0.0016,0.3922,0.4306,538.0000,224.0000,749.0000,390.0000
264,0.4400,0.0000,0.0000,0.0042,0.0016,0.3961,0.4111,475.0000,327.0000,685.0000,426.0000
288,0.4800,0.0000,0.0000,0.0042,0.0016,0.5297,0.4083,475.0000,327.0000,685.0000,426.0000
312,0.5200,0.0001,0.0000,0.0042,0.0016,0.5375,0.4028,476.0000,328.0000,684.0000,427.0000
335,0.5583,0.0001,0.0000,0.0042,0.0016,0.5180,0.4111,476.0000,328.0000,684.0000,427.0000
360,0.6000,0.0002,0.0000,0.0042,0.0016,0.4781,0.4222,479.0000,370.0000,682.0000,429.0000
384,0.6400,0.0001,0.0000,0.0042,0.0016,0.4773,0.4222,479.0000,370.0000,682.0000,429.0000
407,0.6783,0.0002,0.0000,0.0042,0.0016,0.4484,0.4417,479.0000,371.0000,681.0000,429.0000
432,0.7200,0.0001,0.0000,0.0042,0.0016,0.4094,0.4514,480.0000,371.0000,681.0000,429.0000
456,0.7600,0.0000,0.0000,0.0042,0.0016,0.3813,0.4167,480.0000,371.0000,681.0000,429.0000
479,0.7983,0.0001,0.0000,0.0042,0.0016,0.4023,0.4181,484.0000,425.0000,561.0000,431.0000
504,0.8400,0.0000,0.0000,0.0042,0.0016,0.3758,0.4208,484.0000,425.0000,561.0000,431.0000
528,0.8800,0.0001,0.0000,0.0042,0.0016,0.4703,0.5069,485.0000,424.0000,562.0000,430.0000
552,0.9200,0.0000,0.0000,0.0042,0.0016,0.4969,0.4167,485.0000,424.0000,562.0000,430.0000
576,0.9600,0.0000,0.0000,0.0042,0.0016,0.5133,0.4153,485.0000,424.0000,562.0000,430.0000
600,1.0000,0.0000,0.0000,0.0042,0.0016,0.4711,0.4083,485.0000,424.0000,562.0000,430.0000
624,1.0400,0.0000,0.0000,0.0042,0.0016,0.5070,0.4139,497.0000,412.0000,699.0000,424.0000
647,1.0783,0.0000,0.0000,0.0042,0.0016,0.4656,0.4292,497.0000,412.0000,699.0000,424.0000
671,1.1183,0.0002,0.0000,0.0042,0.0016,0.4516,0.4542,496.0000,412.0000,698.0000,423.0000
696,1.1600,0.0002,0.0000,0.0042,0.0016,0.4430,0.4556,496.0000,412.0000,698.0000,423.0000
720,1.2000,0.0003,0.0000,0.0042,0.0016,0.4445,0.4528,472.0000,412.0000,498.0000,419.0000
744,1.2400,0.0005,0.0000,0.0042,0.0016,0.4445,0.4528,472.0000,412.0000,498.0000,419.0000
768,1.2800,0.0007,0.0000,0.0042,0.0016,0.4453,0.4611,472.0000,413.0000,499.0000,419.0000
791,1.3183,0.0013,0.0000,0.0042,0.0016,0.4617,0.4819,472.0000,413.0000,499.0000,420.0000
815,1.3583,0.0010,0.0000,0.0042,0.0016,0.4555,0.4958,472.0000,413.0000,499.0000,420.0000
840,1.4000,0.0016,0.0000,0.0042,0.0016,0.4664,0.5125,473.0000,423.0000,694.0000,425.0000
864,1.4400,0.0013,0.0000,0.0042,0.0016,0.4625,0.5306,473.0000,423.0000,694.0000,425.0000
888,1.4800,0.0002,0.0000,0.0042,0.0016,0.4492,0.4875,472.0000,422.0000,694.0000,425.0000
912,1.5200,0.0007,0.0000,0.0042,0.0016,0.4555,0.5236,472.0000,422.0000,694.0000,425.0000
935,1.5583,0.0009,0.0000,0.0042,0.0016,0.4695,0.5306,472.0000,422.0000,694.0000,425.0000
959,1.5983,0.0024,0.0000,0.0014,0.0016,0.4656,0.4736,465.0000,345.0000,693.0000,426.0000
983,1.6383,0.0012,0.0000,0.0014,0.0016,0.4672,0.4264,465.0000,345.0000,693.0000,426.0000
1008,1.6800,0.0018,0.0000,0.0014,0.0016,0.4750,0.3972,466.0000,344.0000,692.0000,427.0000
1032,1.7200,0.0005,0.0000,0.0014,0.0016,0.4594,0.4181,466.0000,344.0000,692.0000,427.0000
1056,1.7600,0.0009,0.0000,0.0014,0.0016,0.4820,0.4472,466.0000,344.0000,692.0000,427.0000
1080,1.8000,0.0017,0.0000,0.0014,0.0016,0.4852,0.4611,466.0000,344.0000,692.0000,427.0000
1104,1.8400,0.0012,0.0000,0.0014,0.0016,0.4758,0.4597,493.0000,328.0000,595.0000,719.0000
1128,1.8800,0.0019,0.0000,0.0014,0.0016,0.4789,0.4861,493.0000,328.0000,595.0000,719.0000
1152,1.9200,0.0017,0.0000,0.0000,0.0000,0.4688,0.4917,494.0000,329.0000,596.0000,718.0000
1176,1.9600,0.0004,0.0000,0.0000,0.0000,0.4398,0.4986,494.0000,329.0000,596.0000,718.0000
1200,2.0000,0.0010,0.0000,0.0000,0.0000,0.4406,0.4806,551.0000,351.0000,707.0000,715.0000
1224,2.0400,0.0001,0.0000,0.0000,0.0000,0.4859,0.4556,551.0000,351.0000,707.0000,715.0000
1248,2.0800,0.0012,0.0000,0.0000,0.0000,0.4867,0.5319,550.0000,350.0000,706.0000,715.0000
1272,2.1200,0.0016,0.0000,0.0000,0.0000,0.4734,0.4792,550.0000,350.0000,706.0000,715.0000
1295,2.1583,0.0022,0.0000,0.0000,0.0000,0.4688,0.4347,550.0000,350.0000,706.0000,715.0000
1319,2.1983,0.0017,0.0000,0.0000,0.0000,0.4773,0.4542,550.0000,350.0000,706.0000,715.0000
1343,2.2383,0.0006,0.0000,0.0000,0.0000,0.4773,0.4250,496.0000,321.0000,695.0000,719.0000
1367,2.2783,0.0015,0.0000,0.0000,0.0000,0.4836,0.4708,496.0000,321.0000,695.0000,719.0000
1392,2.3200,0.0017,0.0000,0.0000,0.0000,0.4781,0.4708,496.0000,322.0000,694.0000,719.0000
1416,2.3600,0.0019,0.0000,0.0000,0.0000,0.4781,0.4833,496.0000,322.0000,694.0000,719.0000
1440,2.4000,0.0012,0.0000,0.0000,0.0000,0.4750,0.4917,496.0000,343.0000,597.0000,719.0000
1464,2.4400,0.0004,0.0000,0.0000,0.0000,0.4641,0.4792,496.0000,343.0000,597.0000,719.0000
1488,2.4800,0.0009,0.0000,0.0000,0.0000,0.4664,0.4889,497.0000,342.0000,598.0000,719.0000
1512,2.5200,0.0003,0.0000,0.0000,0.0000,0.4555,0.4931,497.0000,342.0000,598.0000,719.0000
1536,2.5600,0.0007,0.0000,0.0000,0.0000,0.4781,0.5375,497.0000,342.0000,598.0000,719.0000
1560,2.6000,0.0022,0.0000,0.0000,0.0000,0.4711,0.4833,497.0000,342.0000,598.0000,719.0000
1583,2.6383,0.0010,0.0000,0.0000,0.0000,0.4680,0.4542,514.0000,335.0000,688.0000,719.0000
1607,2.6783,0.0022,0.0000,0.0000,0.0000,0.4820,0.4639,514.0000,335.0000,688.0000,719.0000
1631,2.7183,0.0007,0.0000,0.0000,0.0000,0.4383,0.4333,514.0000,334.0000,687.0000,719.0000
1655,2.7583,0.0009,0.0000,0.0000,0.0000,0.4875,0.4444,514.0000,334.0000,687.0000,719.0000
1680,2.8000,0.0015,0.0000,0.0000,0.0000,0.4922,0.4500,512.0000,320.0000,596.0000,717.0000
1704,2.8400,0.0005,0.0000,0.0000,0.0000,0.4789,0.4389,512.0000,320.0000,596.0000,717.0000
1728,2.8800,0.0011,0.0000,0.0000,0.0000,0.4773,0.4486,512.0000,319.0000,596.0000,717.0000
1752,2.9200,0.0014,0.0000,0.0000,0.0000,0.4750,0.4667,512.0000,319.0000,597.0000,718.0000
1776,2.9600,0.0007,0.0000,0.0000,0.0000,0.4500,0.4750,512.0000,319.0000,597.0000,718.0000
1800,3.0000,0.0004,0.0000,0.0000,0.0000,0.4391,0.5000,512.0000,304.0000,598.0000,719.0000
1824,3.0400,0.0005,0.0000,0.0000,0.0000,0.4898,0.4847,512.0000,304.0000,598.0000,719.0000
1848,3.0800,0.0020,0.0000,0.0000,0.0000,0.4758,0.4569,513.0000,305.0000,599.0000,719.0000
1871,3.1183,0.0024,0.0000,0.0000,0.0000,0.4766,0.4347,513.0000,305.0000,599.0000,719.0000
1895,3.1583,0.0007,0.0000,0.0000,0.0000,0.4469,0.4292,513.0000,305.0000,599.0000,719.0000
1919,3.1983,0.0003,0.0000,0.0000,0.0000,0.4148,0.3931,513.0000,305.0000,599.0000,719.0000
1943,3.2383,0.0007,0.0000,0.0000,0.0000,0.4250,0.4528,560.0000,343.0000,687.0000,719.0000
1967,3.2783,0.0010,0.0000,0.0000,0.0000,0.4594,0.4472,560.0000,343.0000,687.0000,719.0000
1992,3.3200,0.0004,0.0000,0.0000,0.0000,0.4719,0.4208,559.0000,342.0000,688.0000,719.0000
2016,3.3600,0.0009,0.0000,0.0000,0.0000,0.4297,0.4722,559.0000,342.0000,688.0000,719.0000
2040,3.4000,0.0011,0.0000,0.0000,0.0000,0.4445,0.4431,494.0000,317.0000,706.0000,719.0000
2064,3.4400,0.0006,0.0000,0.0000,0.0000,0.4313,0.4056,494.0000,317.0000,706.0000,719.0000
2088,3.4800,0.0006,0.0000,0.0000,0.0000,0.4195,0.4278,493.0000,318.0000,705.0000,719.0000
2112,3.5200,0.0007,0.0000,0.0000,0.0000,0.3984,0.4833,493.0000,318.0000,705.0000,719.0000
2136,3.5600,0.0005,0.0000,0.0000,0.0000,0.4156,0.4208,493.0000,318.0000,705.0000,719.0000
2160,3.6000,0.0003,0.0000,0.0000,0.0000,0.4117,0.3681,493.0000,318.0000,705.0000,719.0000
2184,3.6400,0.0015,0.0000,0.0000,0.0000,0.4102,0.4042,474.0000,340.0000,687.0000,716.0000
2208,3.6800,0.0004,0.0000,0.0000,0.0000,0.3891,0.4153,474.0000,340.0000,687.0000,716.0000
2232,3.7200,0.0006,0.0000,0.0000,0.0000,0.4070,0.4653,475.0000,339.0000,687.0000,716.0000
