time,time_s,qom,aom,hom,wom,com_x,com_y,bmi_x,bmi_y,bma_x,bma_y
48,0.0800,0.0000,0.0000,0.0014,0.0008,0.5180,0.4361,678.0000,76.0000,751.0000,382.0000
72,0.1200,0.0006,0.0000,0.0014,0.0008,0.5406,0.5181,678.0000,76.0000,751.0000,382.0000
96,0.1600,0.0004,0.0000,0.0014,0.0008,0.5586,0.5458,678.0000,76.0000,751.0000,382.0000
119,0.1983,0.0006,0.0000,0.0014,0.0008,0.5695,0.5569,678.0000,76.0000,751.0000,382.0000
144,0.2400,0.0011,0.0000,0.0014,0.0008,0.5687,0.5639,678.0000,76.0000,751.0000,382.0000
167,0.2783,0.0012,0.0000,0.0014,0.0008,0.5625,0.5556,678.0000,76.0000,751.0000,382.0000
192,0.3200,0.0008,0.0000,0.0014,0.0008,0.5672,0.5639,677.0000,77.0000,750.0000,381.0000
216,0.3600,0.0003,0.0000,0.0014,0.0008,0.5633,0.5569,677.0000,77.0000,750.0000,381.0000
239,0.3983,0.0009,0.0000,0.0000,0.0008,0.5547,0.5556,677.0000,77.0000,750.0000,381.0000
264,0.4400,0.0006,0.0000,0.0000,0.0008,0.5508,0.5569,677.0000,77.0000,750.0000,381.0000
288,0.4800,0.0003,0.0000,0.0000,0.0008,0.5508,0.5750,550.0000,223.0000,560.0000,271.0000
312,0.5200,0.0007,0.0000,0.0000,0.0008,0.5445,0.5208,550.0000,223.0000,560.0000,271.0000
335,0.5583,0.0013,0.0000,0.0000,0.0008,0.5578,0.5167,550.0000,224.0000,561.0000,272.0000
360,0.6000,0.0017,0.0000,0.0000,0.0008,0.5664,0.5264,550.0000,224.0000,561.0000,272.0000
384,0.6400,0.0002,0.0000,0.0000,0.0008,0.5875,0.5333,554.0000,265.0000,771.0000,715.0000
407,0.6783,0.0014,0.0000,0.0000,0.0008,0.5656,0.5403,554.0000,265.0000,771.0000,715.0000
432,0.7200,0.0010,0.0000,0.0000,0.0008,0.5758,0.5472,553.0000,266.0000,770.0000,715.0000
456,0.7600,0.0010,0.0000,0.0000,0.0008,0.5750,0.5792,553.0000,266.0000,770.0000,716.0000
479,0.7983,0.0010,0.0000,0.0000,0.0008,0.5719,0.5861,553.0000,266.0000,770.0000,716.0000
504,0.8400,0.0009,0.0000,0.0000,0.0008,0.5711,0.5931,553.0000,266.0000,770.0000,716.0000
528,0.8800,0.0017,0.0000,0.0000,0.0008,0.5555,0.5931,544.0000,292.0000,737.0000,719.0000
552,0.9200,0.0002,0.0000,0.0000,0.0008,0.5555,0.6014,544.0000,292.0000,737.0000,719.0000
576,0.9600,0.0007,0.0000,0.0000,0.0000,0.5484,0.6264,545.0000,291.0000,737.0000,718.0000
600,1.0000,0.0005,0.0000,0.0000,0.0000,0.5477,0.6292,545.0000,291.0000,737.0000,718.0000
624,1.0400,0.0010,0.0000,0.0000,0.0000,0.5516,0.5861,551.0000,94.0000,736.0000,688.0000
647,1.0783,0.0016,0.0000,0.0000,0.0000,0.5594,0.5611,551.0000,94.0000,736.0000,688.0000
671,1.1183,0.0017,0.0000,0.0000,0.0000,0.5703,0.5375,551.0000,95.0000,737.0000,689.0000
696,1.1600,0.0004,0.0000,0.0000,0.0000,0.5672,0.5347,552.0000,95.0000,737.0000,689.0000
720,1.2000,0.0007,0.0000,0.0000,0.0000,0.5648,0.5194,552.0000,95.0000,737.0000,689.0000
744,1.2400,0.0008,0.0000,0.0000,0.0000,0.5797,0.5583,552.0000,95.0000,737.0000,689.0000
768,1.2800,0.0014,0.0000,0.0000,0.0000,0.5734,0.5833,555.0000,250.0000,748.0000,717.0000
791,1.3183,0.0010,0.0000,0.0000,0.0000,0.5687,0.6000,555.0000,250.0000,748.0000,717.0000
815,1.3583,0.0015,0.0000,0.0000,0.0000,0.5633,0.5931,554.0000,251.0000,748.0000,717.0000
840,1.4000,0.0013,0.0000,0.0000,0.0000,0.5594,0.6139,554.0000,251.0000,748.0000,717.0000
864,1.4400,0.0006,0.0000,0.0000,0.0000,0.5539,0.6194,543.0000,261.0000,749.0000,719.0000
888,1.4800,0.0003,0.0000,0.0000,0.0000,0.5461,0.6014,543.0000,261.0000,749.0000,719.0000
912,1.5200,0.0007,0.0000,0.0000,0.0000,0.5547,0.6194,544.0000,260.0000,748.0000,718.0000
935,1.5583,0.0010,0.0000,0.0000,0.0008,0.5563,0.5861,544.0000,260.0000,748.0000,718.0000
959,1.5983,0.0015,0.0000,0.0000,0.0008,0.5594,0.5611,544.0000,260.0000,748.0000,718.0000
983,1.6383,0.0017,0.0000,0.0000,0.0008,0.5680,0.5264,544.0000,260.0000,748.0000,718.0000
1008,1.6800,0.0007,0.0000,0.0000,0.0008,0.5648,0.5250,556.0000,225.0000,707.0000,691.0000
1032,1.7200,0.0009,0.0000,0.0000,0.0008,0.5719,0.5472,556.0000,225.0000,707.0000,691.0000
1056,1.7600,0.0010,0.0000,0.0000,0.0008,0.5734,0.5708,555.0000,224.0000,708.0000,692.0000
1080,1.8000,0.0015,0.0000,0.0000,0.0008,0.5648,0.5986,555.0000,224.0000,708.0000,692.0000
1104,1.8400,0.0010,0.0000,0.0000,0.0008,0.5648,0.5944,538.0000,203.0000,746.0000,719.0000
1128,1.8800,0.0010,0.0000,0.0000,0.0000,0.5594,0.5972,538.0000,203.0000,746.0000,719.0000
1152,1.9200,0.0012,0.0000,0.0000,0.0008,0.5539,0.6083,538.0000,202.0000,747.0000,718.0000
1176,1.9600,0.0007,0.0000,0.0000,0.0008,0.5492,0.6236,539.0000,202.0000,747.0000,718.0000
1200,2.0000,0.0001,0.0000,0.0000,0.0008,0.5555,0.6667,539.0000,202.0000,747.0000,718.0000
1224,2.0400,0.0008,0.0000,0.0000,0.0008,0.5508,0.6264,539.0000,202.0000,747.0000,718.0000
1248,2.0800,0.0011,0.0000,0.0000,0.0008,0.5523,0.5972,543.0000,175.0000,752.0000,688.0000
1272,2.1200,0.0015,0.0000,0.0000,0.0008,0.5586,0.5708,543.0000,175.0000,752.0000,688.0000
1295,2.1583,0.0020,0.0000,0.0000,0.0008,0.5641,0.5361,544.0000,176.0000,752.0000,689.0000
1319,2.1983,0.0008,0.0000,0.0000,0.0008,0.5641,0.5333,544.0000,176.0000,752.0000,689.0000
1343,2.2383,0.0005,0.0000,0.0000,0.0008,0.5492,0.4889,548.0000,274.0000,750.0000,719.0000
1367,2.2783,0.0001,0.0000,0.0000,0.0008,0.5734,0.5389,548.0000,274.0000,750.0000,719.0000
1392,2.3200,0.0006,0.0000,0.0000,0.0008,0.5602,0.5333,547.0000,273.0000,749.0000,719.0000
1416,2.3600,0.0008,0.0000,0.0000,0.0008,0.5461,0.5333,547.0000,273.0000,749.0000,719.0000
1440,2.4000,0.0002,0.0000,0.0000,0.0008,0.5719,0.5736,547.0000,273.0000,749.0000,719.0000
1464,2.4400,0.0005,0.0000,0.0000,0.0000,0.5680,0.5847,547.0000,273.0000,749.0000,719.0000
1488,2.4800,0.0010,0.0000,0.0000,0.0000,0.5531,0.5819,538.0000,169.0000,721.0000,719.0000
1512,2.5200,0.0002,0.0000,0.0000,0.0000,0.5477,0.6056,538.0000,169.0000,721.0000,719.0000
1536,2.5600,0.0005,0.0000,0.0000,0.0000,0.5563,0.6931,539.0000,170.0000,720.0000,718.0000
1560,2.6000,0.0004,0.0000,0.0000,0.0000,0.5141,0.5056,539.0000,170.0000,720.0000,718.0000
1583,2.6383,0.0004,0.0000,0.0000,0.0000,0.5023,0.4181,556.0000,371.0000,695.0000,685.0000
1607,2.6783,0.0009,0.0000,0.0000,0.0000,0.5391,0.5847,556.0000,371.0000,695.0000,685.0000
1631,2.7183,0.0006,0.0000,0.0000,0.0000,0.5586,0.5472,555.0000,372.0000,694.0000,686.0000
1655,2.7583,0.0006,0.0000,0.0000,0.0000,0.4711,0.2278,555.0000,372.0000,694.0000,686.0000
1680,2.8000,0.0002,0.0000,0.0000,0.0000,0.5227,0.3556,555.0000,372.0000,694.0000,686.0000
1704,2.8400,0.0011,0.0000,0.0000,0.0000,0.5156,0.3931,555.0000,372.0000,694.0000,686.0000
1728,2.8800,0.0004,0.0000,0.0000,0.0000,0.5570,0.6347,543.0000,393.0000,687.0000,717.0000
1752,2.9200,0.0001,0.0000,0.0000,0.0000,0.4852,0.2861,543.0000,393.0000,687.0000,717.0000
1776,2.9600,0.0005,0.0000,0.0000,0.0000,0.5008,0.3361,543.0000,392.0000,688.0000,717.0000
1800,3.0000,0.0007,0.0000,0.0000,0.0000,0.5586,0.5958,543.0000,392.0000,688.0000,717.0000
1824,3.0400,0.0012,0.0000,0.0000,0.0000,0.5687,0.5806,543.0000,167.0000,720.0000,719.0000
1848,3.0800,0.0007,0.0000,0.0000,0.0000,0.5672,0.5444,543.0000,167.0000,720.0000,719.0000
1871,3.1183,0.0013,0.0000,0.0000,0.0000,0.5656,0.5972,544.0000,168.0000,719.0000,719.0000
1895,3.1583,0.0006,0.0000,0.0000,0.0000,0.5680,0.6361,544.0000,168.0000,719.0000,719.0000
1919,3.1983,0.0004,0.0000,0.0000,0.0000,0.5609,0.6500,544.0000,168.0000,719.0000,719.0000
1943,3.2383,0.0012,0.0000,0.0000,0.0000,0.5648,0.6125,544.0000,168.0000,719.0000,719.0000
1967,3.2783,0.0014,0.0000,0.0000,0.0000,0.5750,0.5667,551.0000,405.0000,686.0000,719.0000
1992,3.3200,0.0009,0.0000,0.0000,0.0000,0.5656,0.5639,551.0000,405.0000,686.0000,719.0000
2016,3.3600,0.0006,0.0000,0.0000,0.0000,0.5711,0.5750,552.0000,404.0000,687.0000,719.0000
2040,3.4000,0.0007,0.0000,0.0000,0.0000,0.5648,0.5875,552.0000,404.0000,687.0000,719.0000
2064,3.4400,0.0007,0.0000,0.0000,0.0000,0.5648,0.6278,569.0000,248.0000,753.0000,716.0000
2088,3.4800,0.0001,0.0000,0.0000,0.0000,0.5492,0.6417,569.0000,248.0000,753.0000,716.0000
2112,3.5200,0.0006,0.0000,0.0000,0.0000,0.5578,0.5556,570.0000,247.0000,752.0000,715.0000
2136,3.5600,0.0006,0.0000,0.0000,0.0000,0.5273,0.4181,570.0000,247.0000,752.0000,715.0000
2160,3.6000,0.0002,0.0000,0.0000,0.0000,0.5477,0.4903,570.0000,247.0000,752.0000,715.0000
2184,3.6400,0.0010,0.0000,0.0000,0.0000,0.5352,0.4903,570.0000,247.0000,752.0000,715.0000
