time,time_s,qom,aom,hom,wom,com_x,com_y,bmi_x,bmi_y,bma_x,bma_y
48,0.0800,0.0000,0.0000,0.0000,0.0008,0.4156,0.4528,489.0000,310.0000,568.0000,719.0000
72,0.1200,0.0006,0.0000,0.0000,0.0008,0.4078,0.4986,489.0000,310.0000,568.0000,719.0000
96,0.1600,0.0010,0.0000,0.0000,0.0008,0.4188,0.5417,489.0000,310.0000,568.0000,719.0000
119,0.1983,0.0007,0.0000,0.0000,0.0008,0.4102,0.5500,489.0000,310.0000,568.0000,719.0000
144,0.2400,0.0006,0.0000,0.0000,0.0008,0.4078,0.5556,489.0000,310.0000,568.0000,719.0000
167,0.2783,0.0009,0.0000,0.0000,0.0008,0.4133,0.5444,489.0000,310.0000,568.0000,718.0000
192,0.3200,0.0007,0.0000,0.0000,0.0008,0.4125,0.4611,489.0000,310.0000,568.0000,718.0000
216,0.3600,0.0005,0.0000,0.0000,0.0008,0.4172,0.5403,467.0000,239.0000,527.0000,396.0000
239,0.3983,0.0016,0.0000,0.0000,0.0008,0.4164,0.5153,467.0000,239.0000,527.0000,396.0000
264,0.4400,0.0007,0.0000,0.0000,0.0008,0.4039,0.4708,466.0000,238.0000,526.0000,395.0000
288,0.4800,0.0018,0.0000,0.0000,0.0008,0.4188,0.4194,466.0000,238.0000,526.0000,395.0000
312,0.5200,0.0005,0.0000,0.0000,0.0008,0.4234,0.4611,466.0000,238.0000,526.0000,395.0000
335,0.5583,0.0007,0.0000,0.0000,0.0008,0.4219,0.4806,466.0000,238.0000,526.0000,395.0000
360,0.6000,0.0010,0.0000,0.0000,0.0008,0.4203,0.5111,1.0000,1.0000,1.0000,1.0000
384,0.6400,0.0012,0.0000,0.0000,0.0008,0.4219,0.5181,1.0000,1.0000,1.0000,1.0000
407,0.6783,0.0009,0.0000,0.0000,0.0008,0.4195,0.5167,2.0000,2.0000,2.0000,2.0000
432,0.7200,0.0014,0.0000,0.0000,0.0008,0.4383,0.5264,2.0000,2.0000,2.0000,2.0000
456,0.7600,0.0009,0.0000,0.0000,0.0000,0.4266,0.5083,503.0000,285.0000,532.0000,708.0000
479,0.7983,0.0008,0.0000,0.0000,0.0000,0.4141,0.5028,503.0000,285.0000,532.0000,708.0000
504,0.8400,0.0005,0.0000,0.0000,0.0000,0.4047,0.4847,504.0000,286.0000,533.0000,708.0000
528,0.8800,0.0003,0.0000,0.0000,0.0000,0.4070,0.4597,504.0000,286.0000,533.0000,709.0000
552,0.9200,0.0005,0.0000,0.0000,0.0000,0.4148,0.5542,504.0000,286.0000,533.0000,709.0000
576,0.9600,0.0019,0.0000,0.0000,0.0000,0.4211,0.5111,512.0000,356.0000,538.0000,711.0000
600,1.0000,0.0014,0.0000,0.0000,0.0000,0.4148,0.4417,512.0000,356.0000,538.0000,711.0000
624,1.0400,0.0016,0.0000,0.0000,0.0000,0.4344,0.4444,511.0000,355.0000,538.0000,712.0000
647,1.0783,0.0006,0.0000,0.0000,0.0000,0.4211,0.4792,511.0000,355.0000,538.0000,712.0000
671,1.1183,0.0011,0.0000,0.0000,0.0000,0.4281,0.5236,511.0000,355.0000,538.0000,712.0000
696,1.1600,0.0009,0.0000,0.0000,0.0000,0.4180,0.5097,511.0000,355.0000,538.0000,712.0000
720,1.2000,0.0013,0.0000,0.0000,0.0000,0.4180,0.5264,505.0000,304.0000,536.0000,719.0000
744,1.2400,0.0009,0.0000,0.0000,0.0000,0.4086,0.5333,505.0000,304.0000,536.0000,719.0000
768,1.2800,0.0008,0.0000,0.0000,0.0000,0.4078,0.5458,506.0000,305.0000,537.0000,719.0000
791,1.3183,0.0004,0.0000,0.0000,0.0000,0.3992,0.5528,506.0000,305.0000,537.0000,719.0000
